"partid","R","H","CV"
64169101,0.5,0.86,0.4
64170001,0.46,0.68,0.32
64170601,0.36,0.72,0.3
64171101,0.56,0.42,0.44
64171601,0.44,0.74,0.42
64171801,0.46,0.8,0.44
64172901,0.44,0.78,0.42
64173401,0.42,0.78,0.4
64173601,0.48,0.48,0.56
64174501,0.56,0.7,0.34
64174801,0.6,0.82,0.34
64174901,0.36,0.76,0.34
64175001,0.54,0.8,0.3
64175101,0.48,0.84,0.38
64176001,0.5,0.5,0.62
64176201,0.46,0.92,0.32
64176401,0.44,0.46,0.66
64176501,0.3,0.74,0.4
64176601,0.5,0.72,0.5
64176801,0.56,0.62,0.5
64177901,0.5,0.76,0.32
64178801,0.38,0.82,0.3
64179101,0.52,0.72,0.42
64179301,0.42,0.78,0.3
64179701,0.38,0.78,0.46
64180001,0.6,0.84,0.32
64180601,0.38,0.56,0.5
64181101,0.4,0.74,0.5
64181301,0.36,0.46,0.66
64181801,0.36,0.7,0.4
64181901,0.5,0.84,0.34
64182001,0.44,0.46,0.54
64182201,0.44,0.84,0.3
64182301,0.6,0.84,0.38
64182501,0.4,0.74,0.38
64182701,0.46,0.4,0.72
64182801,0.36,0.72,0.36
64183001,0.44,0.74,0.38
64183101,0.46,0.8,0.28
64183201,0.38,0.62,0.42
64183301,0.56,0.66,0.42
64183501,0.42,0.68,0.48
64184101,0.38,0.66,0.44
64184701,0.34,0.46,0.66
64184901,0.58,0.68,0.42
64185101,0.48,0.76,0.34
64186001,0.66,0.72,0.4
64186401,0.44,0.66,0.56
64186801,0.58,0.72,0.38
64187001,0.54,0.7,0.48
64187101,0.4,0.76,0.34
64187301,0.58,0.78,0.38
64188401,0.34,0.8,0.4
64188901,0.5,0.76,0.4
64189101,0.52,0.72,0.38
64189201,0.5,0.84,0.34
64190101,0.5,0.72,0.32
64190201,0.36,0.8,0.4
64190401,0.52,0.82,0.26
64190501,0.36,0.76,0.36
64191901,0.5,0.64,0.48
64192101,0.36,0.74,0.38
64192801,0.58,0.8,0.3
64193501,0.46,0.86,0.3
64193601,0.42,0.78,0.42
64194201,0.42,0.84,0.32
64194501,0.58,0.52,0.5
64194701,0.46,0.76,0.32
64195101,0.46,0.86,0.38
64195201,0.4,0.78,0.36
64195501,0.52,0.76,0.46
64195601,0.5,0.78,0.46
64196601,0.42,0.82,0.44
64196701,0.58,0.74,0.38
64197801,0.46,0.84,0.4
64198101,0.34,0.66,0.52
64198701,0.46,0.82,0.3
64199201,0.44,0.7,0.42
64199301,0.52,0.58,0.58
64199601,0.6,0.84,0.34
64200501,0.56,0.6,0.42
64200601,0.44,0.72,0.28
64200901,0.48,0.82,0.34
64202001,0.54,0.8,0.36
64202201,0.52,0.86,0.34
64202501,0.44,0.66,0.38
64202601,0.44,0.84,0.28
64202701,0.42,0.8,0.36
64202901,0.42,0.48,0.54
64204201,0.38,0.82,0.38
64204501,0.42,0.78,0.3
64204601,0.4,0.66,0.46
64204701,0.6,0.78,0.36
64205801,0.46,0.8,0.38
64205901,0.46,0.84,0.28
