"vps","partid","CheckVps","R","CheckHolt","SwitchAll","SwitchH","SwitchL","SwitchLH","SwitchLL","SwitchGH","SwitchGL","SwitchPH","SwitchPL","R_all","CheckGamb","swp","MPLr"
788,65043101,0,3,0,30,43.333333,16.666667,20,5,70,25,40,20,0.17857143,0,8,2
789,65043401,0,2,0,15.833333,20,11.666667,5,5,30,20,25,10,0.48214286,0,9,1
790,65043501,0,6,1,14.583333,18.333333,10.833333,5,0,30,22.5,20,10,0.55357143,3,1,9
792,65043601,0,4,0,5,6.6666667,3.3333333,5,0,5,5,10,5,0.71428571,0,7,3
794,65043801,0,6,0,14.166667,20,8.3333333,15,0,20,15,25,10,0.51785714,0,5,5
796,65043901,0,4,0,11.666667,18.333333,5,10,0,25,10,20,5,0.57142857,0,7,3
798,65044001,0,2,0,27.5,36.666667,18.333333,20,10,60,30,30,15,0.17857143,3,9,1
800,65044101,0,4,0,12.5,20,5,10,0,25,10,25,5,0.57142857,3,7,3
802,65044201,0,10,0,13.333333,18.333333,8.3333333,10,5,30,15,15,5,0.53571429,0,1,9
803,65044301,0,3,1,16.666667,21.666667,11.666667,12.5,5,30,20,22.5,10,0.5,1,4,6
805,65044401,0,5,1,5.4166667,5,5.8333333,15,-2.5,-10,15,10,5,0.75,3,1,9
806,65044501,0,4,0,14.166667,21.666667,6.6666667,10,5,45,10,10,5,0.51785714,0,7,3
808,65044601,0,8,0,3.3333333,-1.6666667,8.3333333,-10,0,5,10,0,15,0.75,0,3,7
810,65044701,0,5,0,11.666667,16.666667,6.6666667,10,5,25,10,15,5,0.57142857,0,6,4
812,65044801,0,3,2,12.083333,15.833333,8.3333333,10,0,27.5,15,10,10,0.55357143,3,7,3
813,65044901,0,5,0,4.1666667,3.3333333,5,5,0,5,10,0,5,0.73214286,0,6,4
814,65045001,0,4,0,20,28.333333,11.666667,10,5,55,20,20,10,0.39285714,0,7,3
816,65045101,0,10,0,17.5,21.666667,13.333333,25,15,-10,0,50,25,0.44642857,1,1,9
818,65045201,0,4,0,31.666667,41.666667,21.666667,20,10,70,40,35,15,0.14285714,0,7,3
820,65045301,0,6,0,-3.3333333,-3.3333333,-3.3333333,-5,-5,-5,-5,0,0,0.89285714,0,5,5
821,65045401,0,6,0,5,8.3333333,1.6666667,5,0,15,5,5,0,0.71428571,0,5,5
