"vps","partid","CheckVps","R","CheckHolt","SwitchAll","SwitchH","SwitchL","SwitchLH","SwitchLL","SwitchGH","SwitchGL","SwitchPH","SwitchPL","R_all","CheckGamb","swp","MPLr"
1065,65064801,0,10,0,12.5,16.666667,8.3333333,10,0,25,20,15,5,0.55357143,0,1,9
1066,65064901,0,3,0,10.833333,11.666667,10,0,0,10,15,25,15,0.58928571,0,8,2
1067,65065001,0,4,0,15,18.333333,11.666667,10,5,30,20,15,10,0.5,0,7,3
1068,65065101,0,5,0,-2.0833333,-0.83333333,-3.3333333,-2.5,-5,-5,-5,5,0,0.875,3,6,4
1069,65065201,0,6,0,15.833333,26.666667,5,10,5,40,0,30,10,0.48214286,0,5,5
1070,65065301,0,4,0,20.416667,25.833333,15,12.5,5,40,30,25,10,0.44642857,3,7,3
1071,65065401,0,5,1,10.833333,16.666667,5,10,0,-10,-10,50,25,0.625,3,2,8
1072,65065501,0,5,0,19.166667,25,13.333333,10,5,40,25,25,10,0.41071429,0,6,4
1073,65065601,0,5,0,10.833333,13.333333,8.3333333,15,5,10,10,15,10,0.58928571,0,6,4
1074,65065701,0,2,0,20.833333,26.666667,15,20,5,35,30,25,10,0.375,0,9,1
1075,65065801,0,3,0,17.5,25,10,10,5,45,15,20,10,0.44642857,0,8,2
1076,65065901,0,6,0,3.3333333,5,1.6666667,10,0,0,0,5,5,0.75,0,5,5
1077,65066001,0,10,0,10.833333,15,6.6666667,5,5,25,10,15,5,0.58928571,0,1,9
1078,65066101,0,5,0,10.833333,13.333333,8.3333333,10,0,5,10,25,15,0.58928571,0,6,4
1079,65066201,0,3,0,15,21.666667,8.3333333,10,5,35,15,20,5,0.5,0,8,2
1080,65066301,0,6,0,23.333333,31.666667,15,15,5,60,30,20,10,0.32142857,0,5,5
1081,65066401,0,4,0,12.5,15,10,5,5,25,15,15,10,0.55357143,0,7,3
1082,65066501,0,4,0,20.416667,27.5,13.333333,15,5,47.5,25,20,10,0.39285714,3,7,3
1083,65066601,0,5,2,20,26.666667,13.333333,15,5,30,20,35,15,0.39285714,0,5,5
1084,65066701,0,4,2,18.333333,30,6.6666667,10,5,40,10,40,5,0.42857143,3,6,4
1085,65066801,0,8,0,6.25,10.833333,1.6666667,5,0,7.5,0,20,5,0.71428571,3,3,7
1086,65066901,0,5,0,15.833333,21.666667,10,25,10,25,15,15,5,0.48214286,0,6,4
1087,65067001,0,7,0,2.5,3.3333333,1.6666667,0,0,0,5,10,0,0.76785714,0,4,6
1088,65067101,0,3,0,25.833333,36.666667,15,20,5,60,30,30,10,0.26785714,0,8,2
1089,65067201,0,4,0,13.333333,20,6.6666667,10,5,30,10,20,5,0.53571429,0,7,3
1090,65067301,0,6,2,20,27.5,12.5,10,5,42.5,27.5,30,5,0.39285714,3,4,6
1091,65067401,0,2,0,27.5,33.333333,21.666667,20,10,45,40,35,15,0.23214286,3,9,1
1092,65067501,0,4,0,5,3.3333333,6.6666667,5,0,-10,20,15,0,0.71428571,2,7,3
1093,65067601,0,6,0,13.333333,16.666667,10,10,5,25,10,15,15,0.53571429,0,5,5
1094,65067701,0,7,0,10.833333,20,1.6666667,10,0,25,-5,25,10,0.58928571,0,4,6
1095,65067801,0,5,0,10.833333,15,6.6666667,15,5,15,5,15,10,0.58928571,0,6,4
1096,65067901,0,4,0,5.8333333,10,1.6666667,15,0,0,0,15,5,0.69642857,0,7,3
1097,65068001,0,4,0,15,18.333333,11.666667,10,5,25,20,20,10,0.5,0,7,3
1098,65068101,0,4,0,22.5,31.666667,13.333333,15,5,50,25,30,10,0.33928571,0,7,3
1099,65068201,0,3,0,11.666667,18.333333,5,10,0,35,10,10,5,0.57142857,0,8,2
1100,65068301,0,4,0,34.166667,46.666667,21.666667,25,10,65,30,50,25,0.089285714,0,7,3
1101,65068401,0,7,0,18.333333,25,11.666667,15,5,40,20,20,10,0.42857143,0,4,6
1102,65068501,0,5,1,16.25,20,12.5,7.5,7.5,27.5,22.5,25,7.5,0.53571429,1,1,9
1103,65068601,0,4,0,10,13.333333,6.6666667,5,0,20,15,15,5,0.60714286,0,7,3
1104,65068701,0,4,0,9.1666667,11.666667,6.6666667,5,5,20,10,10,5,0.625,0,7,3
1105,65068801,0,5,1,5.8333333,6.6666667,5,10,5,0,0,10,10,0.69642857,0,1,9
1106,65068901,0,3,0,17.083333,25,9.1666667,10,0,35,12.5,30,15,0.5,3,8,2
1107,65069001,0,4,0,10,13.333333,6.6666667,15,5,5,10,20,5,0.60714286,0,7,3
1108,65069101,0,5,0,8.3333333,11.666667,5,0,0,5,5,30,10,0.64285714,0,6,4
1109,65069201,0,5,0,4.1666667,8.3333333,0,0,-5,15,0,10,5,0.73214286,0,6,4
1110,65069301,0,2,0,27.5,36.666667,18.333333,15,5,55,30,40,20,0.23214286,0,9,1
1111,65069401,0,4,0,7.5,11.666667,3.3333333,10,0,5,5,20,5,0.66071429,0,7,3
1112,65069501,0,4,0,15,21.666667,8.3333333,10,5,25,10,30,10,0.5,0,7,3
1113,65069601,0,3,0,15.833333,23.333333,8.3333333,10,5,35,10,25,10,0.48214286,0,8,2
1114,65069701,0,7,0,12.916667,15.833333,10,10,0,15,15,22.5,15,0.57142857,3,4,6
1115,65069801,0,5,0,15,18.333333,11.666667,25,10,0,10,30,15,0.5,0,6,4
1116,65069901,0,4,0,5,6.6666667,3.3333333,5,5,5,5,10,0,0.71428571,0,7,3
1117,65070001,0,4,0,6.6666667,8.3333333,5,5,0,5,5,15,10,0.67857143,0,7,3
1118,65070101,0,3,0,22.5,30,15,10,5,50,30,30,10,0.33928571,0,8,2
1119,65070201,0,5,0,5,5,5,5,5,5,5,5,5,0.71428571,0,6,4
1120,65070301,0,5,2,6.6666667,8.3333333,5,10,0,10,5,5,10,0.67857143,0,5,5
1121,65070401,0,3,2,16.25,22.5,10,15,5,10,10,42.5,15,0.5,3,4,6
1122,65070501,0,4,0,10,13.333333,6.6666667,10,0,10,10,20,10,0.60714286,0,7,3
1123,65070601,0,3,0,19.166667,26.666667,11.666667,20,10,40,15,20,10,0.41071429,0,8,2
1124,65070701,0,3,0,1.6666667,5,-1.6666667,0,0,-10,-10,25,5,0.78571429,2,8,2
1125,65070801,0,5,0,2.5,3.3333333,1.6666667,0,0,5,5,5,0,0.76785714,0,6,4
1126,65070901,0,3,0,4.1666667,5,3.3333333,5,5,5,5,5,0,0.73214286,0,8,2
1127,65071001,0,5,0,5,8.3333333,1.6666667,5,-5,5,0,15,10,0.71428571,0,6,4
1128,65071101,0,3,0,17.5,25,10,15,5,25,10,35,15,0.44642857,0,8,2
1129,65071201,0,6,2,22.916667,34.166667,11.666667,12.5,10,70,10,20,15,0.32142857,3,1,9
1130,65071301,0,7,0,5,5,5,-10,5,10,5,15,5,0.71428571,0,4,6
1131,65071401,0,3,0,18.333333,25,11.666667,10,5,50,25,15,5,0.42857143,0,8,2
1132,65071501,0,6,0,2.5,3.3333333,1.6666667,0,0,0,0,10,5,0.76785714,0,5,5
1133,65071601,0,3,0,15,18.333333,11.666667,15,5,15,20,25,10,0.5,0,8,2
1134,65071701,0,5,0,7.5,13.333333,1.6666667,10,0,15,0,15,5,0.66071429,0,6,4
1135,65071801,0,2,0,17.5,23.333333,11.666667,15,5,20,15,35,15,0.44642857,0,9,1
1136,65071901,0,2,0,24.166667,31.666667,16.666667,15,5,55,35,25,10,0.30357143,0,9,1
1137,65072001,0,6,0,15.833333,23.333333,8.3333333,5,0,35,15,30,10,0.48214286,0,5,5
1138,65072101,0,4,0,8.3333333,11.666667,5,10,-5,10,10,15,10,0.64285714,0,7,3
1139,65072201,0,6,0,0.83333333,-1.6666667,3.3333333,-10,5,5,5,0,0,0.80357143,0,5,5
1140,65072301,0,4,0,-3.3333333,-3.3333333,-3.3333333,-5,-5,-5,-5,0,0,0.89285714,0,7,3
1141,65072401,0,3,0,17.5,20,15,15,5,15,25,30,15,0.42857143,3,8,2
1142,65072501,0,5,0,23.333333,33.333333,13.333333,10,5,40,20,50,15,0.32142857,3,6,4
1143,65072601,0,6,0,9.1666667,11.666667,6.6666667,5,0,10,10,20,10,0.625,0,5,5
1144,65072701,0,5,0,30,40,20,20,10,65,35,35,15,0.17857143,0,6,4
1145,65072801,0,4,0,18.333333,25,11.666667,15,5,40,20,20,10,0.42857143,0,7,3
1146,65072901,0,3,0,30,46.666667,13.333333,25,15,70,5,45,20,0.17857143,1,8,2
1147,65073001,0,4,0,13.333333,20,6.6666667,10,0,40,15,10,5,0.53571429,0,7,3
1148,65073101,0,5,0,2.5,6.6666667,-1.6666667,0,-10,10,5,10,0,0.76785714,0,6,4
1149,65073201,0,4,0,0.83333333,0,1.6666667,0,-5,0,0,0,10,0.80357143,0,7,3
1150,65073301,0,4,0,15.416667,20,10.833333,5,-2.5,30,20,25,15,0.51785714,3,7,3
1151,65073401,0,6,0,13.75,13.333333,14.166667,10,10,30,32.5,0,0,0.58928571,3,5,5
1152,65073501,0,3,0,20,28.333333,11.666667,25,5,25,15,35,15,0.39285714,0,8,2
1153,65073601,0,3,0,15.833333,20,11.666667,10,5,35,20,15,10,0.48214286,0,8,2
1154,65073701,0,3,0,23.333333,30,16.666667,10,5,50,30,30,15,0.32142857,0,8,2
1155,65073801,0,4,0,17.5,21.666667,13.333333,15,5,40,30,10,5,0.44642857,0,7,3
1156,65073901,0,5,0,20,28.333333,11.666667,10,0,50,25,25,10,0.39285714,0,6,4
1157,65074001,0,0,1,22.5,30,15,15,5,50,30,25,10,0.33928571,0,NA,NA
1158,65074101,0,4,0,18.333333,23.333333,13.333333,15,5,40,25,15,10,0.42857143,0,7,3
1159,65074201,0,4,0,-2.5,-3.3333333,-1.6666667,-10,-5,0,0,0,0,0.875,0,7,3
1160,65074301,0,3,0,15,21.666667,8.3333333,15,5,25,10,25,10,0.5,0,8,2
1161,65074401,0,4,0,8.3333333,13.333333,3.3333333,10,0,5,0,25,10,0.64285714,0,7,3
1162,65074501,0,6,0,15,16.666667,13.333333,15,5,10,20,25,15,0.5,0,5,5
1163,65074601,0,6,0,4.1666667,8.3333333,0,0,0,0,0,25,0,0.73214286,0,5,5
1164,65074701,0,5,0,14.166667,16.666667,11.666667,10,5,15,15,25,15,0.51785714,0,6,4
1165,65074801,0,6,0,7.5,10,5,10,0,5,10,15,5,0.66071429,0,5,5
1166,65074901,0,4,2,14.583333,14.166667,15,7.5,15,12.5,25,22.5,5,0.51785714,1,5,5
1167,65075001,0,5,0,2.5,3.3333333,1.6666667,5,0,0,0,5,5,0.76785714,0,6,4
1168,65075101,0,3,0,30.833333,41.666667,20,15,5,70,35,40,20,0.16071429,0,8,2
1169,65075201,0,4,0,11.666667,15,8.3333333,15,5,20,20,10,0,0.57142857,0,7,3
1170,65075301,0,5,0,7.5,10,5,5,0,20,10,5,5,0.66071429,0,6,4
1171,65075401,0,3,0,3.75,4.1666667,3.3333333,7.5,15,-10,-10,15,5,0.75,1,8,2
1172,65075501,0,3,2,11.666667,18.333333,5,0,0,25,5,30,10,0.57142857,3,5,5
1173,65075601,0,6,0,8.75,10.833333,6.6666667,5,0,5,5,22.5,15,0.66071429,3,5,5
1174,65075701,0,6,0,22.5,35,10,15,5,70,10,20,15,0.33928571,0,5,5
1175,65075801,0,5,0,14.166667,23.333333,5,10,0,40,10,20,5,0.51785714,0,6,4
1176,65075901,0,3,0,22.5,28.333333,16.666667,15,5,40,30,30,15,0.33928571,0,8,2
1177,65076001,0,3,0,17.5,25,10,10,5,40,15,25,10,0.44642857,0,8,2
1178,65076101,0,4,2,16.666667,22.5,10.833333,10,0,40,22.5,17.5,10,0.53571429,3,6,4
1179,65076201,0,3,0,9.1666667,15,3.3333333,10,0,25,5,10,5,0.625,0,8,2
1180,65076301,0,1,0,13.333333,25,1.6666667,25,15,40,-10,10,0,0.53571429,1,10,0
1181,65076401,0,4,0,5.4166667,14.166667,-3.3333333,2.5,0,15,-10,25,0,0.69642857,3,7,3
1182,65076501,0,5,0,11.666667,16.666667,6.6666667,10,0,25,15,15,5,0.57142857,0,6,4
1183,65076601,0,4,0,7.5,10,5,10,5,15,10,5,0,0.66071429,0,7,3
1184,65076701,0,6,0,10.833333,15,6.6666667,10,5,25,10,10,5,0.58928571,0,5,5
1185,65076801,0,4,0,11.666667,13.333333,10,5,5,25,15,10,10,0.57142857,0,7,3
1186,65076901,0,6,0,7.5,8.3333333,6.6666667,0,0,10,10,15,10,0.66071429,0,5,5
1187,65077001,0,4,0,2.5,3.3333333,1.6666667,5,0,5,5,0,0,0.76785714,0,7,3
1188,65077101,0,3,0,5.8333333,6.6666667,5,5,0,5,10,10,5,0.69642857,0,8,2
1189,65077201,0,4,0,9.1666667,13.333333,5,15,5,15,5,10,5,0.625,0,7,3
1190,65077301,0,4,0,20.833333,33.333333,8.3333333,15,5,60,10,25,10,0.375,0,7,3
1191,65077401,0,6,0,8.3333333,10,6.6666667,5,5,5,5,20,10,0.64285714,0,5,5
1192,65077501,0,3,0,2.5,5,0,5,0,0,0,10,0,0.76785714,0,8,2
1193,65077601,0,4,0,4.1666667,3.3333333,5,5,5,5,5,0,5,0.73214286,0,7,3
1194,65077701,0,4,0,10.833333,18.333333,3.3333333,10,0,20,5,25,5,0.58928571,0,7,3
1195,65077801,0,3,0,14.166667,16.666667,11.666667,15,5,5,15,30,15,0.51785714,3,8,2
1196,65077901,0,4,0,28.333333,40,16.666667,20,10,70,30,30,10,0.21428571,0,7,3
1197,65078001,0,7,2,14.166667,20,8.3333333,10,10,40,10,10,5,0.51785714,3,3,7
1198,65078101,0,4,0,21.666667,28.333333,15,15,0,45,30,25,15,0.35714286,0,7,3
1199,65078201,0,3,0,23.333333,33.333333,13.333333,12.5,5,45,35,42.5,0,0.33928571,3,8,2
1200,65078301,0,2,0,14.166667,20,8.3333333,10,5,25,10,25,10,0.51785714,0,9,1
1201,65078401,0,2,0,10.416667,14.166667,6.6666667,7.5,5,25,15,10,0,0.60714286,3,9,1
1202,65078501,0,5,0,17.5,23.333333,11.666667,15,5,25,15,30,15,0.42857143,3,6,4
1203,65078601,0,4,0,20.833333,26.666667,15,10,10,40,20,30,15,0.375,0,7,3
1204,65078701,0,6,0,12.5,16.666667,8.3333333,10,0,15,15,25,10,0.55357143,0,5,5
1205,65078801,0,7,2,7.5,10,5,-5,-10,20,15,15,10,0.69642857,3,1,9
1206,65078901,0,3,0,18.333333,25,11.666667,15,5,40,20,20,10,0.42857143,0,8,2
1207,65079001,0,5,0,7.5,15,0,10,5,20,-5,15,0,0.66071429,0,6,4
1208,65079101,0,0,1,13.75,17.5,10,12.5,2.5,27.5,22.5,12.5,5,0.57142857,3,NA,NA
1209,65079201,0,4,0,5.8333333,6.6666667,5,5,5,5,5,10,5,0.69642857,0,7,3
1210,65079301,0,3,0,18.333333,25,11.666667,15,5,40,20,20,10,0.42857143,0,8,2
1211,65079401,0,4,0,18.333333,26.666667,10,10,5,45,15,25,10,0.42857143,0,7,3
1212,65079501,0,3,0,15.833333,21.666667,10,20,5,25,15,20,10,0.48214286,0,8,2
1213,65079601,0,7,0,9.1666667,15,3.3333333,10,0,25,5,10,5,0.625,0,4,6
1214,68000201,0,5,0,4.1666667,5,3.3333333,0,0,0,5,15,5,0.73214286,0,6,4
1215,68000301,0,3,0,30,40,20,20,5,60,35,40,20,0.17857143,0,8,2
1216,68000401,0,6,0,7.0833333,10.833333,3.3333333,10,0,15,5,7.5,5,0.67857143,3,5,5
1217,68000601,0,2,0,16.666667,21.666667,11.666667,20,5,25,20,20,10,0.46428571,0,9,1
1219,68000801,0,4,0,15.833333,21.666667,10,15,5,25,10,25,15,0.48214286,0,7,3
1220,68000901,0,5,0,17.916667,25.833333,10,15,5,37.5,15,25,10,0.51785714,3,6,4
1221,68001001,0,4,0,16.666667,21.666667,11.666667,15,5,25,20,25,10,0.46428571,0,7,3
1222,68001101,0,6,0,10,13.333333,6.6666667,5,5,10,5,25,10,0.60714286,0,5,5
1223,68001201,0,5,2,38.333333,48.333333,28.333333,25,15,70,45,50,25,0,1,1,9
1224,68001301,0,6,0,3.3333333,5,1.6666667,5,0,5,0,5,5,0.75,0,5,5
1225,68001401,0,4,0,5.8333333,6.6666667,5,0,0,5,5,15,10,0.69642857,0,7,3
1226,68001501,0,3,0,0.83333333,3.3333333,-1.6666667,5,-5,0,0,5,0,0.80357143,0,8,2
1227,68001601,0,3,0,14.166667,20,8.3333333,15,5,30,15,15,5,0.51785714,0,8,2
1228,68001701,0,3,0,8.3333333,11.666667,5,10,0,10,10,15,5,0.64285714,0,8,2
1229,68001901,0,5,2,21.666667,31.666667,11.666667,5,5,40,20,50,10,0.35714286,3,5,5
1230,68002001,0,4,0,15.833333,21.666667,10,10,5,35,15,20,10,0.48214286,0,7,3
1231,68002101,0,6,0,3.3333333,5,1.6666667,5,0,0,0,10,5,0.75,0,5,5
1232,68002201,0,5,2,22.916667,34.166667,11.666667,10,10,42.5,20,50,5,0.35714286,1,4,6
1233,68002301,0,2,0,25.833333,31.666667,20,15,5,40,35,40,20,0.26785714,0,9,1
1234,68002401,0,4,0,15,18.333333,11.666667,10,0,25,25,20,10,0.5,0,7,3
1235,68002501,0,0,1,25,30,20,20,5,40,45,30,10,0.28571429,0,NA,NA
1236,68002601,0,4,0,8.3333333,13.333333,3.3333333,10,0,15,5,15,5,0.64285714,0,7,3
1237,68002701,0,6,0,9.1666667,13.333333,5,0,0,0,0,40,15,0.625,0,5,5
1238,68002801,0,7,0,-5.8333333,-6.6666667,-5,-10,-10,-10,-5,0,0,0.94642857,2,4,6
1239,68002901,0,5,0,4.1666667,1.6666667,6.6666667,5,5,-5,5,5,10,0.73214286,0,6,4
1240,68003101,0,3,0,12.083333,14.166667,10,10,0,10,15,22.5,15,0.55357143,3,8,2
1241,68003301,0,1,0,12.916667,17.5,8.3333333,15,0,22.5,15,15,10,0.55357143,3,10,0
1242,68003401,0,3,0,19.166667,23.333333,15,10,5,40,20,20,20,0.39285714,3,8,2
1243,68003501,0,5,2,14.166667,18.333333,10,20,5,10,15,25,10,0.51785714,0,4,6
1244,68003701,0,3,0,11.666667,18.333333,5,15,5,25,5,15,5,0.57142857,0,8,2
1245,68003801,0,4,0,11.666667,13.333333,10,10,5,20,15,10,10,0.57142857,0,7,3
1246,68003901,0,5,0,10.833333,15,6.6666667,10,0,20,15,15,5,0.58928571,0,6,4
1247,68004001,0,6,0,4.1666667,10,-1.6666667,-5,-10,15,5,20,0,0.73214286,0,5,5
1248,68004101,0,3,0,16.666667,16.666667,16.666667,15,5,10,20,25,25,0.46428571,0,8,2
1249,68004201,0,5,0,16.666667,26.666667,6.6666667,15,5,50,10,15,5,0.46428571,0,6,4
1250,68004301,0,7,2,0.83333333,3.3333333,-1.6666667,0,0,0,-10,10,5,0.80357143,2,3,7
1251,68004401,0,7,0,11.666667,15,8.3333333,10,5,15,10,20,10,0.57142857,0,4,6
1252,68004501,0,6,0,18.333333,23.333333,13.333333,10,5,40,25,20,10,0.42857143,0,5,5
1253,68004601,0,5,0,7.0833333,5.8333333,8.3333333,7.5,0,0,15,10,10,0.67857143,3,6,4
1254,68004701,0,4,0,18.75,24.166667,13.333333,10,0,37.5,25,25,15,0.39285714,3,7,3
1255,68004801,0,4,0,16.666667,21.666667,11.666667,10,5,35,30,20,0,0.46428571,0,7,3
1256,68004901,0,5,0,10,16.666667,3.3333333,10,5,25,15,15,-10,0.58928571,0,6,4
1257,68005001,0,6,0,15,23.333333,6.6666667,15,0,30,5,25,15,0.5,0,5,5
1258,68005201,0,4,0,11.666667,16.666667,6.6666667,10,5,30,10,10,5,0.57142857,0,7,3
1259,68005301,0,7,0,9.1666667,15,3.3333333,5,0,25,5,15,5,0.625,0,4,6
1260,68005401,0,4,0,7.9166667,10.833333,5,12.5,5,0,10,20,0,0.66071429,1,7,3
1261,68005501,0,6,0,22.5,31.666667,13.333333,20,5,40,20,35,15,0.33928571,0,5,5
1262,68005601,0,5,0,19.166667,25,13.333333,10,5,35,25,30,10,0.42857143,3,6,4
1263,68005701,0,3,0,32.5,41.666667,23.333333,20,10,70,45,35,15,0.125,0,8,2
1264,68005801,0,5,0,13.333333,18.333333,8.3333333,10,-5,10,10,35,20,0.53571429,0,6,4
1265,68005901,0,3,0,25,38.333333,11.666667,20,5,70,20,25,10,0.28571429,0,8,2
1266,68006001,0,5,0,2.5,5,0,5,-5,0,0,10,5,0.76785714,0,6,4
1267,68006101,0,8,0,2.5,5,0,0,0,0,0,15,0,0.76785714,0,3,7
1268,68006201,0,4,0,15,21.666667,8.3333333,10,5,45,15,10,5,0.5,0,7,3
1269,68006301,0,7,0,6.6666667,6.6666667,6.6666667,-5,0,15,15,10,5,0.67857143,0,4,6
1270,68006401,0,3,0,10.833333,16.666667,5,10,5,25,10,15,0,0.58928571,0,8,2
1271,68006501,0,3,0,30,38.333333,21.666667,15,5,70,45,30,15,0.17857143,0,8,2
1272,68006601,0,5,0,5,8.3333333,1.6666667,5,-5,10,5,10,5,0.71428571,0,6,4
1273,68006901,0,5,2,15.833333,20,11.666667,20,5,15,25,25,5,0.48214286,0,5,5
1274,68007001,0,3,0,22.5,31.666667,13.333333,15,5,55,25,25,10,0.33928571,0,8,2
1275,68007101,0,6,0,8.3333333,10,6.6666667,5,5,15,10,10,5,0.64285714,0,5,5
1276,68007201,0,4,0,18.333333,23.333333,13.333333,10,0,30,30,30,10,0.42857143,0,7,3
1277,68007301,0,4,0,10,15,5,5,0,25,10,15,5,0.60714286,0,7,3
1278,68007401,0,2,0,21.666667,26.666667,16.666667,15,5,65,40,0,5,0.35714286,0,9,1
1279,68007501,0,2,0,22.5,30,15,15,10,45,25,30,10,0.33928571,0,9,1
1280,68007701,0,4,0,13.333333,18.333333,8.3333333,10,5,25,10,20,10,0.53571429,0,7,3
1281,68007801,0,5,2,9.5833333,14.166667,5,10,0,10,5,22.5,10,0.625,3,5,5
1282,68007901,0,5,2,21.666667,30,13.333333,10,5,30,20,50,15,0.39285714,3,1,9
1283,68008001,0,3,1,34.166667,45,23.333333,20,0,70,45,45,25,0.089285714,0,2,8
1284,68008201,0,5,0,8.3333333,13.333333,3.3333333,10,0,25,5,5,5,0.64285714,0,6,4
1285,68008401,0,4,0,15.833333,22.5,9.1666667,10,5,27.5,12.5,30,10,0.48214286,3,7,3
1286,68008601,0,4,0,10.416667,17.5,3.3333333,10,5,25,5,17.5,0,0.625,3,7,3
1287,68008701,0,5,0,22.5,31.666667,13.333333,15,5,45,20,35,15,0.33928571,0,6,4
1288,68008801,0,6,0,16.666667,25,8.3333333,15,5,45,10,15,10,0.46428571,0,5,5
1289,68008901,0,3,0,20.833333,26.666667,15,15,5,35,25,30,15,0.35714286,3,8,2
1290,68009001,0,0,1,30,38.333333,21.666667,25,15,45,30,45,20,0.17857143,1,NA,NA
1291,68009101,0,3,0,20.833333,28.333333,13.333333,20,5,35,25,30,10,0.375,0,8,2
1292,68009201,0,4,0,20.833333,25,16.666667,15,5,40,30,20,15,0.375,0,7,3
1293,68009401,0,2,0,15,16.666667,13.333333,10,5,10,25,30,10,0.5,0,9,1
1294,68009501,0,3,0,1.6666667,6.6666667,-3.3333333,0,-5,20,-10,0,5,0.78571429,2,8,2
1295,68009601,0,1,0,34.166667,45,23.333333,20,5,70,45,45,20,0.089285714,0,10,0
1296,68009701,0,6,0,6.6666667,9.1666667,4.1666667,10,2.5,7.5,5,10,5,0.69642857,3,5,5
1297,68009801,0,10,0,7.0833333,12.5,1.6666667,-2.5,-10,-10,-10,50,25,0.67857143,3,1,9
1298,68009901,0,5,0,11.666667,11.666667,11.666667,15,5,20,25,0,5,0.57142857,0,6,4
1299,68010001,0,5,0,11.666667,16.666667,6.6666667,15,5,25,10,10,5,0.57142857,0,6,4
1300,68010101,0,1,0,31.666667,41.666667,21.666667,20,10,65,35,40,20,0.14285714,0,10,0
1301,68010201,0,5,2,10.833333,13.333333,8.3333333,10,5,10,10,20,10,0.58928571,0,5,5
1302,68010301,0,1,0,21.666667,26.666667,16.666667,20,10,20,20,40,20,0.35714286,0,10,0
1303,68010401,0,6,0,5,5,5,5,5,5,5,5,5,0.71428571,0,5,5
1304,68010501,0,5,0,20,26.666667,13.333333,15,5,45,25,20,10,0.39285714,0,6,4
1305,68010601,0,5,0,6.6666667,6.6666667,6.6666667,5,5,5,5,10,10,0.67857143,0,6,4
1306,68010701,0,6,0,22.5,30,15,20,5,50,35,20,5,0.33928571,0,5,5
1307,68010801,0,6,2,19.166667,26.666667,11.666667,15,5,40,20,25,10,0.41071429,0,3,7
1308,68010901,0,5,0,20,28.333333,11.666667,15,5,45,20,25,10,0.39285714,0,6,4
1309,68011001,0,4,0,22.5,36.666667,8.3333333,20,5,65,10,25,10,0.33928571,0,7,3
1310,68011101,0,6,0,5,5,5,5,5,5,5,5,5,0.71428571,0,5,5
1311,68011201,0,5,0,11.666667,13.333333,10,10,5,15,20,15,5,0.57142857,0,6,4
1312,68011301,0,3,0,22.5,30,15,15,5,40,25,35,15,0.33928571,0,8,2
1313,68011401,0,3,0,11.666667,16.666667,6.6666667,10,0,10,10,30,10,0.57142857,0,8,2
1314,68011501,0,4,0,9.1666667,13.333333,5,10,0,10,10,20,5,0.625,0,7,3
1315,68011601,0,2,0,23.333333,30,16.666667,15,5,45,30,30,15,0.32142857,0,9,1
1316,68011701,0,3,0,14.166667,18.333333,10,10,5,25,15,20,10,0.51785714,0,8,2
1317,68011801,0,5,2,38.333333,48.333333,28.333333,25,15,70,45,50,25,0,1,1,9
1318,68011901,0,7,2,2.5,13.333333,-8.3333333,0,-5,-10,-10,50,-10,0.75,2,2,8
1319,68012101,0,4,0,5.8333333,8.3333333,3.3333333,-5,-10,10,10,20,10,0.69642857,0,7,3
1320,68012201,0,6,0,4.1666667,5,3.3333333,5,5,5,5,5,0,0.73214286,0,5,5
1321,68012301,0,3,0,19.166667,30,8.3333333,15,0,45,10,30,15,0.41071429,3,8,2
1322,68012401,0,4,0,18.333333,26.666667,10,15,5,35,15,30,10,0.42857143,0,7,3
1323,68012501,0,5,2,15.833333,20,11.666667,10,5,30,15,20,15,0.48214286,0,5,5
1324,68012601,0,3,0,10,15,5,10,5,20,5,15,5,0.60714286,0,8,2
1325,68012701,0,4,0,16.666667,21.666667,11.666667,10,5,35,20,20,10,0.46428571,0,7,3
1326,68012901,0,4,0,15,23.333333,6.6666667,10,0,25,10,35,10,0.5,0,7,3
1327,68013001,0,5,2,19.166667,26.666667,11.666667,20,5,40,15,20,15,0.41071429,0,5,5
1328,68013101,0,3,0,22.5,31.666667,13.333333,15,5,50,25,30,10,0.33928571,0,8,2
1329,68013201,0,3,0,30,41.666667,18.333333,20,5,70,35,35,15,0.17857143,0,8,2
1330,68013501,0,8,1,14.166667,20,8.3333333,10,5,25,10,25,10,0.51785714,0,1,9
1331,68013601,0,6,0,10,15,5,10,5,30,5,5,5,0.60714286,0,5,5
1332,68013801,0,3,0,22.5,28.333333,16.666667,15,5,40,20,30,25,0.32142857,3,8,2
1333,68013901,0,5,0,5,10,0,5,0,10,-5,15,5,0.71428571,0,6,4
1334,68014101,0,3,0,12.5,18.333333,6.6666667,10,0,25,15,20,5,0.55357143,0,8,2
1335,68014201,0,5,0,10.833333,16.666667,5,20,5,5,0,25,10,0.58928571,0,6,4
1336,68014301,0,5,0,15,18.333333,11.666667,15,5,35,25,5,5,0.5,0,6,4
1337,68014401,0,4,0,22.5,28.333333,16.666667,20,5,25,30,40,15,0.33928571,0,7,3
1338,68014501,0,6,0,10.833333,15,6.6666667,10,5,20,10,15,5,0.58928571,0,5,5
1339,68014601,0,3,0,11.666667,15,8.3333333,5,0,25,10,15,15,0.57142857,0,8,2
1340,68014701,0,3,0,1.6666667,1.6666667,1.6666667,0,0,0,0,5,5,0.78571429,0,8,2
