bibkey,paper,task,subject,choice,r,city,tablet_id,age,gender,country,latitude,longitude
Dannenberg2022,Dannenberg et al. 2022,IG,48,543,0.6809969185353287,Namasabo,12,22,0,Tanzania,-2.10875,33.04086
Dannenberg2022,Dannenberg et al. 2022,IG,49,534,0.6716409765438955,Namasabo,13,30,0,Tanzania,-2.10875,33.04086
Dannenberg2022,Dannenberg et al. 2022,IG,50,558,0.6955193583326248,Namasabo,14,21,0,Tanzania,-2.10875,33.04086
Dannenberg2022,Dannenberg et al. 2022,IG,51,674,0.7778206444241031,Namasabo,15,18,0,Tanzania,-2.10875,33.04086
Dannenberg2022,Dannenberg et al. 2022,IG,52,731,0.8067662719495438,Namasabo,16,35,0,Tanzania,-2.10875,33.04086
Dannenberg2022,Dannenberg et al. 2022,IG,53,783,0.8297686624405235,Namasabo,17,40,0,Tanzania,-2.10875,33.04086
Dannenberg2022,Dannenberg et al. 2022,IG,54,876,0.8672215570814564,Namasabo,18,28,0,Tanzania,-2.10875,33.04086
Dannenberg2022,Dannenberg et al. 2022,IG,55,502,0.6335978764858422,Bugula,1,40,0,Tanzania,-2.01209,32.87846
Dannenberg2022,Dannenberg et al. 2022,IG,56,124,1.4734130200038116,Bugula,2,40,0,Tanzania,-2.01209,32.87846
Dannenberg2022,Dannenberg et al. 2022,IG,57,436,0.5179921862865265,Bugula,3,50,0,Tanzania,-2.01209,32.87846
Dannenberg2022,Dannenberg et al. 2022,IG,58,365,0.25586981932644887,Bugula,4,44,0,Tanzania,-2.01209,32.87846
Dannenberg2022,Dannenberg et al. 2022,IG,59,757,0.8185768713293182,Bugula,5,28,0,Tanzania,-2.01209,32.87846
Dannenberg2022,Dannenberg et al. 2022,IG,60,1000,1,Bugula,6,47,0,Tanzania,-2.01209,32.87846
Dannenberg2022,Dannenberg et al. 2022,IG,61,811,0.8413135221912843,Bugula,7,23,0,Tanzania,-2.01209,32.87846
Dannenberg2022,Dannenberg et al. 2022,IG,62,300,-0.6133777550366369,Bugula,8,22,0,Tanzania,-2.01209,32.87846
Dannenberg2022,Dannenberg et al. 2022,IG,63,3,1.0861312484555754,Bugula,9,24,0,Tanzania,-2.01209,32.87846
Dannenberg2022,Dannenberg et al. 2022,IG,64,439,0.5248775708575135,Bugula,10,51,0,Tanzania,-2.01209,32.87846
Dannenberg2022,Dannenberg et al. 2022,IG,65,573,0.70886692429865,Bugula,11,24,0,Tanzania,-2.01209,32.87846
Dannenberg2022,Dannenberg et al. 2022,IG,66,579,0.7139135843098277,Bugula,12,31,0,Tanzania,-2.01209,32.87846
Dannenberg2022,Dannenberg et al. 2022,IG,67,846,0.8553036399629401,Bugula,13,49,0,Tanzania,-2.01209,32.87846
Dannenberg2022,Dannenberg et al. 2022,IG,68,375,0.31018321387797254,Bugula,14,60,0,Tanzania,-2.01209,32.87846
Dannenberg2022,Dannenberg et al. 2022,IG,69,647,0.7621194709696532,Bugula,15,30,0,Tanzania,-2.01209,32.87846
Dannenberg2022,Dannenberg et al. 2022,IG,70,264,-4.52922499565961,Bugula,16,43,0,Tanzania,-2.01209,32.87846
Dannenberg2022,Dannenberg et al. 2022,IG,71,496,0.6254751214308442,Bugula,17,27,0,Tanzania,-2.01209,32.87846
Dannenberg2022,Dannenberg et al. 2022,IG,72,523,0.6594668252251775,Bugula,18,25,0,Tanzania,-2.01209,32.87846
Dannenberg2022,Dannenberg et al. 2022,IG,73,994,0.9346928841485959,Bugula,1,29,0,Tanzania,-2.01209,32.87846
Dannenberg2022,Dannenberg et al. 2022,IG,74,178,1.9400028408332086,Bugula,2,44,0,Tanzania,-2.01209,32.87846
Dannenberg2022,Dannenberg et al. 2022,IG,75,754,0.8172488302502837,Bugula,3,45,0,Tanzania,-2.01209,32.87846
Dannenberg2022,Dannenberg et al. 2022,IG,76,529,0.6662131555611215,Bugula,4,50,0,Tanzania,-2.01209,32.87846
Dannenberg2022,Dannenberg et al. 2022,IG,77,520,0.6559933913090233,Bugula,5,27,0,Tanzania,-2.01209,32.87846
Dannenberg2022,Dannenberg et al. 2022,IG,78,689,0.7859281282028625,Bugula,6,52,0,Tanzania,-2.01209,32.87846
Dannenberg2022,Dannenberg et al. 2022,IG,79,835,0.8509373457606249,Bugula,7,25,0,Tanzania,-2.01209,32.87846
Dannenberg2022,Dannenberg et al. 2022,IG,80,496,0.6254751214308442,Bugula,8,25,0,Tanzania,-2.01209,32.87846
Dannenberg2022,Dannenberg et al. 2022,IG,81,713,0.7981366185267532,Bugula,9,24,0,Tanzania,-2.01209,32.87846
Dannenberg2022,Dannenberg et al. 2022,IG,82,0,-1,Bugula,10,24,0,Tanzania,-2.01209,32.87846
Dannenberg2022,Dannenberg et al. 2022,IG,83,460,0.5678586501890672,Bugula,11,19,0,Tanzania,-2.01209,32.87846
