"partid","ABCTEU_OS","ABCTEU_CS","ABCTEU_DEV","ABCTEU_BIC","ABCT4P_OS","ABCT4P_PW","ABCT4P_LA","ABCT4P_CS","ABCT4P_DEV","ABCT4P_BIC","ABCT6P_OSg","ABCT6P_OSl","ABCT6P_PWg","ABCT6P_PWl","ABCT6P_LA","ABCT6P_CS","ABCT6P_DEV","ABCT6P_BIC","ABCTRN_DEV","MPLEU_OS","MPLEU_CS","MPLEU_DEV","MPLEU_BIC","MPL4P_OS","MPL4P_PW","MPL4P_LA","MPL4P_CS","MPL4P_DEV","MPL4P_BIC","MPL6P_OSg","MPL6P_OSl","MPL6P_PWg","MPL6P_PWl","MPL6P_LA","MPL6P_CS","MPL6P_DEV","MPL6P_BIC","MPLRN_DEV","CCTEU_OS","CCTEU_CS","CCTEU_DEV","CCTEU_BIC","CCT3P_OS","CCT3P_PW","CCT3P_LA","CCT3P_DEV","CCT3P_BIC","CCT4P_OS","CCT4P_PW","CCT4P_LA","CCT4P_CS","CCT4P_DEV","CCT4P_BIC","CCT6P_OSg","CCT6P_OSl","CCT6P_PWg","CCT6P_PWl","CCT6P_LA","CCT6P_CS","CCT6P_DEV","CCT6P_BIC","CCTRN_mp","CCTRN_DEV","CCTRN_BIC","BARTRN_pm","BARTRN_DEV","BARTRN_BIC","BART1_OS","BART1_alpha","BART1_mu","BART1_LA","BART1_CS","BART1_DEV","BART1_BIC","BART3_OS","BART3_alpha","BART3_mu","BART3_CS","BART3_DEV","BART3_BIC"
65066301,0.97426955,0.44110453,23.757406,31.581452,0.98980412,0.97103237,0.94611537,0.42614071,23.613397,39.261489,0.76589104,1.1887121,0.91754944,1.0451466,0.12815853,1.4979584,19.971486,43.443624,69.314718,0.27074341,2.801514,72.894011,81.273321,0.9118369,1.6454875,2.7324619,10,5.003921,21.76254,0.99858852,1.0772081,1.3462683,1.9184099,2.0072852,10,0.74863996,25.886568,91.495428,0.62986736,10,208.61558,217.47721,0.34170245,0.26950352,0.64798004,184.88483,198.17728,0.34167407,0.26945574,0.64796304,10,184.88483,202.6081,0.4484202,1.9066238,10,0.80707325,10,10,136.87706,163.46196,0.75623275,223.27051,227.70132,0.9704759,558.94846,562.34966,1.4312306,184.87907,184.46424,0.7788826,6.882802,147.00283,164.00882,0.25666473,590.06841,591.73778,0.18377507,150.45734,164.06213
65066401,1.7170083,0.003168934,52.554797,60.378843,1.589409,0.82687876,1.2961944,0.0064481342,51.630941,67.279033,1.5009789,1.4686573,1.0905967,0.62771322,1.9289271,0.010368031,47.866163,71.338301,69.314718,0.45071617,3.1766782,43.675562,52.054871,0.59192881,0.51105729,1.2814416,5.1385191,20.640685,37.399304,0.45057863,0.54598667,0.99199977,1.7892909e-11,0.96262547,10,17.412991,42.550919,91.495428,1.6439627e-11,2.1871772,238.46881,247.33045,1.1023965e-09,0.20053814,1.3155414,223.81777,237.11022,2.0650148e-13,0.20054445,1.3155632,10,223.81777,241.54104,2.6667557e-12,3.9479531e-12,0.45422658,1.5835666e-11,1.5428409,9.8361919,222.9703,249.55521,0.78080978,307.10558,311.5364,0.91300953,781.34567,784.74687,1.998614,3642.22,3642.6674,3.9122992,7.5424459,132.24823,149.25421,0.015590344,5423.3653,5425.3127,0.35012597,149.20328,162.80807
65066501,0.74565179,0.28880559,56.070107,63.894153,0.83728473,0.68476705,2.2175128,0.33201365,44.639184,60.287276,1.0532186,0.7812503,0.49169727,0.76121773,6.6633069,0.17451243,39.679294,63.151432,69.314718,0.31111041,2.9965947,67.50743,75.886739,0.45389415,0.49998466,1.5089628,5.3824229,33.439189,50.197808,0.34184899,0.35341191,1.1288339,3.6842751e-11,1.7577653,10,29.365118,54.503046,91.495428,0.34058206,9.4209236,278.82757,287.6892,0.14876142,0.32057848,0.80753729,265.76064,279.05309,0.14874567,0.32054119,0.8075298,10,265.76064,283.48391,0.14597051,0.44843953,0.23079501,0.63646212,1.4410127,10,262.08133,288.66623,0.86058951,301.30295,305.73377,0.99280775,272.83437,276.23557,1.7670723,8.1443155,8.5179434,0.035165469,7.6796905,104.32499,121.33098,0.95921772,35.218635,35.941397,0.15772727,96.0005,109.60529
65066601,0.80080161,0.44116906,41.383735,49.207781,0.8299912,0.98202051,1.3238467,0.35002355,40.783085,56.431177,0.54691854,1.17251,0.89687167,1.1619594,0.045375075,1.9025307,38.21041,61.682548,69.314718,0.62271478,0.33731326,78.928185,87.307495,0.84144711,0.40839625,1.83,4.4006302,12.705239,29.463858,1.0576868,0.88538692,0.30291982,0.63327715,4.1299398,10,4.9513567,30.089285,91.495428,9.0134566e-11,3.6762015,257.47105,266.33269,0.06071564,0.11848293,6.8669515e-11,124.31788,137.61033,0.060714619,0.11848483,1.5396184e-10,10,124.31788,142.04115,0.0016592217,3.0910228,0.04950537,1.5215608,10,10,117.54779,144.13269,0.97851502,125.5659,129.99671,0.9734545,563.09456,566.49576,0.70307834,0.12898397,0.037214643,2.9324735,7.3256811,147.71151,164.71749,1.1814991,174.83465,176.37416,0.053838721,150.97586,164.58065
65066701,0.76353722,0.22243427,59.755593,67.579639,0.23154607,2.1790687,1.2730588,2.5979289,57.057281,72.705373,0.092272214,2.5602895,2.3707967,1.1950406,7.904775e-06,9.999935,47.957236,71.429374,69.314718,0.49845819,0.4480059,84.142735,92.522045,0.49670964,0.24188287,1.3938055,2.971483,51.325274,68.083893,0.45831846,1.2577276,0.58724053,3.8645309e-10,0.048148742,5.1104156,37.09003,62.227959,91.495428,3.1686764e-10,2.7413802,284.88094,293.74257,1.2916557e-10,0.057667886,0.45744939,220.74354,234.03599,3.5366154e-12,0.14967826,1.5001445e-10,5.192174,220.63609,238.35936,1.0492429e-05,5.4376328,0.14677912,2.2182758,9.9532801,5.2124408,220.6121,247.197,0.92872749,223.50062,227.93144,0.94509227,511.38336,514.78456,1.317503,4.0153195,4.2284002,0.52691002,6.0928375,166.14898,183.15496,0.60108702,560.00494,567.13872,0.13393174,169.97287,183.57766
65066801,1.1623044,0.080194908,41.237757,49.061803,1.2302382,0.84776846,2.1247267,0.099958442,27.31533,42.963422,1.0795216,1.3106825,0.79095789,0.86122721,0.68574248,0.24144656,25.968186,49.440324,69.314718,0.86522654,0.22774427,58.299586,66.678895,0.7789244,0.37946346,0.98721563,0.60408385,55.086665,71.845284,0.4109191,1.0304782,10,0.60277785,0.10068491,2.4394711,49.801755,74.939683,91.495428,0.15962963,5.9155966,271.23377,280.09541,0.10258857,0.23059917,0.32269075,182.97121,196.26366,0.10256097,0.2305587,0.32274967,10,182.97121,200.69447,0.077428353,0.2408241,0.2390488,0.15928525,0.53538381,10,182.43123,209.01613,0.95150912,192.08928,196.52009,0.98482757,455.89733,459.26463,0.62314321,0.62169483,0.43923038,4.8878897,9.9549285,132.54,149.37648,0.92301699,157.41973,158.28478,0.087406298,137.00504,150.47423
65066901,1.0964109,0.16433298,34.276565,42.100611,0.74789787,1.4045058,1.3959415,0.73900443,27.856239,43.504331,0.73620559,0.6012113,3.5791104,1.2863246,4.8328309,0.51064542,25.6062,49.078338,69.314718,0.35526422,4.7013928,48.321735,56.701044,0.54500941,0.75768972,1.3807821,2.9456648,34.119873,50.878492,0.41996939,0.16196072,1.4837506,0.074848989,10,6.2252071,28.59732,53.735248,91.495428,1.0898615e-10,3.3429665,237.65271,246.51434,5.3823612e-11,0.18203523,0.79907141,224.52004,237.8125,7.0499162e-14,0.18203319,0.79907464,10,224.52004,242.24331,1.110223e-15,0.10429602,0.097838025,0.45800989,0.88818563,10,223.31461,249.89951,0.91682984,275.53638,279.96719,0.97017556,764.55124,767.95244,1.9255927,16.605228,15.935854,0.09206688,5.6660965,154.27459,171.28058,0.26584964,1867.5948,1872.0147,0.085486404,169.74937,183.35416
65067001,1.0674639,0.1413774,39.882913,47.706959,0.30211466,4.5389308,1.7608969,3.9770276,28.543784,44.191876,0.35268499,0.11065928,3.6996223,5.7969514,10,3.5854674,26.38653,49.858668,69.314718,0.97348913,0.73215237,24.551887,32.931197,1.0570622,0.51325301,0.99520869,0.92338751,22.311694,39.070313,0.50989884,0.93863884,10,0.61799153,0.24477161,6.1770821,13.937126,39.075055,91.495428,0.31870341,10,245.8138,254.67544,0.29226893,0.82108356,0.34116823,200.90235,214.1948,0.29225918,0.8209977,0.34117946,10,200.90235,218.62562,0.25235429,0.9598507,1.2074608,0.67015824,1.6824903,10,191.866,218.4509,0.91811602,228.38115,232.81196,0.96377278,498.75409,502.15529,1.149796,2878.1974,3046.9844,0.1744244,9.780523,134.67824,151.68423,2,4057.6355,4202.8124,0.16875268,135.98388,149.58867
65067101,1.1568054,0.10150897,37.740596,45.564642,0.76327868,1.2031802,3.5632383,1.1080869,15.757472,31.405564,0.89550128,0.74554895,1.0439651,1.2233682,7.1688092,0.64078358,14.864359,38.336497,69.314718,0.26990731,1.5677766,81.596354,89.975664,0.64948466,0.58217835,2.1003263,10,8.1536222,24.912241,1.0132884,1.065581,0.184647,1.4619682,1.8105056,10,5.063751,30.201679,91.495428,0.037019328,3.191268,259.58136,268.44299,0.06126505,0.21042595,0.77549381,245.49423,258.78668,0.061266152,0.21042238,0.77547916,10,245.49423,263.2175,0.021425768,0.13470813,0.34330534,4.6956883e-12,1.2050612,10,242.24859,268.83349,0.891367,278.36995,282.80077,0.97384001,574.15907,577.56027,0.72134506,2.9948089,2.9846775,4.3298966,9.2242496,149.37366,166.37965,0.75594812,26.844518,26.981461,0.093176437,153.65608,167.26087
65067201,0.94825403,0.17162383,47.940869,55.764915,0.75546071,1.0186872,2.5578205,0.400189,40.09951,55.747602,1.1034327,0.75788559,0.68036006,1.0932725,10,0.11960715,35.273295,58.745433,69.314718,0.41660932,3.3447258,47.912528,56.291838,0.63601266,0.56144119,1.4127902,5.1802293,17.285343,34.043962,0.81133529,1.302441,0.53444244,1.0714722,0.18110988,10,2.0754603,27.213389,91.495428,0.50929479,10,256.49968,265.36131,0.28355969,0.28561213,0.52924695,226.90765,240.2001,0.28355126,0.28560043,0.52924631,10,226.90765,244.63092,0.23724733,0.45306732,0.51006117,5.5260241e-10,0.91042109,10,219.45935,246.04425,0.80320881,246.96621,251.39702,0.93956828,634.26697,637.66817,0.88247653,9.8265715,10.13556,4.0160019,9.8536421,132.15361,149.1596,0.36590022,15.569139,15.922314,0.29537557,132.34523,145.95002
