"partid","duration","raw","percentile","t","z","iq","stanine","sten","c11"
65054601,17,9.78,10,37,87,81,2,3,2
65054701,18,8.46,23,43,93,90,4,4,3
65054801,17,8.63,22,42,92,88,3,4,3
65054901,19,9.79,10,37,87,81,2,3,2
65055001,16,5.27,89,62,112,118,7,8,8
65055101,17,9.01,17,40,90,85,3,4,3
65055201,20,8.13,30,45,95,93,4,5,4
65055401,17,7.91,35,46,96,94,4,5,4
65055501,19,6.84,61,53,103,105,6,6,6
65055601,16,5.67,85,60,110,115,7,8,8
65055701,16,7.82,38,47,97,96,4,5,4
65055801,18,7.25,50,50,100,100,5,6,5
65055901,18,11.15,3,31,81,72,1,2,0
65056101,18,6.42,70,55,105,108,6,7,6
65056201,17,7.41,47,49,99,99,5,5,5
65056301,17,7.13,54,51,101,102,5,6,5
65056401,15,7.9,35,46,96,94,4,5,4
65056501,16,7.15,53,51,101,102,5,6,5
65056601,16,6.34,72,56,106,109,6,7,7
65056701,14,7.62,42,48,98,97,5,5,5
65056801,14,7.35,48,49,99,99,5,5,5
65056901,15,8.29,27,44,94,91,4,4,4
65057101,16,9.62,11,38,88,82,3,3,2
65057301,20,10.82,4,32,82,73,1,2,1
65057401,14,6.21,75,57,107,111,6,7,7
65057501,15,9.92,9,37,87,81,2,3,2
65057601,17,8.11,30,45,95,93,4,5,4
65057801,18,5.55,86,61,111,117,7,8,8
65057901,17,7.24,50,50,100,100,5,6,5
65058001,17,7.03,55,51,101,102,5,6,5
65058201,19,9.35,14,39,89,84,3,3,2
65058401,16,6.5,69,55,105,108,6,7,6
65058501,20,9.85,9,37,87,81,2,3,2
65058601,17,10.25,6,34,84,76,2,2,1
65058701,16,11.73,2,29,79,69,1,1,0
65058901,16,9,18,41,91,87,3,4,3
65059001,16,8.4,25,43,93,90,4,4,3
65059101,15,7.37,48,49,99,99,5,5,5
65059201,18,8.01,32,45,95,93,4,5,4
65059301,18,9.72,11,38,88,82,3,3,2
65059401,16,8.79,19,41,91,87,3,4,3
65059501,18,8.9,18,41,91,87,3,4,3
65059601,18,7.52,45,49,99,99,5,5,5
65059801,22,10.91,4,32,82,73,1,2,1
65059901,18,7.03,55,51,101,102,5,6,5
65060001,19,7.02,56,52,102,103,5,6,6
65060101,18,8.54,22,42,92,88,3,4,3
65060201,17,9.22,15,40,90,85,3,4,3
65060301,15,7.5,45,49,99,99,5,5,5
65060401,14,7.66,41,48,98,97,5,5,5
65060501,15,8.59,22,42,92,88,3,4,3
65060601,17,8.53,22,42,92,88,3,4,3
65060701,15,6.19,75,57,107,111,6,7,7
65060801,16,7.49,45,49,99,99,5,5,5
65060901,18,8.56,22,42,92,88,3,4,3
65061001,17,5.59,86,61,111,117,7,8,8
65061101,18,6.72,63,53,103,105,6,6,6
65061201,17,9.28,14,39,89,84,3,3,2
65061301,18,9.48,12,38,88,82,3,3,2
65061401,16,8.19,29,44,94,91,4,4,4
65061501,16,8.88,18,41,91,87,3,4,3
65061601,17,10.3,6,34,84,76,2,2,1
65061701,22,10.34,6,34,84,76,2,2,1
65061801,23,11.27,3,31,81,72,1,2,0
65061901,19,9.39,13,39,89,84,3,3,2
65062001,17,9.37,13,39,89,84,3,3,2
65062101,14,8.35,26,44,94,91,4,4,4
65062201,20,5.68,85,60,110,115,7,8,8
65062301,17,9.38,13,39,89,84,3,3,2
65062401,18,10.35,6,34,84,76,2,2,1
65062501,18,8.36,25,43,93,90,4,4,3
65062601,19,8.29,27,44,94,91,4,4,4
65062701,16,8.21,29,44,94,91,4,4,4
65062801,22,7.81,38,47,97,96,4,5,4
65062901,16,7.12,54,51,101,102,5,6,5
65063001,18,10.5,5,34,84,76,2,2,1
65063101,17,9.6,11,38,88,82,3,3,2
65063201,14,8.31,26,44,94,91,4,4,4
65063301,17,5.34,89,62,112,118,7,8,8
65063401,19,8.53,22,42,92,88,3,4,3
65063501,17,8.23,28,44,94,91,4,4,4
65063601,20,10.13,8,36,86,79,2,3,2
65063701,17,6.82,61,53,103,105,6,6,6
65063801,15,10.15,7,35,85,78,2,3,1
65063901,17,8.55,22,42,92,88,3,4,3
65064001,17,8.1,30,45,95,93,4,5,4
65064101,15,7.7,40,47,97,96,4,5,4
65064201,19,8.15,29,44,94,91,4,4,4
65064301,16,8.19,29,44,94,91,4,4,4
65064401,16,7.75,39,47,97,96,4,5,4
65064501,18,8.77,19,41,91,87,3,4,3
65064601,24,13.92,1,27,77,66,1,1,0
65064701,18,8.37,25,43,93,90,4,4,3
65064801,19,7.35,48,49,99,99,5,5,5
65064901,18,7.11,54,51,101,102,5,6,5
65065001,16,7.69,40,47,97,96,4,5,4
65065101,16,5.73,84,60,110,115,7,8,8
65065201,19,7.99,33,46,96,94,4,5,4
65065301,17,8.82,19,41,91,87,3,4,3
65065401,18,8.35,26,44,94,91,4,4,4
65065501,17,10.84,4,32,82,73,1,2,1
65065601,20,8.94,18,41,91,87,3,4,3
65065701,19,10.76,4,32,82,73,1,2,1
65065801,21,9.47,12,38,88,82,3,3,2
65065901,20,11.23,3,31,81,72,1,2,0
65066001,15,7.4,47,49,99,99,5,5,5
65066101,14,8.42,24,43,93,90,4,4,3
65066201,15,8.58,22,42,92,88,3,4,3
65066301,19,8.59,22,42,92,88,3,4,3
65066401,24,10.61,5,34,84,76,2,2,1
65066501,17,7.26,50,50,100,100,5,6,5
65066601,16,9.89,9,37,87,81,2,3,2
65066701,16,8.61,22,42,92,88,3,4,3
65066801,20,12,2,29,79,69,1,1,0
65066901,18,9.21,15,40,90,85,3,4,3
65067001,17,11.11,3,31,81,72,1,2,0
65067101,15,7.78,38,47,97,96,4,5,4
65067201,18,7.21,51,50,100,100,5,6,5
65067301,16,6.41,70,55,105,108,6,7,6
65067401,15,8.11,30,45,95,93,4,5,4
65067501,15,8.43,24,43,93,90,4,4,3
65067601,15,6.84,61,53,103,105,6,6,6
65067701,19,7.59,43,48,98,97,5,5,5
65067801,19,8.78,19,41,91,87,3,4,3
65067901,16,7.22,51,50,100,100,5,6,5
65068001,21,8.52,22,42,92,88,3,4,3
65068101,17,9.44,12,38,88,82,3,3,2
65068201,19,6.84,61,53,103,105,6,6,6
65068301,18,7.34,48,49,99,99,5,5,5
65068401,16,8.84,19,41,91,87,3,4,3
65068501,17,7.42,47,49,99,99,5,5,5
65068601,17,10.46,5,34,84,76,2,2,1
65068701,20,9.5,12,38,88,82,3,3,2
65068801,14,7.27,49,50,100,100,5,6,5
65068901,15,8.58,22,42,92,88,3,4,3
65069001,19,6.66,65,54,104,106,6,6,6
65069101,17,7.16,53,51,101,102,5,6,5
65069201,17,8.65,21,42,92,88,3,4,3
65069301,17,5.92,81,59,109,114,7,7,7
65069401,18,8.19,29,44,94,91,4,4,4
65069501,15,7.05,55,51,101,102,5,6,5
65069601,14,6.11,77,57,107,111,6,7,7
65069701,14,8.96,18,41,91,87,3,4,3
65069801,15,9.17,16,40,90,85,3,4,3
65069901,17,8.44,24,43,93,90,4,4,3
65070001,18,7.43,47,49,99,99,5,5,5
65070101,18,8.56,22,42,92,88,3,4,3
65070201,17,9.58,12,38,88,82,3,3,2
65070301,16,7.65,42,48,98,97,5,5,5
65070401,17,8.25,28,44,94,91,4,4,4
65070501,19,7.37,48,49,99,99,5,5,5
65070601,15,9.54,12,38,88,82,3,3,2
65070701,17,7.33,48,49,99,99,5,5,5
65070801,15,7.2,52,51,101,102,5,6,5
65070901,17,10.44,6,34,84,76,2,2,1
65071001,16,8.74,20,42,92,88,3,4,3
65071101,18,9.3,14,39,89,84,3,3,2
65071201,15,10.37,6,34,84,76,2,2,1
65071301,16,8.73,20,42,92,88,3,4,3
65071401,15,7.78,38,47,97,96,4,5,4
65071501,15,10.78,4,32,82,73,1,2,1
65071601,18,6.06,78,58,108,112,7,7,7
65071701,17,8.81,19,41,91,87,3,4,3
65071801,16,7.59,43,48,98,97,5,5,5
65071901,19,6.31,73,56,106,109,6,7,7
65072001,19,8.01,32,45,95,93,4,5,4
65072101,18,8.54,22,42,92,88,3,4,3
65072201,13,6.07,78,58,108,112,7,7,7
65072301,19,7.8,38,47,97,96,4,5,4
65072401,14,5.05,92,64,114,121,8,8,9
65072501,16,6.46,69,55,105,108,6,7,6
65072601,19,9.4,13,39,89,84,3,3,2
65072701,19,7.98,33,46,96,94,4,5,4
65072801,18,10.26,6,34,84,76,2,2,1
65072901,18,9.55,12,38,88,82,3,3,2
65073001,19,9.23,15,40,90,85,3,4,3
65073101,16,4.62,96,68,118,127,9,9,10
65073201,19,8.77,19,41,91,87,3,4,3
65073301,16,7.55,44,48,98,97,5,5,5
65073401,14,7.45,46,49,99,99,5,5,5
65073501,18,10.96,4,32,82,73,1,2,1
65073601,17,8.96,18,41,91,87,3,4,3
65073701,18,9.73,11,38,88,82,3,3,2
65073801,16,6.17,76,57,107,111,6,7,7
65073901,15,6.43,70,55,105,108,6,7,6
65074001,19,9.36,14,39,89,84,3,3,2
65074101,14,8.95,18,41,91,87,3,4,3
65074201,20,10.08,8,36,86,79,2,3,2
65074301,18,6.81,61,53,103,105,6,6,6
65074401,16,11.75,2,29,79,69,1,1,0
65074501,15,10.47,5,34,84,76,2,2,1
65074601,15,9.98,9,37,87,81,2,3,2
65074701,17,9.33,14,39,89,84,3,3,2
65074801,18,10.44,6,34,84,76,2,2,1
65074901,14,7.95,35,46,96,94,4,5,4
65075001,17,9.92,9,37,87,81,2,3,2
65075101,16,6.11,77,57,107,111,6,7,7
65075201,17,7,56,52,102,103,5,6,6
65075301,16,7.53,44,48,98,97,5,5,5
65075401,16,7.34,48,49,99,99,5,5,5
65075501,15,6.63,66,54,104,106,6,6,6
65075601,18,9.8,10,37,87,81,2,3,2
65075701,18,9.86,9,37,87,81,2,3,2
65075801,15,9.16,16,40,90,85,3,4,3
65075901,16,7.23,50,50,100,100,5,6,5
65076001,21,8.87,19,41,91,87,3,4,3
65076101,20,9.07,17,40,90,85,3,4,3
65076201,22,8.95,18,41,91,87,3,4,3
65076301,21,8.03,32,45,95,93,4,5,4
65076401,15,8.67,21,42,92,88,3,4,3
65076501,19,6.6,66,54,104,106,6,6,6
65076601,18,8.49,23,43,93,90,4,4,3
65076701,15,9.13,16,40,90,85,3,4,3
65076801,16,7.09,54,51,101,102,5,6,5
65076901,16,6.35,72,56,106,109,6,7,7
65077001,17,8.85,19,41,91,87,3,4,3
65077101,17,6.37,71,56,106,109,6,7,7
65077201,15,8.19,29,44,94,91,4,4,4
65077301,21,7.59,43,48,98,97,5,5,5
65077401,18,7.77,38,47,97,96,4,5,4
65077501,16,8.3,26,44,94,91,4,4,4
65077601,17,6.58,67,54,104,106,6,6,6
65077701,15,6.41,70,55,105,108,6,7,6
65077801,17,8.15,29,44,94,91,4,4,4
65077901,17,7.84,37,47,97,96,4,5,4
65078001,16,7.34,48,49,99,99,5,5,5
65078101,19,8.7,21,42,92,88,3,4,3
65078201,15,10.48,5,34,84,76,2,2,1
65078301,18,8.93,18,41,91,87,3,4,3
65078401,18,9.3,14,39,89,84,3,3,2
65078501,18,9.08,17,40,90,85,3,4,3
65078601,17,9.63,11,38,88,82,3,3,2
65078701,15,7.75,39,47,97,96,4,5,4
65078801,17,6.69,64,54,104,106,6,6,6
65078901,17,10.03,8,36,86,79,2,3,2
65079001,16,6.9,59,52,102,103,5,6,6
65079101,16,9.66,11,38,88,82,3,3,2
65079201,17,8.28,27,44,94,91,4,4,4
65079301,19,7.43,47,49,99,99,5,5,5
65079401,20,9.17,16,40,90,85,3,4,3
65079501,20,8.78,19,41,91,87,3,4,3
65079601,22,10.5,5,34,84,76,2,2,1
68000201,18,9.79,10,37,87,81,2,3,2
68000301,15,9.46,12,38,88,82,3,3,2
68000401,18,10.14,7,35,85,78,2,3,1
68000601,16,8.67,21,42,92,88,3,4,3
68000801,16,10.04,8,36,86,79,2,3,2
68000901,15,9.07,17,40,90,85,3,4,3
68001001,17,8.78,19,41,91,87,3,4,3
68001101,18,8.57,22,42,92,88,3,4,3
68001201,16,7.45,46,49,99,99,5,5,5
68001301,13,7.28,49,50,100,100,5,6,5
68001401,18,7.12,54,51,101,102,5,6,5
68001501,18,8.01,32,45,95,93,4,5,4
68001601,23,7.93,35,46,96,94,4,5,4
68001701,19,6.08,78,58,108,112,7,7,7
68001901,18,7.99,33,46,96,94,4,5,4
68002001,18,10.3,6,34,84,76,2,2,1
68002101,15,5.8,83,60,110,115,7,8,8
68002201,13,6.3,73,56,106,109,6,7,7
68002301,16,6.46,69,55,105,108,6,7,6
68002401,21,8.44,24,43,93,90,4,4,3
68002501,20,8.62,22,42,92,88,3,4,3
68002601,20,9.36,14,39,89,84,3,3,2
68002701,14,7.18,52,51,101,102,5,6,5
68002801,20,8.23,28,44,94,91,4,4,4
68002901,16,5.67,85,60,110,115,7,8,8
68003101,18,8.98,18,41,91,87,3,4,3
68003301,18,10.31,6,34,84,76,2,2,1
68003401,21,9.34,14,39,89,84,3,3,2
68003501,18,6.23,74,56,106,109,6,7,7
68003701,17,9.03,17,40,90,85,3,4,3
68003801,15,6.61,66,54,104,106,6,6,6
68003901,22,9.81,10,37,87,81,2,3,2
68004001,18,9.49,12,38,88,82,3,3,2
68004101,15,9.34,14,39,89,84,3,3,2
68004201,17,10,9,37,87,81,2,3,2
68004301,22,6.84,61,53,103,105,6,6,6
68004401,18,7.74,39,47,97,96,4,5,4
68004501,16,9.65,11,38,88,82,3,3,2
68004601,20,10.3,6,34,84,76,2,2,1
68004701,26,5.59,86,61,111,117,7,8,8
68004801,16,5.83,83,60,110,115,7,8,8
68004901,15,7.72,39,47,97,96,4,5,4
68005001,22,6.73,63,53,103,105,6,6,6
68005201,19,8.32,26,44,94,91,4,4,4
68005301,18,9.29,14,39,89,84,3,3,2
68005401,19,10.22,7,35,85,78,2,3,1
68005501,22,7.76,39,47,97,96,4,5,4
68005601,17,6.79,62,53,103,105,6,6,6
68005701,21,9.44,12,38,88,82,3,3,2
68005801,18,11.27,3,31,81,72,1,2,0
68005901,16,5.7,84,60,110,115,7,8,8
68006001,15,11.54,3,31,81,72,1,2,0
68006101,19,9.47,12,38,88,82,3,3,2
68006201,23,12.04,2,29,79,69,1,1,0
68006301,15,7.69,40,47,97,96,4,5,4
68006401,19,9.01,17,40,90,85,3,4,3
68006501,16,6.95,58,52,102,103,5,6,6
68006601,17,11.5,3,31,81,72,1,2,0
68006901,18,8.19,29,44,94,91,4,4,4
68007001,14,6.13,77,57,107,111,6,7,7
68007101,18,12.1,2,29,79,69,1,1,0
68007201,14,9.21,15,40,90,85,3,4,3
68007301,15,6.87,60,53,103,105,6,6,6
68007401,20,9.18,15,40,90,85,3,4,3
68007501,18,8.96,18,41,91,87,3,4,3
68007701,19,8.51,22,42,92,88,3,4,3
68007801,15,9.4,13,39,89,84,3,3,2
68007901,28,10.74,4,32,82,73,1,2,1
68008001,25,8.22,29,44,94,91,4,4,4
68008201,18,10.5,5,34,84,76,2,2,1
68008401,23,9.26,14,39,89,84,3,3,2
68008601,17,5.73,84,60,110,115,7,8,8
68008701,18,12.61,1,27,77,66,1,1,0
68008801,15,6.1,77,57,107,111,6,7,7
68008901,15,6.42,70,55,105,108,6,7,6
68009001,15,7.16,53,51,101,102,5,6,5
68009101,18,8.27,27,44,94,91,4,4,4
68009201,19,10.29,6,34,84,76,2,2,1
68009401,20,8.97,18,41,91,87,3,4,3
68009501,16,9.27,14,39,89,84,3,3,2
68009601,21,7.75,39,47,97,96,4,5,4
68009701,21,9.45,12,38,88,82,3,3,2
68009801,15,8.06,31,45,95,93,4,5,4
68009901,18,7.44,47,49,99,99,5,5,5
68010001,19,10.71,4,32,82,73,1,2,1
68010101,30,11.58,3,31,81,72,1,2,0
68010201,21,9.79,10,37,87,81,2,3,2
68010301,19,9.42,13,39,89,84,3,3,2
68010401,20,9.31,14,39,89,84,3,3,2
68010501,16,9.1,16,40,90,85,3,4,3
68010601,18,7.78,38,47,97,96,4,5,4
68010701,17,11.4,3,31,81,72,1,2,0
68010801,17,7.97,34,46,96,94,4,5,4
68010901,19,8.12,30,45,95,93,4,5,4
68011001,20,9.24,15,40,90,85,3,4,3
68011101,21,7.92,35,46,96,94,4,5,4
68011201,16,9.58,12,38,88,82,3,3,2
68011301,26,8.11,30,45,95,93,4,5,4
68011401,15,5.36,88,62,112,118,7,8,8
68011501,17,7.89,36,46,96,94,4,5,4
68011601,18,6.21,75,57,107,111,6,7,7
68011701,16,7.18,52,51,101,102,5,6,5
68011801,17,10.73,4,32,82,73,1,2,1
68011901,19,7.61,43,48,98,97,5,5,5
68012101,20,7.11,54,51,101,102,5,6,5
68012201,15,9.05,17,40,90,85,3,4,3
68012301,21,10.37,6,34,84,76,2,2,1
68012401,19,11,3,31,81,72,1,2,0
68012501,19,8.39,25,43,93,90,4,4,3
68012601,19,10.66,5,34,84,76,2,2,1
68012701,22,9.63,11,38,88,82,3,3,2
68012901,18,8.51,22,42,92,88,3,4,3
68013001,18,6.1,77,57,107,111,6,7,7
68013101,18,8.47,23,43,93,90,4,4,3
68013201,14,6.31,73,56,106,109,6,7,7
68013501,19,9.91,9,37,87,81,2,3,2
68013601,17,6.31,73,56,106,109,6,7,7
68013801,19,6.73,63,53,103,105,6,6,6
68013901,18,8.1,30,45,95,93,4,5,4
68014101,15,8.68,21,42,92,88,3,4,3
68014201,18,7.55,44,48,98,97,5,5,5
68014301,15,8.03,32,45,95,93,4,5,4
68014401,16,7.62,42,48,98,97,5,5,5
68014501,14,7.23,50,50,100,100,5,6,5
68014601,19,8.47,23,43,93,90,4,4,3
68014701,26,11.2,3,31,81,72,1,2,0
68014801,NA,NA,NA,NA,NA,NA,NA,NA,NA
68014901,18,7.84,37,47,97,96,4,5,4
68015001,16,10.58,5,34,84,76,2,2,1
68015101,16,7.19,52,51,101,102,5,6,5
68015201,20,9.85,9,37,87,81,2,3,2
68015301,17,8.38,25,43,93,90,4,4,3
68015401,17,6.76,63,53,103,105,6,6,6
68015501,15,8.9,18,41,91,87,3,4,3
68015601,17,9.24,15,40,90,85,3,4,3
68015701,16,6.93,58,52,102,103,5,6,6
68015801,19,8.5,23,43,93,90,4,4,3
68015901,15,7.56,43,48,98,97,5,5,5
68016001,18,9.55,12,38,88,82,3,3,2
68016101,16,7.03,55,51,101,102,5,6,5
68016201,14,10.56,5,34,84,76,2,2,1
68016301,25,7.45,46,49,99,99,5,5,5
68016401,22,9.44,12,38,88,82,3,3,2
68016501,18,8.8,19,41,91,87,3,4,3
68016601,20,5.77,83,60,110,115,7,8,8
68016701,16,9.47,12,38,88,82,3,3,2
68016801,20,9.14,16,40,90,85,3,4,3
68016901,18,8.4,25,43,93,90,4,4,3
68017001,20,9.34,14,39,89,84,3,3,2
68017101,15,8.41,24,43,93,90,4,4,3
68017201,16,6.22,75,57,107,111,6,7,7
68017301,15,8.11,30,45,95,93,4,5,4
68017601,20,7.78,38,47,97,96,4,5,4
68017701,18,9.9,9,37,87,81,2,3,2
68017801,19,9.26,14,39,89,84,3,3,2
68017901,14,8.56,22,42,92,88,3,4,3
68018001,19,8.9,18,41,91,87,3,4,3
68018101,15,7.43,47,49,99,99,5,5,5
68018201,21,8.58,22,42,92,88,3,4,3
68018401,17,10.83,4,32,82,73,1,2,1
68018501,22,8.81,19,41,91,87,3,4,3
68018601,17,7.79,38,47,97,96,4,5,4
68018701,17,7.09,54,51,101,102,5,6,5
68018801,16,5.91,81,59,109,114,7,7,7
68018901,14,9.83,9,37,87,81,2,3,2
68019001,14,7.01,56,52,102,103,5,6,6
68019201,19,7.72,39,47,97,96,4,5,4
68019301,19,7.8,38,47,97,96,4,5,4
68019401,18,5.9,81,59,109,114,7,7,7
68019501,25,8.58,22,42,92,88,3,4,3
68019601,17,8.38,25,43,93,90,4,4,3
68019701,18,7.86,37,47,97,96,4,5,4
68019901,18,9.74,10,37,87,81,2,3,2
68020101,15,7.29,49,50,100,100,5,6,5
68020201,16,7.33,48,49,99,99,5,5,5
68020301,15,9.69,11,38,88,82,3,3,2
68020401,13,8.07,31,45,95,93,4,5,4
68020601,18,8.07,31,45,95,93,4,5,4
68020801,17,9.4,13,39,89,84,3,3,2
68020901,13,5.71,84,60,110,115,7,8,8
68021001,18,11.92,2,29,79,69,1,1,0
68021101,19,9.15,16,40,90,85,3,4,3
68021201,18,7.01,56,52,102,103,5,6,6
68021301,16,7.63,42,48,98,97,5,5,5
68021401,14,8.41,24,43,93,90,4,4,3
68021501,15,8.71,20,42,92,88,3,4,3
68021601,18,5.63,85,60,110,115,7,8,8
68021701,14,7.74,39,47,97,96,4,5,4
68021801,20,6.63,66,54,104,106,6,6,6
68021901,16,7.42,47,49,99,99,5,5,5
68022001,18,9.34,14,39,89,84,3,3,2
68022101,22,8.43,24,43,93,90,4,4,3
68022201,17,8.79,19,41,91,87,3,4,3
68022301,16,9.81,10,37,87,81,2,3,2
68022401,20,8.95,18,41,91,87,3,4,3
68022501,20,6.57,67,54,104,106,6,6,6
68022601,17,6.46,69,55,105,108,6,7,6
68022701,19,9.71,11,38,88,82,3,3,2
68022801,15,6.33,72,56,106,109,6,7,7
68022901,15,7.18,52,51,101,102,5,6,5
68023001,18,5.76,84,60,110,115,7,8,8
68023101,17,10.5,5,34,84,76,2,2,1
68023201,20,10.19,7,35,85,78,2,3,1
68023301,17,8.72,20,42,92,88,3,4,3
68023401,18,9.93,9,37,87,81,2,3,2
68023501,20,11.32,3,31,81,72,1,2,0
68023801,22,7.73,39,47,97,96,4,5,4
68023901,17,7.99,33,46,96,94,4,5,4
68024001,16,8.56,22,42,92,88,3,4,3
68024101,18,10.54,5,34,84,76,2,2,1
68024201,14,7.23,50,50,100,100,5,6,5
68024401,17,7.48,46,49,99,99,5,5,5
68024501,17,8.13,30,45,95,93,4,5,4
68024601,18,7.09,54,51,101,102,5,6,5
68024701,18,8.77,19,41,91,87,3,4,3
68024801,16,10.35,6,34,84,76,2,2,1
68025001,22,10.95,4,32,82,73,1,2,1
68025101,15,9.67,11,38,88,82,3,3,2
68025201,17,8.53,22,42,92,88,3,4,3
68025301,18,7.78,38,47,97,96,4,5,4
68025401,21,10.21,7,35,85,78,2,3,1
68025501,17,8.58,22,42,92,88,3,4,3
68025701,20,10.36,6,34,84,76,2,2,1
68025801,17,9.95,9,37,87,81,2,3,2
68025901,17,9.09,17,40,90,85,3,4,3
68026001,16,8.66,21,42,92,88,3,4,3
68026101,23,6.96,57,52,102,103,5,6,6
68026201,13,9.86,9,37,87,81,2,3,2
68026301,22,8.89,18,41,91,87,3,4,3
68026401,20,6.2,75,57,107,111,6,7,7
68026501,20,11.03,3,31,81,72,1,2,0
68026601,18,4.99,93,65,115,123,8,9,9
68026801,17,6.78,62,53,103,105,6,6,6
68026901,18,10.17,7,35,85,78,2,3,1
68027001,15,9.24,15,40,90,85,3,4,3
68027101,15,6.92,58,52,102,103,5,6,6
68027201,19,6.32,73,56,106,109,6,7,7
68027301,14,7.28,49,50,100,100,5,6,5
68027401,19,7.36,48,49,99,99,5,5,5
68027601,16,7.32,48,49,99,99,5,5,5
68027701,23,8.85,19,41,91,87,3,4,3
68027901,16,8.03,32,45,95,93,4,5,4
68028001,14,9.4,13,39,89,84,3,3,2
68028101,19,7.46,46,49,99,99,5,5,5
68028201,18,9.77,10,37,87,81,2,3,2
68028301,20,7.81,38,47,97,96,4,5,4
68028701,15,7.05,55,51,101,102,5,6,5
68028901,15,7.83,37,47,97,96,4,5,4
68029001,18,8.01,32,45,95,93,4,5,4
68029101,17,9.13,16,40,90,85,3,4,3
68029201,17,7.84,37,47,97,96,4,5,4
68029401,17,6.99,56,52,102,103,5,6,6
68029501,16,8.23,28,44,94,91,4,4,4
68029601,17,7.93,35,46,96,94,4,5,4
68029701,17,10,9,37,87,81,2,3,2
68029801,17,7.81,38,47,97,96,4,5,4
68029901,13,7.3,49,50,100,100,5,6,5
68030001,14,7.99,33,46,96,94,4,5,4
68030101,15,6.39,71,56,106,109,6,7,7
68030201,14,8.3,26,44,94,91,4,4,4
68030301,23,7.71,40,47,97,96,4,5,4
68030401,20,10.77,4,32,82,73,1,2,1
68030501,18,6.06,78,58,108,112,7,7,7
68030601,15,10.17,7,35,85,78,2,3,1
68030701,16,8.67,21,42,92,88,3,4,3
68030801,17,6.84,61,53,103,105,6,6,6
68030901,15,9.8,10,37,87,81,2,3,2
68031001,26,9.3,14,39,89,84,3,3,2
68031101,18,7.34,48,49,99,99,5,5,5
68031201,17,8.86,19,41,91,87,3,4,3
68031301,21,7.44,47,49,99,99,5,5,5
68031401,17,9.25,14,39,89,84,3,3,2
68031501,16,8.6,22,42,92,88,3,4,3
68031601,15,6.09,78,58,108,112,7,7,7
68031701,21,7.89,36,46,96,94,4,5,4
68031801,13,5.85,82,59,109,114,7,7,7
68031901,16,7.69,40,47,97,96,4,5,4
68032001,19,8.26,28,44,94,91,4,4,4
68032101,18,7.69,40,47,97,96,4,5,4
68032201,14,10.4,6,34,84,76,2,2,1
68032301,30,7.66,41,48,98,97,5,5,5
68032401,16,8.14,30,45,95,93,4,5,4
68032501,21,7.57,43,48,98,97,5,5,5
68032601,16,8.89,18,41,91,87,3,4,3
68032701,14,7.48,46,49,99,99,5,5,5
68032801,16,6.56,67,54,104,106,6,6,6
68032901,12,7.36,48,49,99,99,5,5,5
68033001,20,7.91,35,46,96,94,4,5,4
68033101,18,8.26,28,44,94,91,4,4,4
68033201,20,7.86,37,47,97,96,4,5,4
68033301,18,9.24,15,40,90,85,3,4,3
68033401,15,10.33,6,34,84,76,2,2,1
68033501,18,5.24,90,63,113,120,8,8,8
68033601,17,6,79,58,108,112,7,7,7
68033701,17,9.01,17,40,90,85,3,4,3
68033801,15,6.55,67,54,104,106,6,6,6
68033901,18,7.68,41,48,98,97,5,5,5
68034001,18,9.04,17,40,90,85,3,4,3
68034101,16,9.38,13,39,89,84,3,3,2
68034201,16,9.7,11,38,88,82,3,3,2
68034301,18,6.19,75,57,107,111,6,7,7
68034401,18,8.07,31,45,95,93,4,5,4
68034801,19,8.39,25,43,93,90,4,4,3
68034901,20,5.54,87,61,111,117,7,8,8
68035001,19,5.39,88,62,112,118,7,8,8
68035101,20,10.45,5,34,84,76,2,2,1
68035301,18,7.58,43,48,98,97,5,5,5
68035501,20,8.21,29,44,94,91,4,4,4
68035601,16,7.65,42,48,98,97,5,5,5
68035701,16,5.84,82,59,109,114,7,7,7
68035801,17,7.57,43,48,98,97,5,5,5
68035901,17,8.84,19,41,91,87,3,4,3
68036101,18,7.96,34,46,96,94,4,5,4
68036201,15,8.97,18,41,91,87,3,4,3
68036301,27,9.44,12,38,88,82,3,3,2
68036501,17,8.72,20,42,92,88,3,4,3
68036601,16,8.42,24,43,93,90,4,4,3
68036701,15,8.31,26,44,94,91,4,4,4
68036801,17,9.65,11,38,88,82,3,3,2
68036901,16,8.01,32,45,95,93,4,5,4
68037001,19,6.74,63,53,103,105,6,6,6
68037101,16,6.64,66,54,104,106,6,6,6
68037301,20,10.99,3,31,81,72,1,2,0
68037401,17,7.37,48,49,99,99,5,5,5
68037501,16,8.32,26,44,94,91,4,4,4
68037601,19,8.65,21,42,92,88,3,4,3
68037701,14,5.97,80,58,108,112,7,7,7
68037801,37,7.19,52,51,101,102,5,6,5
68037901,13,7.44,47,49,99,99,5,5,5
68038001,19,11.95,2,29,79,69,1,1,0
68038101,19,10.22,7,35,85,78,2,3,1
68038201,33,6.17,76,57,107,111,6,7,7
68038301,16,7.62,42,48,98,97,5,5,5
68038401,18,11.58,3,31,81,72,1,2,0
68038501,17,11.11,3,31,81,72,1,2,0
68038601,18,8.07,31,45,95,93,4,5,4
68038701,17,6.98,57,52,102,103,5,6,6
68038801,20,10.74,4,32,82,73,1,2,1
68038901,20,9.13,16,40,90,85,3,4,3
68039001,18,6.2,75,57,107,111,6,7,7
