"partid","duration","raw","percentile","t","z","iq","stanine","sten","c11"
65010101,18,10.99,3,31,81,72,1,2,0
65010201,19,8.6,22,42,92,88,3,4,3
65010301,17,7.3,49,50,100,100,5,6,5
65010401,19,10.04,8,36,86,79,2,3,2
65010601,19,7.82,38,47,97,96,4,5,4
65011001,22,7.6,43,48,98,97,5,5,5
65011101,20,7.96,34,46,96,94,4,5,4
65011201,25,8.09,31,45,95,93,4,5,4
65011301,23,11.17,3,31,81,72,1,2,0
65011401,16,6.28,73,56,106,109,6,7,7
65011501,18,10.17,7,35,85,78,2,3,1
65011601,16,7.02,56,52,102,103,5,6,6
65011701,17,9.66,11,38,88,82,3,3,2
65011801,15,8.17,29,44,94,91,4,4,4
65011901,15,8.71,20,42,92,88,3,4,3
65012001,16,8.71,20,42,92,88,3,4,3
65012101,17,8.91,18,41,91,87,3,4,3
65012201,17,7.01,56,52,102,103,5,6,6
65012301,19,10.67,4,32,82,73,1,2,1
65012401,18,7.07,55,51,101,102,5,6,5
65012501,16,11.89,2,29,79,69,1,1,0
65012601,16,7.57,43,48,98,97,5,5,5
65012701,19,9.32,14,39,89,84,3,3,2
65012801,25,7.66,41,48,98,97,5,5,5
65012901,17,6.77,62,53,103,105,6,6,6
65013001,13,6.38,71,56,106,109,6,7,7
65013101,17,7.37,48,49,99,99,5,5,5
65013201,15,9.54,12,38,88,82,3,3,2
65013301,19,6.44,70,55,105,108,6,7,6
65013401,20,7.54,44,48,98,97,5,5,5
65013501,19,7.25,50,50,100,100,5,6,5
65013601,17,7.68,41,48,98,97,5,5,5
65013701,18,8.17,29,44,94,91,4,4,4
65013801,19,6.22,75,57,107,111,6,7,7
65013901,19,6.35,72,56,106,109,6,7,7
65014001,17,8.7,21,42,92,88,3,4,3
65014101,17,8.48,23,43,93,90,4,4,3
65014201,17,6.89,59,52,102,103,5,6,6
65014401,16,8.09,31,45,95,93,4,5,4
65014501,15,5.21,90,63,113,120,8,8,8
65014601,16,7.62,42,48,98,97,5,5,5
65014701,21,8.16,29,44,94,91,4,4,4
65014801,17,6.61,66,54,104,106,6,6,6
65014901,25,9.07,17,40,90,85,3,4,3
65015401,17,10.42,6,34,84,76,2,2,1
65015501,15,9.69,11,38,88,82,3,3,2
65015601,14,8.94,18,41,91,87,3,4,3
65015801,15,7.11,54,51,101,102,5,6,5
65015901,18,9.43,13,39,89,84,3,3,2
65016001,16,6.94,58,52,102,103,5,6,6
65016101,16,8.36,25,43,93,90,4,4,3
65016201,14,7.4,47,49,99,99,5,5,5
65016301,18,6.44,70,55,105,108,6,7,6
65016401,16,5.4,88,62,112,118,7,8,8
65016501,19,5.88,82,59,109,114,7,7,7
65016601,19,7.59,43,48,98,97,5,5,5
65016701,17,8.58,22,42,92,88,3,4,3
65016801,20,8.59,22,42,92,88,3,4,3
65016901,16,7.8,38,47,97,96,4,5,4
65017001,19,7.74,39,47,97,96,4,5,4
65017101,20,7.45,46,49,99,99,5,5,5
65017201,15,7.74,39,47,97,96,4,5,4
65017301,18,9.04,17,40,90,85,3,4,3
65017401,17,10.38,6,34,84,76,2,2,1
65017501,19,7.63,42,48,98,97,5,5,5
65017601,17,9.44,12,38,88,82,3,3,2
65017701,21,9.77,10,37,87,81,2,3,2
65017801,22,8.11,30,45,95,93,4,5,4
65017901,16,7.6,43,48,98,97,5,5,5
65018001,19,12.01,2,29,79,69,1,1,0
65018101,14,7.91,35,46,96,94,4,5,4
65018201,17,8.59,22,42,92,88,3,4,3
65018301,16,8.95,18,41,91,87,3,4,3
65018401,16,8.74,20,42,92,88,3,4,3
65018501,15,7.79,38,47,97,96,4,5,4
65018601,18,6.09,78,58,108,112,7,7,7
65018701,14,7.17,53,51,101,102,5,6,5
65018801,15,8.82,19,41,91,87,3,4,3
65018901,18,9.81,10,37,87,81,2,3,2
65019001,17,9.25,14,39,89,84,3,3,2
65019101,15,10.97,4,32,82,73,1,2,1
65019201,17,9.24,15,40,90,85,3,4,3
65019301,19,8.05,32,45,95,93,4,5,4
65019401,15,8.88,18,41,91,87,3,4,3
65019501,19,8.1,30,45,95,93,4,5,4
65019601,15,6.36,72,56,106,109,6,7,7
65019701,17,9.03,17,40,90,85,3,4,3
65019801,17,8.18,29,44,94,91,4,4,4
65019901,16,7.72,39,47,97,96,4,5,4
65020001,16,7.63,42,48,98,97,5,5,5
65020101,18,8.45,24,43,93,90,4,4,3
65020201,19,8.6,22,42,92,88,3,4,3
65020301,17,7.85,37,47,97,96,4,5,4
65020401,17,8.73,20,42,92,88,3,4,3
65020501,22,8.9,18,41,91,87,3,4,3
65020601,17,8.04,32,45,95,93,4,5,4
65020701,19,7.88,36,46,96,94,4,5,4
65020801,17,9.87,9,37,87,81,2,3,2
65020901,17,6.35,72,56,106,109,6,7,7
65021001,15,5.64,85,60,110,115,7,8,8
65021101,14,6.05,79,58,108,112,7,7,7
65021201,17,7.08,55,51,101,102,5,6,5
65021301,17,9.62,11,38,88,82,3,3,2
65021401,17,11.85,2,29,79,69,1,1,0
65021501,15,6.81,61,53,103,105,6,6,6
65021601,14,8.27,27,44,94,91,4,4,4
65021701,18,7.26,50,50,100,100,5,6,5
65021801,19,7.34,48,49,99,99,5,5,5
65022001,23,10.01,8,36,86,79,2,3,2
65022101,16,7.68,41,48,98,97,5,5,5
65022201,14,6.8,62,53,103,105,6,6,6
65022301,16,7.59,43,48,98,97,5,5,5
65022401,15,7.91,35,46,96,94,4,5,4
65022501,17,7.05,55,51,101,102,5,6,5
65022601,18,7.95,35,46,96,94,4,5,4
65022701,16,7.28,49,50,100,100,5,6,5
65022801,17,8.54,22,42,92,88,3,4,3
65022901,17,7.72,39,47,97,96,4,5,4
65023001,18,9.55,12,38,88,82,3,3,2
65023101,15,7.28,49,50,100,100,5,6,5
65023201,17,6.71,63,53,103,105,6,6,6
65023301,18,9.38,13,39,89,84,3,3,2
65023401,15,8.59,22,42,92,88,3,4,3
65023501,18,9.13,16,40,90,85,3,4,3
65023601,17,4.72,95,66,116,124,8,9,9
65023701,18,7.52,45,49,99,99,5,5,5
65023801,20,10.09,8,36,86,79,2,3,2
65023901,16,7.91,35,46,96,94,4,5,4
