"partid","CCTncards","CCTacards","CCTratio","CCTaratio","CCTpayoff"
68016201,386,292,0.17481272,0.19247045,68.988095
68016301,396,191,0.20041937,0.2270206,60
68016401,404,249,0.16831307,0.18236515,28.511905
68016501,480,250,0.20500389,0.24997012,1.3690476
68016601,130,55,0.070742032,0.0367297,14.52381
68016701,607,306,0.26019792,0.3942076,25.416667
68016801,479,150,0.21180889,0.15515494,34.761905
68016901,637,285,0.29469497,0.52234525,79.583333
68017001,288,179,0.1475487,0.15618035,32.321429
68017101,402,250,0.19756605,0.26027783,58.154762
68017201,265,175,0.14024223,0.16246921,-17.857143
68017301,463,97,0.2206621,0.23443991,-11.428571
68017601,376,228,0.1810466,0.24087512,-5.5952381
68017701,481,209,0.2200815,0.24929955,10.059524
68017801,283,177,0.14509814,0.16265609,25.416667
68017901,553,249,0.24171435,0.32478751,28.214286
68018001,461,154,0.21151608,0.24153822,-2.9761905
68018101,358,199,0.17633354,0.16014383,87.02381
68018201,356,137,0.18246071,0.14975899,66.071429
68018401,216,58,0.10581091,0.047470674,65.119048
68018501,248,145,0.11692555,0.10496233,74.166667
68018601,215,151,0.12302352,0.11348877,63.690476
68018701,404,182,0.19463172,0.18844451,58.511905
68018801,412,211,0.19916382,0.26960715,33.452381
68018901,623,146,0.29077563,0.55787295,19.404762
68019001,459,208,0.21189627,0.23052346,13.988095
68019201,271,183,0.11743761,0.10294781,31.845238
68019301,333,184,0.15928438,0.1608644,43.035714
68019401,387,202,0.19206694,0.25180836,30.297619
68019501,477,171,0.21668554,0.15761507,140.29762
68019601,503,203,0.24393295,0.39093051,8.6904762
68019701,288,118,0.14304035,0.12896435,-17.797619
68019901,308,97,0.15917523,0.096504534,61.547619
68020101,384,267,0.17722298,0.20441671,56.845238
68020201,134,114,0.052939514,0.048192075,8.6309524
68020301,425,201,0.20955117,0.24234848,62.083333
68020401,203,139,0.10330013,0.089440972,38.928571
68020601,334,232,0.16049657,0.1753524,33.27381
68020801,222,148,0.1141872,0.11305219,-9.7619048
68020901,336,137,0.17046994,0.130227,65.892857
68021001,553,195,0.26605394,0.46248477,37.02381
68021101,484,253,0.20633007,0.23324038,40.059524
68021201,217,156,0.10977768,0.093490874,50.47619
68021301,421,176,0.21018534,0.22888335,40.297619
68021401,524,179,0.25338086,0.29945236,34.702381
68021501,254,190,0.11530824,0.11231465,33.869048
68021601,499,191,0.22991713,0.32657972,-41.428571
68021701,339,132,0.14707221,0.094088386,106.54762
68021801,270,187,0.11492492,0.10690398,2.5595238
68021901,619,91,0.28231565,0.40337064,-26.071429
68022001,542,220,0.25607525,0.31580984,111.72619
68022101,261,166,0.13875782,0.15641817,11.904762
