bibkey,paper,task,subject,age,gender,choice,r,country,city,lattitude,longitude
Shachat2021,Shachat 2021,CEPL,60,23,1,3,-1.783608290476259,China,Wuhan,30.592850,114.305542
Shachat2021,Shachat 2021,CEPL,61,23,1,5,0.3001486019254662,China,Wuhan,30.592850,114.305542
Shachat2021,Shachat 2021,CEPL,62,23,1,3,-1.590869967036415,China,Wuhan,30.592850,114.305542
Shachat2021,Shachat 2021,CEPL,63,22,1,4,-0.41260050968267015,China,Wuhan,30.592850,114.305542
Shachat2021,Shachat 2021,CEPL,64,23,1,4,-0.6590535812103189,China,Wuhan,30.592850,114.305542
Shachat2021,Shachat 2021,CEPL,65,20,0,5,0.37635054300772025,China,Wuhan,30.592850,114.305542
Shachat2021,Shachat 2021,CEPL,66,20,0,5,0.26584469937486577,China,Wuhan,30.592850,114.305542
Shachat2021,Shachat 2021,CEPL,67,21,0,5,0.6839288146723992,China,Wuhan,30.592850,114.305542
Shachat2021,Shachat 2021,CEPL,68,21,1,5,0.5525955274095758,China,Wuhan,30.592850,114.305542
Shachat2021,Shachat 2021,CEPL,69,21,1,5,0.5012434550118632,China,Wuhan,30.592850,114.305542
Shachat2021,Shachat 2021,CEPL,70,18,1,5,0.9299826980358921,China,Wuhan,30.592850,114.305542
Shachat2021,Shachat 2021,CEPL,71,22,1,4,-0.597455566425342,China,Wuhan,30.592850,114.305542
Shachat2021,Shachat 2021,CEPL,72,20,1,4,-0.7186562268645502,China,Wuhan,30.592850,114.305542
Shachat2021,Shachat 2021,CEPL,73,19,0,4,-0.5518523107096552,China,Wuhan,30.592850,114.305542
Shachat2021,Shachat 2021,CEPL,74,23,1,3,-2.5002642884664237,China,Wuhan,30.592850,114.305542
Shachat2021,Shachat 2021,CEPL,75,18,0,5,0.5469478642032481,China,Wuhan,30.592850,114.305542
Shachat2021,Shachat 2021,CEPL,76,23,1,5,0.4188040867866948,China,Wuhan,30.592850,114.305542
Shachat2021,Shachat 2021,CEPL,77,20,1,5,0.8454143816349096,China,Wuhan,30.592850,114.305542
Shachat2021,Shachat 2021,CEPL,78,24,1,5,0.3894731564284302,China,Wuhan,30.592850,114.305542
Shachat2021,Shachat 2021,CEPL,79,22,1,3,-1.8807424439652825,China,Wuhan,30.592850,114.305542
Shachat2021,Shachat 2021,CEPL,80,22,1,4,0.06807201597141099,China,Wuhan,30.592850,114.305542
Shachat2021,Shachat 2021,CEPL,81,22,1,4,-0.1888520653522573,China,Wuhan,30.592850,114.305542
Shachat2021,Shachat 2021,CEPL,82,19,1,4,-0.16586895128246393,China,Wuhan,30.592850,114.305542
Shachat2021,Shachat 2021,CEPL,83,22,0,4,-0.03424980088369911,China,Wuhan,30.592850,114.305542
Shachat2021,Shachat 2021,CEPL,85,22,0,3,-1.2030726183601654,China,Wuhan,30.592850,114.305542
Shachat2021,Shachat 2021,CEPL,86,24,0,5,0.7129138525528833,China,Wuhan,30.592850,114.305542
Shachat2021,Shachat 2021,CEPL,87,23,0,5,0.11275138098280876,China,Wuhan,30.592850,114.305542
Shachat2021,Shachat 2021,CEPL,88,22,1,6,1.8400078810099512,China,Wuhan,30.592850,114.305542
Shachat2021,Shachat 2021,CEPL,89,20,1,5,0.6140449534589425,China,Wuhan,30.592850,114.305542
Shachat2021,Shachat 2021,CEPL,90,21,1,4,-0.5366857391921803,China,Wuhan,30.592850,114.305542
Shachat2021,Shachat 2021,CEPL,91,19,1,4,-0.9554101257072761,China,Wuhan,30.592850,114.305542
Shachat2021,Shachat 2021,CEPL,92,19,0,5,0.6432035791641102,China,Wuhan,30.592850,114.305542
Shachat2021,Shachat 2021,CEPL,93,24,1,5,0.19678879261016846,China,Wuhan,30.592850,114.305542
Shachat2021,Shachat 2021,CEPL,94,20,0,4,-0.21236384142423048,China,Wuhan,30.592850,114.305542
Shachat2021,Shachat 2021,CEPL,95,21,0,5,0.13985378484940159,China,Wuhan,30.592850,114.305542
Shachat2021,Shachat 2021,CEPL,96,23,0,1,-2.93,China,Wuhan,30.592850,114.305542
Shachat2021,Shachat 2021,CEPL,97,22,0,5,0.4604035791871138,China,Wuhan,30.592850,114.305542
Shachat2021,Shachat 2021,CEPL,98,24,1,1,-2.93,China,Wuhan,30.592850,114.305542
Shachat2021,Shachat 2021,CEPL,99,22,0,5,0.3262750994507223,China,Wuhan,30.592850,114.305542
Shachat2021,Shachat 2021,CEPL,100,22,1,5,0.8251084324927069,China,Wuhan,30.592850,114.305542
Shachat2021,Shachat 2021,CEPL,101,21,1,4,-0.44148939906852314,China,Wuhan,30.592850,114.305542
Shachat2021,Shachat 2021,CEPL,102,25,0,1,-2.93,China,Wuhan,30.592850,114.305542
Shachat2021,Shachat 2021,CEPL,103,22,0,5,0.4422878987086005,China,Wuhan,30.592850,114.305542
Shachat2021,Shachat 2021,CEPL,104,19,0,6,1.940033116368577,China,Wuhan,30.592850,114.305542
Shachat2021,Shachat 2021,CEPL,105,22,1,5,0.8512519427598453,China,Wuhan,30.592850,114.305542
Shachat2021,Shachat 2021,CEPL,106,22,1,5,0.9458490885049105,China,Wuhan,30.592850,114.305542
Shachat2021,Shachat 2021,CEPL,107,23,1,4,-0.6428543429612181,China,Wuhan,30.592850,114.305542
Shachat2021,Shachat 2021,CEPL,108,20,0,4,-0.2855785574857145,China,Wuhan,30.592850,114.305542
Shachat2021,Shachat 2021,CEPL,109,20,1,4,-0.6791795802023262,China,Wuhan,30.592850,114.305542
Shachat2021,Shachat 2021,CEPL,110,22,1,4,-0.08172382994554928,China,Wuhan,30.592850,114.305542
Shachat2021,Shachat 2021,CEPL,111,19,0,5,0.14376928399084138,China,Wuhan,30.592850,114.305542
Shachat2021,Shachat 2021,CEPL,112,19,0,3,-2.580988232495729,China,Wuhan,30.592850,114.305542
Shachat2021,Shachat 2021,CEPL,113,20,0,5,0.5886177723226138,China,Wuhan,30.592850,114.305542
Shachat2021,Shachat 2021,CEPL,114,19,1,4,-0.6173442209186032,China,Wuhan,30.592850,114.305542
