"partid","location","rt_decision","H","R","R_sh1","R_sh2"
68023201,"Basel",13050.75,0.125,0.375,0.75,0
68023301,"Basel",7807.125,0.375,0.875,0.75,1
68023401,"Basel",11221.375,0.375,0.625,0.75,0.5
68023501,"Basel",9885.75,0.5,0.5,0.75,0.25
68023801,"Basel",10388.25,0.5,0,0,0
68023901,"Basel",15241.375,0.5,0.25,0,0.5
68024001,"Basel",13954.375,0,0.5,0.75,0.25
68024101,"Basel",28855.5,0.75,0.5,0.5,0.5
68024201,"Basel",7484.625,0.5,0.5,0.25,0.75
68024401,"Basel",9036.875,0.5,0.5,0,1
68024501,"Basel",14257,0.625,0.375,0,0.75
68024601,"Basel",14752.75,0.25,0.75,0.75,0.75
68024701,"Basel",10430,0.25,0.5,0.75,0.25
68024801,"Basel",10512.25,0.125,0.625,0.25,1
68025001,"Basel",10457.125,0.125,0.375,0.5,0.25
68025101,"Basel",10482.375,0.375,0.625,0.75,0.5
68025201,"Basel",11862.375,0.125,0.625,0.75,0.5
68025301,"Basel",10335.75,0.625,0.375,0.25,0.5
68025401,"Basel",11174.125,0.25,0.75,0.75,0.75
68025501,"Basel",7583.75,0.375,0.375,0.25,0.5
68025701,"Basel",9554.875,0.375,0.625,0.5,0.75
68025801,"Basel",10465.75,0.75,0.25,0,0.5
68025901,"Basel",11632,0.25,0.5,0.5,0.5
68026001,"Basel",7406,0.25,0.25,0.25,0.25
68026101,"Basel",7446.5,0.5,0.5,0.5,0.5
68026201,"Basel",7246,0.25,0.25,0.25,0.25
68026301,"Basel",18223.375,0.5,0.25,0,0.5
68026401,"Basel",12060.25,0.75,0.5,0.75,0.25
68026501,"Basel",12147.125,0.25,0.5,0.75,0.25
68026601,"Basel",2176.5,0.75,0.5,0.25,0.75
68026801,"Basel",8806.625,0.5,0.5,0.5,0.5
68026901,"Basel",5780,0.5,1,1,1
68027001,"Basel",4953.375,0.375,0.125,0,0.25
68027101,"Basel",7840.125,0.75,0.25,0.25,0.25
68027201,"Basel",12615.25,0.375,0.375,0.25,0.5
68027301,"Basel",8386.625,0.375,0.375,0.25,0.5
68027401,"Basel",13701.5,0.375,0.375,0.25,0.5
68027601,"Basel",11049.25,0.625,0.375,0.5,0.25
68027701,"Basel",7424.25,0.125,0.375,0.5,0.25
68027901,"Basel",36013.125,0.375,0.625,0.75,0.5
68028001,"Basel",7558.5,0.625,0.375,0.25,0.5
68028101,"Basel",5237.375,0.5,0.75,1,0.5
68028201,"Basel",13621.875,0.25,0.75,0.75,0.75
68028301,"Basel",13154.875,0.125,0.375,0.5,0.25
68028701,"Basel",9023.125,0.375,0.625,0.75,0.5
68028901,"Basel",8277.75,0.125,0.375,0.5,0.25
68029001,"Basel",10728.5,0.625,0.375,0.5,0.25
68029101,"Basel",4494.625,0.375,0.375,0.5,0.25
68029201,"Basel",10752.375,0.5,0.75,0.75,0.75
68029401,"Basel",11618.625,0.625,0.625,0.75,0.5
68029501,"Basel",13443.25,0.375,0.375,0.5,0.25
68029601,"Basel",13166,0.25,0.5,0.25,0.75
68029701,"Basel",12348.375,0,0.5,0,1
68029801,"Basel",8131.25,0.125,0.375,0.5,0.25
68029901,"Basel",7166.625,0.5,0.5,0.5,0.5
68030001,"Basel",7612.125,0.125,0.375,0.25,0.5
68030101,"Basel",8239.25,0.25,0.5,0.75,0.25
68030201,"Basel",10545.875,0.25,0.5,0.5,0.5
68030301,"Basel",9117.75,0.25,0.5,0.5,0.5
68030401,"Basel",8989.875,0.25,0.75,0.5,1
68030501,"Basel",6394.5,0.375,0.375,0.5,0.25
68030601,"Basel",8637.75,0.625,0.125,0.25,0
68030701,"Basel",4592.375,0.625,0.375,0.25,0.5
68030801,"Basel",11134.625,0.375,0.625,0.5,0.75
68030901,"Basel",6721.875,0.5,0.5,0.25,0.75
68031001,"Basel",11100.625,0.25,0.75,0.5,1
68031101,"Basel",8563.25,0.375,0.375,0.25,0.5
68031201,"Basel",6681.125,0,0.5,0.5,0.5
68031301,"Basel",12476.25,0.125,0.625,0.75,0.5
68031401,"Basel",26136.625,0.5,0.5,0.25,0.75
68031501,"Basel",5789.75,0.375,0.625,0.25,1
68031601,"Basel",6280.5,0.5,0.25,0.5,0
68031701,"Basel",10592.625,0.5,0.75,0.75,0.75
68031801,"Basel",5970.75,0.5,0.25,0.5,0
68031901,"Basel",14660.625,0.375,0.625,0.75,0.5
68032001,"Basel",6595.375,0.25,0.5,0.5,0.5
68032101,"Basel",13242.875,0.375,0.375,0,0.75
68032201,"Basel",23752.375,1,0.5,0.25,0.75
68032301,"Basel",9627.25,0.5,0.25,0.5,0
68032401,"Basel",10369.375,0.25,0.5,0.25,0.75
68032501,"Basel",24008,0.625,0.375,0.25,0.5
68032601,"Basel",13393.25,0.375,0.375,0.25,0.5
68032701,"Basel",7845.625,0.5,0.25,0.25,0.25
68032801,"Basel",9376.375,0.75,0.5,0.5,0.5
68032901,"Basel",26688.625,0.375,0.625,0.75,0.5
68033001,"Basel",7685.25,0.375,0.375,0.25,0.5
68033101,"Basel",8863.125,0.25,0.5,0.5,0.5
68033201,"Basel",13267.25,0.5,0.5,0.5,0.5
68033301,"Basel",11249.75,0.125,0.375,0.5,0.25
68033401,"Basel",11296.375,0.25,0.5,0.25,0.75
68033501,"Basel",10092.125,0.375,0.125,0.25,0
68033601,"Basel",6752,0.25,0.25,0.5,0
68033701,"Basel",8696.875,0.5,0.25,0.25,0.25
68033801,"Basel",6739.25,0.375,0.375,0.5,0.25
68033901,"Basel",9855.75,0.625,0.375,0.5,0.25
68034001,"Basel",7434.625,0.125,0.375,0.5,0.25
68034101,"Basel",7536,0.125,0.375,0.25,0.5
68034201,"Basel",26833.125,0.5,0.5,0.25,0.75
68034301,"Basel",12554.75,0.375,0.875,1,0.75
68034401,"Basel",8936.375,0.375,0.625,0.25,1
68034801,"Basel",13031.5,0.25,0.75,0.75,0.75
68034901,"Basel",8771.5,0.5,0.5,0.5,0.5
68035001,"Basel",10991.25,0.25,0.25,0.25,0.25
68035101,"Basel",13370.75,0.25,0.75,0.75,0.75
68035301,"Basel",11160.125,0.625,0.625,0.75,0.5
68035501,"Basel",8596.125,0.125,0.375,0.5,0.25
68035601,"Basel",9371.375,0.625,0.625,0.5,0.75
68035701,"Basel",10369,0,0.5,0.75,0.25
68035801,"Basel",10096.625,0.25,0.5,0.75,0.25
68035901,"Basel",7261.125,0.5,0.5,0,1
68036101,"Basel",12292.5,0.5,0.5,0.5,0.5
68036201,"Basel",7391.375,0.5,0.5,0.5,0.5
68036301,"Basel",11221.125,0.375,0.375,0.25,0.5
68036501,"Basel",7555.75,0.25,0.5,0.75,0.25
68036601,"Basel",7899.875,0.5,0.5,0.5,0.5
68036701,"Basel",7610.375,0.375,0.375,0.75,0
68036801,"Basel",10446,0.375,0.375,0.5,0.25
68036901,"Basel",5164.625,0.5,0.5,0.5,0.5
68037001,"Basel",18234.25,0.625,0.125,0,0.25
68037101,"Basel",26300.25,0.375,0.625,0.75,0.5
68037301,"Basel",11570.875,0.5,0.25,0.25,0.25
68037401,"Basel",8086,0.625,0.375,0.5,0.25
68037501,"Basel",9687.875,0.5,0.75,0.75,0.75
68037601,"Basel",7250.875,0.5,0.25,0.25,0.25
68037701,"Basel",6661.625,0.375,0.625,0.75,0.5
68037801,"Basel",7241.25,0.25,0.5,0.5,0.5
68037901,"Basel",29136,0.75,0.5,0.5,0.5
68038001,"Basel",8307.125,0.375,0.625,0.75,0.5
68038101,"Basel",21735,1,0.5,0.5,0.5
68038201,"Basel",13081.5,0.625,0.625,0.25,1
68038301,"Basel",7869,0.125,0.625,0.75,0.5
68038401,"Basel",6068.25,0.375,0.375,0.25,0.5
68038501,"Basel",1921.625,0.5,0.25,0.5,0
68038601,"Basel",13313.875,0.375,0.625,0.5,0.75
68038701,"Basel",7751.75,0.75,0.5,0.5,0.5
68038801,"Basel",6906.375,0.625,0.625,0.75,0.5
68038901,"Basel",9699.125,0.375,0.625,0.5,0.75
68039001,"Basel",22434,0.625,0.375,0.5,0.25
68039101,"Basel",7134.75,0.375,0.625,0.5,0.75
68039201,"Basel",13081.5,0.375,0.625,0.75,0.5
68039301,"Basel",5636.875,0.875,0.375,0.25,0.5
68039401,"Basel",9925.875,0.625,0.125,0.25,0
68039501,"Basel",10209.625,0.125,0.625,0.5,0.75
68039601,"Basel",21098.75,0.5,0.5,0.5,0.5
68039701,"Basel",6175.875,0.25,0.5,0.25,0.75
68039801,"Basel",37358.25,1,0.5,0.5,0.5
68039901,"Basel",7236.5,0.5,0.5,0.75,0.25
68040001,"Basel",17188.875,0.5,0.5,0.75,0.25
68040301,"Basel",12904.25,0.375,0.125,0.25,0
68040501,"Basel",6882.25,0.5,1,1,1
68040601,"Basel",11616.125,0.625,0.375,0.25,0.5
68040701,"Basel",8963.125,0.125,0.625,0.75,0.5
68040801,"Basel",9715.625,0.5,0.5,0.5,0.5
68040901,"Basel",11367.5,0.5,0.75,0.75,0.75
68041001,"Basel",5407.75,0.375,0.625,0.75,0.5
68041301,"Basel",8794.375,0.25,0.5,0.75,0.25
68041501,"Basel",4889.625,0.625,0.625,0.75,0.5
68041601,"Basel",9040,0.375,0.625,0.75,0.5
68041701,"Basel",11070.375,0,0.5,0.5,0.5
68041801,"Basel",9043.75,0.25,0.25,0.25,0.25
68041901,"Basel",11260.125,0.25,0.75,0.5,1
68042001,"Basel",13902.125,0.75,0.25,0.25,0.25
68042101,"Basel",9835.625,0.5,0.25,0.5,0
68042201,"Basel",10352.375,0.5,0.75,0.75,0.75
68042301,"Basel",8706,0.75,0.5,0.5,0.5
68042401,"Basel",8306.375,0.5,0.5,0.25,0.75
68042601,"Basel",18073.25,0.5,0.5,0.75,0.25
68042801,"Basel",7920.75,0,0.5,0.75,0.25
68042901,"Basel",6987.5,0.5,0,0,0
68043001,"Basel",11507.875,0.25,0.5,0.5,0.5
68043101,"Basel",8694.25,0.5,0.5,0.5,0.5
68043201,"Basel",8365.75,0.375,0.625,0.5,0.75
68043401,"Basel",9158.625,0.625,0.375,0.25,0.5
68043601,"Basel",10090.25,0.25,0.25,0,0.5
68043701,"Basel",15390.75,0.5,0.5,0.5,0.5
68043901,"Basel",4638.25,0.125,0.375,0.25,0.5
68044001,"Basel",9613.375,0.375,0.125,0,0.25
68044101,"Basel",5441.625,0.75,0.5,0.5,0.5
68044201,"Basel",14900.25,0.625,0.625,0.5,0.75
68044301,"Basel",10069.125,0.5,0.75,0.75,0.75
68044401,"Basel",8845.125,0.75,0.5,0.5,0.5
68044501,"Basel",6507.875,0.375,0.375,0.5,0.25
68044601,"Basel",6689.875,0.375,0.375,0.25,0.5
68044801,"Basel",13804.25,0.75,0.5,0.25,0.75
68044901,"Basel",19953.75,0.875,0.625,0.75,0.5
68045001,"Basel",12855.25,0.625,0.375,0.5,0.25
68045101,"Basel",13404.125,0.375,0.375,0.75,0
68045201,"Basel",17572.125,0.375,0.625,0.5,0.75
68045301,"Basel",7249.875,0.5,0.5,0.5,0.5
68045401,"Basel",6347.625,0.625,0.375,0.25,0.5
68045501,"Basel",9396.125,0.375,0.625,0.75,0.5
68045701,"Basel",17707.25,0.75,0.5,0.75,0.25
68045801,"Basel",17492.875,0.25,0.75,0.5,1
68045901,"Basel",7833.375,0.375,0.625,0.5,0.75
68046001,"Basel",12762.875,0.375,0.375,0.5,0.25
68046101,"Basel",10175.75,0.25,0.5,0.25,0.75
68046201,"Basel",10922.125,0.5,0.75,0.75,0.75
68046301,"Basel",12046,0.375,0.375,0.5,0.25
68046401,"Basel",11392.625,0.125,0.625,0.5,0.75
68046501,"Basel",11695.875,0,0.5,0.5,0.5
68046601,"Basel",12004.5,0.625,0.125,0,0.25
68046701,"Basel",9462.625,0.5,0.25,0,0.5
68046901,"Basel",7954.5,0.625,0.625,0.5,0.75
68047001,"Basel",10657.5,0.25,0.5,0.5,0.5
68047101,"Basel",6359.125,0.625,0.125,0,0.25
68047201,"Basel",10316.25,0.75,0.5,1,0
68047301,"Basel",12068.625,0.25,0.5,0,1
68047401,"Basel",6161.125,0.125,0.375,0.25,0.5
68047501,"Basel",10892,0.375,0.375,0.5,0.25
68047601,"Basel",7911.125,0.625,0.375,0.25,0.5
68047701,"Basel",7040.5,0.125,0.625,0.75,0.5
68047901,"Basel",9662.5,0.25,0.25,0.25,0.25
68048001,"Basel",7323.625,0.375,0.375,0,0.75
68048101,"Basel",5286.625,0.25,0.75,1,0.5
68048201,"Basel",8536.5,0.25,0.5,0.75,0.25
68048301,"Basel",5789.5,0.125,0.375,0.25,0.5
68048401,"Basel",7281.625,0.25,0.25,0.25,0.25
68048501,"Basel",8233.75,0.5,0.25,0.25,0.25
68048601,"Basel",10098.625,0.75,0.5,0.25,0.75
68048701,"Basel",14699.875,0.375,0.625,0.75,0.5
68048801,"Basel",7768,0.5,0.5,0.5,0.5
68049001,"Basel",8691.125,0.375,0.125,0,0.25
68049101,"Basel",10176.375,0.125,0.625,0.75,0.5
68049201,"Basel",9406.625,0.625,0.375,0,0.75
68049301,"Basel",6796.25,0.375,0.375,0.25,0.5
68049401,"Basel",9500.125,0.5,0.25,0.25,0.25
68049501,"Basel",9847.25,0,0.5,0.5,0.5
68049701,"Basel",8025.75,0.625,0.375,0.5,0.25
68049801,"Basel",10269.625,0.25,0.5,0.75,0.25
68049901,"Basel",7439.625,0.125,0.375,0.25,0.5
68050001,"Basel",16213.375,0.375,0.375,0.75,0
68050101,"Basel",7664.5,0.25,0.75,0.5,1
68050201,"Basel",4496.5,0.75,0.25,0.25,0.25
68050301,"Basel",11105.25,0.375,0.375,0.25,0.5
68050401,"Basel",6868.875,0.5,0.75,0.75,0.75
68050501,"Basel",10591.625,0.5,0.75,0.5,1
68050601,"Basel",10720.875,0.625,0.375,0,0.75
68050701,"Basel",7410.875,0.5,0.25,0.5,0
68050801,"Basel",9047.375,0.5,0.75,0.75,0.75
68050901,"Basel",6079.75,0.25,0.5,0.5,0.5
68051101,"Basel",8590.25,0.625,0.375,0.5,0.25
68051301,"Basel",13177.875,0.25,0.5,0.5,0.5
68051401,"Basel",23352.125,0.75,0.75,0.75,0.75
