"partid","location","rt_decision","H","R","R_sh1","R_sh2"
65065001,"Berlin",7594,0.5,0.5,0.75,0.25
65065101,"Berlin",26965.375,0.125,0.625,0.5,0.75
65065201,"Berlin",9552.25,0.375,0.375,0.5,0.25
65065301,"Berlin",8307.75,0.625,0.625,0.75,0.5
65065401,"Berlin",9219,0.125,0.375,0.25,0.5
65065501,"Berlin",9264.75,0.375,0.625,0.5,0.75
65065601,"Berlin",11987.75,0.125,0.375,0.25,0.5
65065701,"Berlin",16374.125,0.375,0.375,0.25,0.5
65065801,"Berlin",10480,0.375,0.375,0.75,0
65065901,"Berlin",12372.5,0.25,0.5,0.25,0.75
65066001,"Berlin",19763,0.625,0.375,0.5,0.25
65066101,"Berlin",9185.5,0.625,0.625,0.5,0.75
65066201,"Berlin",8845.125,0.5,0.25,0.5,0
65066301,"Berlin",14136.25,0.625,0.375,0.5,0.25
65066401,"Berlin",10170.75,0.75,0.5,0.5,0.5
65066501,"Berlin",8499.125,0.375,0.375,0.5,0.25
65066601,"Berlin",13688.75,0.625,0.375,0.5,0.25
65066701,"Berlin",10380.75,0.25,0.5,0.75,0.25
65066801,"Berlin",11822.875,0.625,0.375,0.25,0.5
65066901,"Berlin",11789.75,0.375,0.625,0.75,0.5
65067001,"Berlin",15013.75,0.5,0.5,0.25,0.75
65067101,"Berlin",13515.25,0.75,0.25,0.25,0.25
65067201,"Berlin",8011.75,0.375,0.625,0.5,0.75
65067301,"Berlin",6404.25,0.375,0.375,0.5,0.25
65067401,"Berlin",14724.25,0.75,0.75,1,0.5
65067501,"Berlin",6482.5,0,0.5,0.5,0.5
65067601,"Berlin",9729.5,0.125,0.625,0.5,0.75
65067701,"Berlin",13741.125,0.25,0.75,0.75,0.75
65067801,"Berlin",18415.875,0.5,0.5,0.25,0.75
65067901,"Berlin",6997.875,0.25,0.5,0,1
65068001,"Berlin",9554.625,0.375,0.375,0.5,0.25
65068101,"Berlin",9211.5,0.375,0.375,0.25,0.5
65068201,"Berlin",11348.125,0.125,0.625,0.5,0.75
65068301,"Berlin",8434.5,0.75,0.25,0,0.5
65068401,"Berlin",5385.125,0.375,0.625,0.5,0.75
65068501,"Berlin",939.125,0.375,0.375,0.5,0.25
65068601,"Berlin",11173.625,0.25,0.5,0.75,0.25
65068701,"Berlin",9623.75,0.125,0.625,0.5,0.75
65068801,"Berlin",28003.25,0.75,0.25,0,0.5
65068901,"Berlin",9685.625,0.5,0.25,0.25,0.25
65069001,"Berlin",13193.5,0.375,0.875,1,0.75
65069101,"Berlin",6358.375,0.25,0.25,0.5,0
65069201,"Berlin",9097.875,0.375,0.625,0.5,0.75
65069301,"Berlin",14245.875,0.75,0.25,0.25,0.25
65069401,"Berlin",8286.375,0.5,0.25,0.5,0
65069501,"Berlin",16737.75,0.25,0.5,0.75,0.25
65069601,"Berlin",15237.125,0.25,0.75,0.75,0.75
65069701,"Berlin",5214,0.625,0.125,0.25,0
65069801,"Berlin",6008.875,0.5,0.25,0.25,0.25
65069901,"Berlin",7979.25,0.625,0.375,0.5,0.25
65070001,"Berlin",16993.625,0.25,0.5,0.5,0.5
65070101,"Berlin",9505.875,0.375,0.375,0.75,0
65070201,"Berlin",15548.5,0.875,0.625,0.75,0.5
65070301,"Berlin",7952.875,0.75,0.5,0.75,0.25
65070401,"Berlin",7533.25,0.625,0.625,1,0.25
65070501,"Berlin",16569.125,0.375,0.625,0.5,0.75
65070601,"Berlin",7891.5,0.125,0.375,0.75,0
65070701,"Berlin",12136.5,0.375,0.375,0.5,0.25
65070801,"Berlin",9286.375,0.5,0.75,0.5,1
65070901,"Berlin",26266.5,0.875,0.375,0.75,0
65071001,"Berlin",12609.625,0.25,0.75,0.75,0.75
65071101,"Berlin",10051.5,0.375,0.625,0.5,0.75
65071201,"Berlin",11492.75,0.75,0.25,0.25,0.25
65071301,"Berlin",17112.625,0.25,0.5,0.25,0.75
65071401,"Berlin",8387.625,0.625,0.625,0.75,0.5
65071501,"Berlin",15219.75,0.625,0.625,0.25,1
65071601,"Berlin",9223.375,0.625,0.375,0.25,0.5
65071701,"Berlin",4088.125,0.25,0.75,0.75,0.75
65071801,"Berlin",10745.375,0.375,0.625,0.75,0.5
65071901,"Berlin",6885.5,0.125,0.625,0.5,0.75
65072001,"Berlin",8173.125,0.375,0.625,0.75,0.5
65072101,"Berlin",7560.375,0.75,0.5,0.5,0.5
65072201,"Berlin",9396.75,0.375,0.125,0,0.25
65072301,"Berlin",11358.125,0.25,0.5,0.5,0.5
65072401,"Berlin",11119.125,0.25,0.25,0.5,0
65072501,"Berlin",6159.125,0.75,0.25,0.25,0.25
65072601,"Berlin",12754.25,0.125,0.625,0.75,0.5
65072701,"Berlin",13476.75,0,0.5,0.75,0.25
65072801,"Berlin",11797.375,0.125,0.375,0.5,0.25
65072901,"Berlin",11215,0.75,0.5,0.25,0.75
65073001,"Berlin",7238.125,0.625,0.625,0.75,0.5
65073101,"Berlin",6964.375,0.5,0.25,0.5,0
65073201,"Berlin",7174.625,0.625,0.125,0.25,0
65073301,"Berlin",8500.875,0.25,0.5,0.5,0.5
65073401,"Berlin",9219.5,0.375,0.375,0.5,0.25
65073501,"Berlin",13878.625,0.25,0.75,0.75,0.75
65073601,"Berlin",8401.625,0.625,0.375,0.25,0.5
65073701,"Berlin",10238.25,0.25,0.25,0.5,0
65073801,"Berlin",10423.375,0.125,0.375,0.25,0.5
65073901,"Berlin",8945.25,0.5,0.5,0.75,0.25
65074001,"Berlin",12621.625,0.625,0.375,0,0.75
65074101,"Berlin",11561.875,0.25,0.25,0.25,0.25
65074201,"Berlin",9474.875,0.375,0.375,0.5,0.25
65074301,"Berlin",14193.625,0.5,0.75,0.5,1
65074401,"Berlin",8103.125,0.5,0.5,0.25,0.75
65074501,"Berlin",5903.125,0.375,0.875,0.75,1
65074601,"Berlin",5053.25,0.25,0.5,0.5,0.5
65074701,"Berlin",20676.375,1,0.5,0.75,0.25
65074801,"Berlin",7690,0.875,0.625,0.5,0.75
65074901,"Berlin",6020.875,0.5,0,0,0
65075001,"Berlin",8892.625,0.125,0.625,1,0.25
65075101,"Berlin",16086.375,0.25,0.25,0.25,0.25
65075201,"Berlin",5980.75,0.625,0.375,0.25,0.5
65075301,"Berlin",8836.625,0.875,0.375,0.5,0.25
65075401,"Berlin",12972,0.5,0.75,1,0.5
65075501,"Berlin",9263,0.375,0.375,0.5,0.25
65075601,"Berlin",15710.375,0.125,0.625,0.75,0.5
65075701,"Berlin",11700.5,0.5,0.5,0.25,0.75
65075801,"Berlin",12613,0.5,0.5,0.75,0.25
65075901,"Berlin",6788.375,0.625,0.625,0.25,1
65076001,"Berlin",13879.5,0.5,0.25,0.5,0
65076101,"Berlin",15701.125,0.5,0.5,0.5,0.5
65076201,"Berlin",19145.75,0.375,0.375,0.5,0.25
65076301,"Berlin",13914.625,0.5,0.25,0.5,0
65076401,"Berlin",19106,0.25,0.5,0.5,0.5
65076501,"Berlin",19715.375,0.375,0.875,0.75,1
65076601,"Berlin",16400.25,0.5,0.25,0.25,0.25
65076701,"Berlin",15630.375,0.375,0.625,0.75,0.5
65076801,"Berlin",16271.25,0.5,0.5,0.25,0.75
65076901,"Berlin",8261,0.125,0.625,1,0.25
65077001,"Berlin",21395.125,0.25,0.5,0.5,0.5
65077101,"Berlin",20852.125,0.5,0.5,0.75,0.25
65077201,"Berlin",10363.125,0.375,0.375,0,0.75
65077301,"Berlin",14814.125,0,0.5,0.5,0.5
65077401,"Berlin",6521.375,0.25,0.25,0.5,0
65077501,"Berlin",17618.375,0.625,0.625,0.5,0.75
65077601,"Berlin",6532.5,0.25,0.75,0.5,1
65077701,"Berlin",15312.625,0.5,0.25,0,0.5
65077801,"Berlin",17395.875,0.5,0,0,0
65077901,"Berlin",9803.25,0.25,0.25,0.5,0
65078001,"Berlin",7269.625,0.375,0.375,0,0.75
65078101,"Berlin",12135.875,0.625,0.375,0.25,0.5
65078201,"Berlin",12764.125,0.25,0.25,0.25,0.25
65078301,"Berlin",10006.75,0.375,0.375,0.25,0.5
65078401,"Berlin",13351.625,0.375,0.125,0,0.25
65078501,"Berlin",5477,0.5,0.5,0.5,0.5
65078601,"Berlin",7692,0.375,0.625,0.75,0.5
65078701,"Berlin",9774.75,0.25,0.25,0.5,0
65078801,"Berlin",16012.375,0.375,0.625,0.5,0.75
65078901,"Berlin",9023.875,0.25,0.75,0.75,0.75
65079001,"Berlin",8311,0.75,0.5,0.5,0.5
65079101,"Berlin",13617,0.5,0.75,1,0.5
65079201,"Berlin",8727.5,1,0.5,0.5,0.5
65079301,"Berlin",7805.5,0.25,0.5,0.5,0.5
65079401,"Berlin",23853.875,0.25,0.5,0.75,0.25
65079501,"Berlin",10150.25,0.125,0.625,0.5,0.75
65079601,"Berlin",13728,0.25,0.5,0.75,0.25
68000201,"Basel",6679.625,0.375,0.625,0.5,0.75
68000301,"Basel",11678.25,0.5,0.25,0.5,0
68000401,"Basel",8256.625,0.25,0.75,1,0.5
68000601,"Basel",5698.125,0.625,0.625,0.5,0.75
68000801,"Basel",21920.25,1,0.5,0.5,0.5
68000901,"Basel",5142.625,0.25,0.5,0.5,0.5
68001001,"Basel",8722.875,0.5,0.25,0.25,0.25
68001101,"Basel",14188.375,0.625,0.125,0,0.25
68001201,"Basel",5986.625,0.25,0.5,0.25,0.75
68001301,"Basel",4410.5,0.5,0.25,0.25,0.25
68001401,"Basel",9240.125,0.125,0.375,0.5,0.25
68001501,"Basel",10433.625,0.125,0.375,0.5,0.25
68001601,"Basel",9560.875,0.125,0.375,0.5,0.25
68001701,"Basel",12715.25,0.5,0.25,0.25,0.25
68001901,"Basel",7931,0.125,0.375,0.25,0.5
68002001,"Basel",10755.25,0.5,0.25,0.5,0
68002101,"Basel",24321.875,0.5,0,0,0
68002201,"Basel",9665.875,0.625,0.125,0.25,0
68002301,"Basel",7430,0.375,0.375,0.5,0.25
68002401,"Basel",11377.125,0.375,0.375,0.25,0.5
68002501,"Basel",10250.25,0.5,0.25,0,0.5
68002601,"Basel",13093.875,0.625,0.625,0.5,0.75
68002701,"Basel",6183.5,0.375,0.375,0.5,0.25
68002801,"Basel",5913,0.375,0.875,0.75,1
68002901,"Basel",8854,0.375,0.625,0.5,0.75
68003101,"Basel",11774.375,0.5,0.5,0.25,0.75
68003301,"Basel",7917.5,0.5,0.25,0.25,0.25
68003401,"Basel",8754.875,0.25,0.5,0.25,0.75
68003501,"Basel",7822.5,0.5,0.25,0.5,0
68003701,"Basel",10788.25,0.125,0.625,0.75,0.5
68003801,"Basel",7167.375,0.5,0.5,0,1
68003901,"Basel",11238.5,0.625,0.625,0.75,0.5
68004001,"Basel",8866.125,0.25,0.5,0.25,0.75
68004101,"Basel",9819.875,0.25,0.25,0,0.5
68004201,"Basel",10929.25,0.5,0.75,0.75,0.75
68004301,"Basel",20882,0.375,0.375,0.25,0.5
68004401,"Basel",13376.125,0.5,0.5,0.75,0.25
68004501,"Basel",8936.25,0.875,0.375,0.25,0.5
68004601,"Basel",8036,0.625,0.375,0.25,0.5
68004701,"Basel",15075.75,0.75,0.5,0.5,0.5
68004801,"Basel",9660.875,0.375,0.375,0.5,0.25
68004901,"Basel",8489.25,0.25,0.5,0.5,0.5
68005001,"Basel",15704.5,0.125,0.625,0.75,0.5
68005201,"Basel",6244.875,0.5,0.25,0.25,0.25
68005301,"Basel",11663,0.5,0.5,0.25,0.75
68005401,"Basel",8646.5,0.375,0.625,0.5,0.75
68005501,"Basel",9720.875,0.25,0.5,0.5,0.5
68005601,"Basel",8684.625,0.625,0.375,0.25,0.5
68005701,"Basel",7022.375,0.25,0.25,0.5,0
68005801,"Basel",23971.125,0.375,0.375,0.25,0.5
68005901,"Basel",8216.25,0.5,0.5,0.5,0.5
68006001,"Basel",21517.125,0.25,0.75,0.75,0.75
68006101,"Basel",7139.875,0.5,0.25,0.25,0.25
68006201,"Basel",13307.625,0.375,0.875,0.75,1
68006301,"Basel",4360.625,0.5,0.25,0.25,0.25
68006401,"Basel",11185.125,0.875,0.375,0.25,0.5
68006501,"Basel",14337.375,0.125,0.625,0.5,0.75
68006601,"Basel",6678.625,0.25,0.75,0.75,0.75
68006901,"Basel",16744.125,0.5,0.25,0.25,0.25
68007001,"Basel",8120,0.5,0.25,0.5,0
68007101,"Basel",11165.375,0.375,0.625,0.75,0.5
68007201,"Basel",11692.875,0.375,0.625,0.5,0.75
68007301,"Basel",8113.375,0.375,0.375,0.5,0.25
68007401,"Basel",13005.625,0.375,0.375,0.5,0.25
68007501,"Basel",22904.25,0.375,0.375,0.5,0.25
68007701,"Basel",7320,0.25,0.5,0.5,0.5
68007801,"Basel",3291.875,0.875,0.375,0.25,0.5
68007901,"Basel",22091.875,0.5,0.5,0.5,0.5
68008001,"Basel",7415,0.625,0.375,0.25,0.5
68008201,"Basel",24083.375,0.375,0.375,0.25,0.5
68008401,"Basel",6742.5,0.375,0.625,0.5,0.75
68008601,"Basel",9226.75,0.25,0.25,0.25,0.25
68008701,"Basel",14729,0.5,0.75,0.75,0.75
68008801,"Basel",7740.5,0.625,0.625,0.5,0.75
68008901,"Basel",7939.5,0.625,0.375,0.25,0.5
68009001,"Basel",12744.125,0.5,0.5,0.5,0.5
68009101,"Basel",20581,0.5,0.5,0.5,0.5
68009201,"Basel",9587.875,0.625,0.375,0.25,0.5
68009401,"Basel",4939.875,0.5,0.5,0.75,0.25
68009501,"Basel",13189.75,0.25,0.5,0.25,0.75
68009601,"Basel",8870.875,0.5,0.5,0.5,0.5
68009701,"Basel",11198.125,0.375,0.375,0.5,0.25
68009801,"Basel",15733.125,0.25,0.5,0.5,0.5
68009901,"Basel",7960.5,0.875,0.625,0.5,0.75
68010001,"Basel",9058.125,0.625,0.625,0.5,0.75
68010101,"Basel",8135.25,0.5,0.25,0.25,0.25
68010201,"Basel",25715.5,0.75,0.5,0.25,0.75
68010301,"Basel",10287.875,0.375,0.375,0.5,0.25
68010401,"Basel",13037.625,0.375,0.625,0.75,0.5
68010501,"Basel",19765.25,0.375,0.125,0.25,0
68010601,"Basel",14615.25,0.75,0.75,1,0.5
68010701,"Basel",10366,0.25,0.5,0.25,0.75
68010801,"Basel",8988.5,0.75,0.5,0.75,0.25
68010901,"Basel",13501.25,0.125,0.375,0.25,0.5
68011001,"Basel",14331.75,0,0.5,0.5,0.5
68011101,"Basel",17178.125,0.75,0.5,0.25,0.75
68011201,"Basel",8035.875,0.5,0.5,0.25,0.75
68011301,"Basel",8987.75,0.75,0.5,0.75,0.25
68011401,"Basel",7952.875,0.5,0.5,0.75,0.25
68011501,"Basel",7847,0.5,0.5,0.5,0.5
68011601,"Basel",11572.25,0.375,0.375,0.5,0.25
68011701,"Basel",7323,0.625,0.375,0.25,0.5
68011801,"Basel",8382.5,0.25,0.25,0.25,0.25
68011901,"Basel",10456.75,0.75,0.5,0.25,0.75
68012101,"Basel",6947.75,0.75,0.5,0.25,0.75
68012201,"Basel",14043.75,0.75,0.5,0.75,0.25
68012301,"Basel",46988.125,0.625,0.625,0.75,0.5
