"partid","gen_valence","gen_arousal","gen_arouspos","gen_arousneg","gen_happy","gen_afraid","gen_sad","gen_angry","gen_motivat","gen_concentr","gen_timepr","gen_tired","pre_valence","pre_arousal","pre_arouspos","pre_arousneg","pre_happy","pre_afraid","pre_sad","pre_angry","pre_motivat","pre_concentr","pre_timepr","pre_tired","mid1_valence","mid1_arousal","mid1_arouspos","mid1_arousneg","mid1_happy","mid1_afraid","mid1_sad","mid1_angry","mid1_motivat","mid1_concentr","mid1_timepr","mid1_tired","mid2_valence","mid2_arousal","mid2_arouspos","mid2_arousneg","mid2_happy","mid2_afraid","mid2_sad","mid2_angry","mid2_motivat","mid2_concentr","mid2_timepr","mid2_tired","post_valence","post_arousal","post_arouspos","post_arousneg","post_happy","post_afraid","post_sad","post_angry","post_motivat","post_concentr","post_timepr","post_tired"
68015201,81,21,71,6,86,0,3,10,60,66,10,11,64,53,68,0,53,0,1,2,92,95,0,54,39,77,59,41,79,0,0,59,100,100,0,0,20,85,56,76,60,0,0,0,100,63,0,0,100,30,45,6,57,0,0,15,28,24,0,0
68015301,76,11,60,40,60,3,40,10,59,30,10,70,60,10,61,0,70,0,10,0,89,70,0,59,60,30,40,10,60,0,0,10,81,80,0,40,64,60,59,10,59,1,21,1,80,81,9,59,59,19,58,1,65,0,27,0,70,59,0,31
68015401,70,25,66,26,67,85,40,22,68,83,72,69,60,43,44,13,40,84,27,16,59,66,3,79,31,64,41,88,24,41,70,88,71,74,28,15,71,40,53,35,61,31,38,24,64,40,20,61,63,27,43,35,70,12,38,28,56,77,6,56
68015501,75,40,39,40,68,14,31,43,60,68,20,64,42,31,30,21,69,0,39,31,10,39,13,79,70,61,59,60,61,0,23,66,30,62,25,60,65,43,39,33,59,0,19,67,25,57,10,55,71,41,67,34,65,0,22,26,38,24,1,67
68015601,80,61,60,5,80,5,20,30,80,60,49,65,80,3,75,0,81,0,0,0,84,86,0,20,60,96,84,75,70,0,0,65,82,100,28,10,55,40,6,59,36,0,5,59,43,58,60,80,60,6,17,4,69,2,0,8,64,39,13,91
68015701,89,19,71,0,89,60,30,21,69,59,20,30,69,20,69,2,70,40,11,20,69,71,1,59,46,37,45,25,58,0,42,53,58,58,1,60,83,20,71,6,71,13,2,2,61,69,1,76,74,19,72,0,82,0,0,0,70,66,0,78
68015801,90,60,80,10,90,10,0,26,100,79,10,10,79,30,70,0,85,11,0,0,84,84,0,0,39,70,34,68,41,52,0,70,78,70,12,21,68,76,50,40,60,10,9,59,40,22,67,60,70,41,28,69,49,3,0,69,21,29,85,81
68015901,60,50,54,40,60,21,40,60,70,70,60,60,60,9,30,1,29,0,0,1,81,80,19,59,19,59,39,68,0,1,57,71,65,70,37,0,60,30,62,38,31,0,10,24,74,73,36,11,42,34,38,43,46,18,47,53,39,42,39,60
68016001,89,25,100,3,89,0,10,3,80,70,81,89,89,80,80,5,97,0,0,0,94,100,16,7,89,100,89,0,88,0,0,55,100,100,0,0,44,79,71,13,79,2,33,19,100,100,59,0,63,16,76,23,85,0,0,24,1,24,6,70
68016101,70,40,89,60,80,30,30,30,90,90,70,60,69,40,41,0,80,9,9,11,100,100,41,31,71,81,69,59,48,0,10,8,68,69,10,61,89,90,89,3,81,0,0,1,82,79,27,6,48,29,0,34,29,36,35,32,22,35,68,70
68016201,75,72,80,61,74,72,58,50,90,70,48,29,85,61,80,0,66,0,60,0,80,60,0,59,36,31,46,58,39,43,54,61,34,59,39,55,91,64,69,30,75,11,30,0,70,61,4,41,41,0,0,0,37,0,27,0,0,0,0,100
68016301,65,52,64,59,79,30,30,20,79,80,70,41,84,39,60,10,80,20,1,11,86,85,53,10,57,44,61,47,61,11,8,18,63,79,55,70,36,71,44,67,59,21,63,64,65,40,61,60,79,31,63,5,90,12,21,8,35,60,8,88
68016401,31,70,49,68,40,30,55,27,59,33,24,41,28,23,36,54,38,20,55,42,55,63,5,60,56,41,40,37,54,31,43,36,68,53,25,48,55,44,23,26,48,23,53,39,37,42,25,66,59,32,39,41,49,29,47,44,45,41,38,68
68016501,73,17,63,21,86,31,22,8,69,72,31,59,74,37,40,2,77,12,1,0,82,97,15,66,32,56,46,68,43,17,44,71,65,77,20,40,72,61,58,67,74,0,3,25,91,84,12,36,64,32,58,0,69,0,21,0,46,70,0,63
68016601,79,29,69,49,58,40,49,30,49,39,53,60,60,69,59,35,66,23,69,20,53,60,20,41,59,39,58,42,58,23,54,46,54,61,29,47,58,30,54,36,54,27,55,48,60,64,25,57,69,24,46,48,63,35,55,28,45,57,17,69
68016701,50,39,41,60,60,20,39,29,90,70,70,30,30,29,9,29,30,9,60,1,60,69,0,70,28,72,9,68,12,10,1,68,31,69,68,91,59,18,4,31,18,11,21,68,14,65,65,82,69,5,4,13,15,9,7,15,8,9,8,94
68016801,74,85,81,64,75,40,37,35,72,60,34,74,70,25,63,0,62,0,0,0,91,90,5,30,74,10,80,9,75,0,13,20,89,89,8,9,75,0,48,1,54,0,0,0,89,81,0,75,38,0,35,40,35,0,26,11,32,40,59,71
68016901,81,59,79,5,85,58,16,20,87,80,59,23,89,32,30,0,74,17,0,0,90,100,0,33,37,55,27,57,28,6,0,61,83,93,19,24,74,18,63,0,84,0,0,1,99,92,5,3,74,43,23,0,61,8,0,0,74,83,0,66
68017001,53,59,45,56,53,54,60,54,60,59,59,40,30,60,20,40,20,70,90,40,70,81,30,10,52,40,40,39,30,40,40,55,60,90,40,40,40,40,20,40,20,45,70,60,79,80,40,30,49,40,40,58,41,55,71,40,70,80,40,51
68017101,90,20,59,31,90,20,0,10,89,70,61,30,9,70,30,69,48,0,90,89,100,100,1,21,69,10,40,60,90,4,40,70,90,81,0,29,90,29,59,40,89,0,41,30,61,30,2,88,76,63,62,60,90,1,26,61,0,1,98,96
