"","num_mem","P1_proj1","P1_proj2","P1_proj3","ins_g","mor_g","h_l","g_p","ta_1","ta_2","do_1","do_2","e_g","age","income","male","realestate","insurance","self_emp","deductible","inv_ris","valsavings"
"1",800033,50,37,13,4,3,NA,400,NA,NA,NA,NA,NA,20,0,1,0,0,0,NA,0,NA
"2",800198,100,0,0,4,2,NA,NA,NA,NA,NA,NA,1,55,2.8,1,NA,NA,0,0,0,NA
"3",800204,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,70,1.7,1,0,0,0,0,NA,21
"4",800244,20,50,30,5,1,NA,NA,NA,NA,7,6,NA,56,2.6,1,0,0,0,0,NA,NA
"5",800289,70,30,0,1,1,NA,NA,NA,NA,4,1,NA,58,2.266,0,0,0,0,0,NA,6.8
"6",800360,100,0,0,1,1,1,NA,NA,NA,NA,NA,NA,59,2.4,1,0,0,0,0,0,NA
"7",800375,50,50,0,2,1,NA,NA,NA,NA,2,2,NA,68,1.148,0,0,0,0,NA,NA,2.406
"8",800393,0,0,100,1,3,NA,NA,1,15,NA,NA,NA,47,2.4,1,0,1,0,0,90,0.45
"9",800445,50,30,20,1,1,NA,0,NA,NA,NA,NA,NA,36,NA,0,NA,NA,0,0,NA,NA
"10",800500,60,20,20,1,1,NA,NA,NA,NA,NA,NA,2,59,1.592,1,0,0,0,0,NA,10
"11",800540,20,40,40,5,1,NA,NA,1,1,NA,NA,NA,56,NA,0,0,0,0,NA,NA,0
"12",800576,0,100,0,1,1,NA,NA,NA,NA,1,1,NA,73,2.5,1,NA,NA,0,NA,NA,NA
"13",800695,60,25,15,5,1,NA,NA,1,1,NA,NA,NA,70,1.25,0,0,0,0,0,0,NA
"14",800775,50,30,20,2,2,6,NA,NA,NA,NA,NA,NA,43,2.3,1,NA,NA,0,0,0,NA
"15",800839,50,0,50,1,2,7,NA,NA,NA,NA,NA,NA,50,1.334,0,NA,NA,0,0,5,NA
"16",800903,60,20,20,1,2,NA,NA,NA,NA,7,7,NA,40,2.306,1,0,0,0,0,0,NA
"17",800942,20,30,50,4,1,NA,4,NA,NA,NA,NA,NA,89,0.75,1,NA,NA,0,0,NA,NA
"18",800961,0,0,100,1,1,NA,NA,NA,NA,NA,NA,1,49,2.134,1,NA,NA,0,NA,20,NA
"19",800997,25,35,40,5,1,NA,700,NA,NA,NA,NA,NA,18,0.18,0,0,0,0,NA,NA,NA
"20",801306,100,0,0,1,2,NA,NA,NA,NA,2,2,NA,22,0.05,1,NA,NA,0,NA,NA,NA
"21",801480,50,25,25,1,1,NA,NA,15,15,NA,NA,NA,44,1.505,0,NA,NA,0,0,NA,NA
"22",801510,20,20,60,2,1,NA,NA,4,12,NA,NA,NA,65,1.25,1,NA,NA,0,NA,NA,NA
"23",801556,15,70,15,5,3,NA,NA,NA,NA,NA,NA,1,78,0.698,1,0,0,0,0,NA,0
"24",801562,50,30,20,1,2,NA,NA,7,1,NA,NA,NA,27,2.9,1,NA,NA,0,0,10,NA
