bibkey,paper,task,subject,age,gender,choice,r,sex,treatment,country
Gnambs2015,Gnambs et al PONE 2015,BART,126,26,1,10,0.18518518518518517,2,blue ballonn,Germany
Gnambs2015,Gnambs et al PONE 2015,BART,127,18,0,18.333333333333332,0.4014598540145985,1,blue ballonn,Germany
Gnambs2015,Gnambs et al PONE 2015,BART,128,27,0,22.125,0.5283582089552239,1,blue ballonn,Germany
Gnambs2015,Gnambs et al PONE 2015,BART,129,22,0,24,0.6,1,blue ballonn,Germany
Gnambs2015,Gnambs et al PONE 2015,BART,130,31,0,16,0.3333333333333333,1,blue ballonn,Germany
Gnambs2015,Gnambs et al PONE 2015,BART,131,22,0,11.5,0.21904761904761905,1,blue ballonn,Germany
Gnambs2015,Gnambs et al PONE 2015,BART,132,19,0,29.5,0.855072463768116,1,blue ballonn,Germany
Gnambs2015,Gnambs et al PONE 2015,BART,133,21,1,19.25,0.4301675977653631,2,blue ballonn,Germany
Gnambs2015,Gnambs et al PONE 2015,BART,134,20,1,23.875,0.5950155763239875,2,blue ballonn,Germany
Gnambs2015,Gnambs et al PONE 2015,BART,135,20,0,22.454545454545453,0.5404814004376367,1,blue ballonn,Germany
Gnambs2015,Gnambs et al PONE 2015,BART,136,21,0,35.375,1.2358078602620088,1,blue ballonn,Germany
Gnambs2015,Gnambs et al PONE 2015,BART,137,19,1,25,0.6410256410256411,2,blue ballonn,Germany
Gnambs2015,Gnambs et al PONE 2015,BART,138,21,0,25.285714285714285,0.6531365313653136,1,blue ballonn,Germany
Gnambs2015,Gnambs et al PONE 2015,BART,139,19,0,8.1,0.1449016100178891,1,blue ballonn,Germany
Gnambs2015,Gnambs et al PONE 2015,BART,140,26,1,20.22222222222222,0.4619289340101523,2,blue ballonn,Germany
Gnambs2015,Gnambs et al PONE 2015,BART,141,25,0,15.5,0.31958762886597936,1,blue ballonn,Germany
Gnambs2015,Gnambs et al PONE 2015,BART,142,18,0,10.3,0.19180633147113593,1,blue ballonn,Germany
Gnambs2015,Gnambs et al PONE 2015,BART,143,19,0,11.454545454545455,0.2179930795847751,1,blue ballonn,Germany
Gnambs2015,Gnambs et al PONE 2015,BART,144,19,1,12.88888888888889,0.25217391304347825,2,blue ballonn,Germany
Gnambs2015,Gnambs et al PONE 2015,BART,145,18,0,18.09090909090909,0.3940594059405941,1,blue ballonn,Germany
Gnambs2015,Gnambs et al PONE 2015,BART,146,23,0,21.666666666666668,0.5118110236220473,1,blue ballonn,Germany
