"","num_mem","P1_proj1","P1_proj2","P1_proj3","ins_g","mor_g","h_l","g_p","ta_1","ta_2","do_1","do_2","e_g","age","income","male","realestate","insurance","self_emp","mulSwitch_hl","deductible","inv_ris","valsavings"
"579",850048,18,50,32,1,1,NA,400,NA,NA,NA,NA,NA,23,0.25,1,0,0,0,NA,NA,0,NA
"580",850106,30,21,49,4,2,NA,NA,NA,NA,NA,NA,4,81,0.69,0,0,0,0,NA,0,NA,0
"581",850109,100,0,0,1,1,NA,NA,NA,NA,2,2,NA,63,1.4,1,0,0,0,NA,0,NA,0
"582",850341,80,10,10,5,1,NA,NA,NA,NA,3,2,NA,75,2.733,1,0,0,0,NA,0,0,59
"583",850418,50,50,0,5,2,NA,1,NA,NA,NA,NA,NA,22,0.25,0,NA,NA,0,NA,NA,NA,NA
"584",850445,60,30,10,1,3,1,NA,NA,NA,NA,NA,NA,42,NA,0,NA,NA,0,FALSE,1,NA,NA
"585",850451,10,20,70,3,3,NA,NA,NA,NA,NA,NA,6,50,1.75,1,0,0,0,NA,NA,NA,NA
"586",850482,70,20,10,5,1,NA,NA,NA,NA,NA,NA,1,40,2.4,1,NA,NA,0,NA,0,0,NA
"587",850628,75,25,0,1,1,NA,600,NA,NA,NA,NA,NA,44,1.653,1,0,1,0,NA,1,NA,NA
"588",850631,30,30,40,5,3,NA,NA,NA,NA,5,6,NA,46,2.001,1,0,0,0,NA,NA,NA,0
"589",850689,55,40,5,3,2,NA,NA,NA,NA,NA,NA,2,47,1.008,1,0,0,0,NA,0,0,0
"590",850717,0,0,100,5,2,NA,NA,NA,NA,NA,NA,3,69,2.25,0,0,0,0,NA,0,NA,12
"591",850732,75,15,10,4,2,NA,500,NA,NA,NA,NA,NA,62,2.8,1,0,1,0,NA,1,0,130
"592",850738,34,33,33,1,2,NA,NA,NA,NA,NA,NA,4,64,1.604,1,0,0,0,NA,0,NA,0.294
"593",850741,50,25,25,1,2,NA,NA,NA,NA,4,3,NA,67,1.358,0,0,0,0,NA,0,0,6.085
"594",850860,50,25,25,2,2,NA,NA,NA,NA,2,2,NA,62,2,1,0,0,1,NA,1,50,50
"595",851028,30,30,40,1,3,11,NA,NA,NA,NA,NA,NA,61,0.17,0,0,0,0,FALSE,0,NA,0
"596",851037,50,40,10,5,1,NA,NA,9,15,NA,NA,NA,19,0,0,0,0,0,NA,NA,0,2
"597",851107,100,0,0,5,1,NA,NA,NA,NA,2,2,NA,82,NA,1,0,0,0,NA,0,40,36.611
"598",851239,70,30,0,5,1,9,NA,NA,NA,NA,NA,NA,20,0,0,0,0,0,FALSE,0,0,3.5
"599",851242,20,60,20,1,3,5,NA,NA,NA,NA,NA,NA,30,1.65,0,NA,NA,0,FALSE,0,0,NA
"600",851281,100,0,0,3,2,NA,NA,6,10,NA,NA,NA,79,3.25,1,NA,NA,0,NA,NA,NA,NA
"601",851336,35,30,35,2,1,NA,400,NA,NA,NA,NA,NA,65,0.69,0,NA,NA,0,NA,0,0,NA
"602",851351,50,25,25,3,1,NA,500,NA,NA,NA,NA,NA,23,0.75,0,0,0,0,NA,0,0,2.6
"603",851425,60,30,10,3,2,NA,NA,6,11,NA,NA,NA,48,1.756,1,0,1,0,NA,NA,5,NA
"604",851535,0,100,0,1,2,NA,NA,NA,NA,NA,NA,2,42,3.9,1,NA,NA,0,NA,NA,NA,NA
"605",851641,45,35,20,1,2,NA,NA,NA,NA,NA,NA,6,55,0.7,0,NA,NA,0,NA,0,NA,NA
"606",851834,0,0,100,5,3,NA,NA,NA,NA,3,2,NA,29,1.3,1,NA,NA,0,NA,1,0,NA
"607",851931,30,30,40,2,3,5,NA,NA,NA,NA,NA,NA,18,0.56,1,NA,NA,0,TRUE,NA,NA,NA
"608",851992,30,50,20,1,2,NA,NA,NA,NA,NA,NA,3,67,1.25,1,NA,NA,0,NA,0,NA,NA
"609",852279,40,40,20,2,1,NA,200,NA,NA,NA,NA,NA,45,3.07,0,0,1,0,NA,0,NA,39.032
"610",852429,50,25,25,1,2,NA,NA,NA,NA,NA,NA,1,70,1.1,0,0,0,0,NA,0,NA,NA
"611",852624,100,0,0,5,1,NA,NA,15,10,NA,NA,NA,53,0.6,0,0,1,0,NA,0,10,NA
"612",852883,10,30,60,3,1,NA,400,NA,NA,NA,NA,NA,49,0,0,NA,NA,0,NA,0,NA,NA
"613",852935,0,70,30,1,3,NA,NA,10,7,NA,NA,NA,36,1.045,1,NA,NA,0,NA,1,NA,NA
"614",852954,60,30,10,2,1,NA,NA,NA,NA,NA,NA,1,33,3.1,1,NA,NA,0,NA,NA,NA,NA
"615",853039,33,33,34,2,2,NA,NA,15,1,NA,NA,NA,62,0.284,0,0,0,0,NA,0,NA,10
"616",853219,50,30,20,3,3,NA,50,NA,NA,NA,NA,NA,54,0,0,NA,NA,0,NA,0,NA,NA
"617",853271,25,25,50,4,2,NA,NA,2,7,NA,NA,NA,66,1.44,0,0,0,0,NA,0,NA,1.5
"618",853320,30,20,50,1,1,NA,NA,NA,NA,NA,NA,3,21,1.3,1,0,0,0,NA,NA,NA,-1.4
"619",853567,25,25,50,5,3,NA,100,NA,NA,NA,NA,NA,19,0.75,0,NA,NA,0,NA,0,75,NA
"620",853930,100,0,0,1,3,NA,800,NA,NA,NA,NA,NA,61,1.5,1,0,0,0,NA,0,0,35
"622",854183,100,0,0,1,1,NA,0,NA,NA,NA,NA,NA,46,1.6,0,NA,NA,0,NA,NA,0,NA
"623",854312,0,100,0,2,1,NA,NA,NA,NA,NA,NA,2,41,2.1,1,0,1,0,NA,0,10,18
"624",854354,60,30,10,1,3,7,NA,NA,NA,NA,NA,NA,45,1.2,0,NA,NA,0,FALSE,0,10,NA
"625",854385,80,20,0,2,1,8,NA,NA,NA,NA,NA,NA,45,0.75,0,0,1,0,FALSE,NA,NA,NA
"626",854504,80,20,0,1,1,NA,400,NA,NA,NA,NA,NA,53,1.5,1,0,0,0,NA,0,NA,NA
"627",854632,0,34,66,3,2,6,NA,NA,NA,NA,NA,NA,63,1.25,1,0,0,0,TRUE,0,NA,NA
"628",854895,25,50,25,1,2,5,NA,NA,NA,NA,NA,NA,51,2.07,1,NA,NA,0,FALSE,NA,NA,NA
"629",854922,75,25,0,1,1,NA,NA,14,1,NA,NA,NA,42,1.565,0,0,0,0,NA,0,NA,NA
"630",855120,20,40,40,5,1,7,NA,NA,NA,NA,NA,NA,33,0.695,1,NA,NA,0,TRUE,0,25,NA
"631",855160,25,35,40,5,3,NA,NA,NA,NA,6,5,NA,63,0.16,0,NA,NA,0,NA,NA,NA,NA
"633",855316,50,50,0,5,1,NA,0,NA,NA,NA,NA,NA,28,0.6,0,0,0,0,NA,NA,NA,NA
"634",855325,33,33,34,2,3,NA,NA,1,15,NA,NA,NA,38,1.5,0,NA,NA,0,NA,NA,NA,NA
