"partid","location","gamble_lab","domain","gamble_ind","samples","switches","swrate","A_mean","A_var","B_mean","B_var","rare_n","rt_sample","rt_decision","H","Hexp","R","Rexp","decision"
"64164801","Basel","he04_1","gain",8,28,8,0.3,2.93,3.35,3,0,4,1237,846,1,0,1,1,"A"
"64165001","Basel","he04_5","gain",1,11,7,0.7,0,0,3,0,0,1330,1196,0,1,0,NA,"B"
"64165001","Basel","he04_6inv","loss",2,17,8,0.5,-1,2.4,0,0,0,1147,531,0,1,1,0,"B"
"64165001","Basel","he04_2inv","loss",3,19,11,0.61,-0.67,1.75,-1.2,3.73,3,1191,547,1,1,0,0,"A"
"64165001","Basel","he04_2","gain",4,14,6,0.46,1,3.43,0.5,1.5,2,1248,777,1,1,1,1,"A"
"64165001","Basel","he04_6","gain",5,29,3,0.11,0,0,0.43,1.29,0,1181,568,0,1,0,1,"B"
"64165001","Basel","he04_4","loss",6,15,1,0.07,-3,0,-3.6,1.6,1,1206,833,1,1,0,0,"A"
"64165001","Basel","he04_1","gain",7,3,2,1,2,8,3,NA,1,1209,462,1,0,1,NA,"A"
"64165001","Basel","he04_3","loss",8,18,13,0.76,-3,0,-4.57,146.29,1,1194,517,0,0,1,1,"B"
"64165601","Basel","he04_5","gain",1,15,9,0.64,0,0,3,0,0,1181,4513,0,1,0,NA,"B"
"64165601","Basel","he04_2","gain",2,25,24,1,0.67,2.42,0.69,1.73,2,1153,5585,0,1,0,0,"B"
"64165601","Basel","he04_6","gain",3,35,1,0.03,0,0,0.86,1.98,0,1313,663,1,0,1,0,"A"
"64165601","Basel","he04_1","gain",4,45,1,0.02,2.91,3.27,3,0,9,1212,4139,0,1,0,0,"B"
"64165601","Basel","he04_3","loss",5,13,2,0.17,-3,0,0,0,0,1419,800,0,1,1,NA,"B"
"64165601","Basel","he04_4","loss",6,15,1,0.07,-3,0,-4,0,0,1076,594,1,1,0,NA,"A"
"64165601","Basel","he04_2inv","loss",7,21,1,0.05,0,0,-0.8,2.74,3,1682,603,1,1,0,0,"A"
"64165601","Basel","he04_6inv","loss",8,5,0,0,-1.2,2.7,NA,NA,0,1147,722,0,NA,1,NA,"B"
"64165701","Basel","he04_1","gain",1,22,1,0.05,2.77,3.69,3,0,4,1458,3061,0,1,0,0,"B"
"64165701","Basel","he04_3","loss",2,13,1,0.08,-3,0,0,0,0,1300,849,0,1,1,NA,"B"
"64165701","Basel","he04_6inv","loss",3,19,2,0.11,0,0,0,0,0,1272,4072,0,NA,1,NA,"B"
"64165701","Basel","he04_5","gain",4,11,1,0.1,0,0,3,0,0,1262,1315,0,1,0,NA,"B"
"64165701","Basel","he04_2inv","loss",5,14,1,0.08,-0.86,2.14,-1.14,3.81,2,1276,736,1,1,0,0,"A"
"64165701","Basel","he04_6","gain",6,16,1,0.07,0,0,0.6,1.6,0,1399,1419,0,1,0,1,"B"
"64165701","Basel","he04_2","gain",7,18,1,0.06,0.89,3.11,2,2.25,2,1193,674,1,0,1,1,"A"
"64165701","Basel","he04_4","loss",8,24,1,0.04,-3,0,-3.71,1.14,1,1264,1132,1,1,0,0,"A"
"64166501","Basel","he04_3","loss",1,19,3,0.17,-3,0,-5.82,167.56,2,1102,2262,0,0,1,1,"B"
"64166501","Basel","he04_1","gain",2,21,3,0.15,3.73,1.07,3,0,1,1047,726,1,1,1,1,"A"
"64166501","Basel","he04_2","gain",3,24,2,0.09,0.73,2.62,0.23,0.69,2,1185,644,1,1,1,1,"A"
"64166501","Basel","he04_6inv","loss",4,30,1,0.03,-0.6,1.6,0,0,0,1067,295,0,1,1,0,"B"
"64166501","Basel","he04_4","loss",5,20,1,0.05,-3,0,-4,0,0,1106,366,1,1,0,NA,"A"
"64166501","Basel","he04_5","gain",6,20,1,0.05,0,0,3,0,0,1053,403,0,1,0,NA,"B"
"64166501","Basel","he04_6","gain",7,20,1,0.05,0,0,0.6,1.6,0,1112,398,0,1,0,1,"B"
"64166501","Basel","he04_2inv","loss",8,23,1,0.05,-0.69,1.73,0,0,0,1134,207,0,1,1,0,"B"
"64166701","Basel","he04_1","gain",1,4,3,1,4,0,3,0,0,1625,2440,1,1,1,NA,"A"
"64166701","Basel","he04_3","loss",2,4,3,1,-3,0,0,0,0,1559,2269,0,1,1,NA,"B"
"64166701","Basel","he04_2inv","loss",3,4,3,1,0,0,0,0,0,1371,641,0,NA,1,NA,"B"
"64166701","Basel","he04_5","gain",4,2,1,1,0,NA,3,NA,0,1208,883,0,1,0,NA,"B"
"64166701","Basel","he04_6inv","loss",5,3,2,1,0,0,0,NA,0,1195,440,1,NA,0,NA,"A"
"64166701","Basel","he04_2","gain",6,2,1,1,0,NA,0,NA,0,1312,1499,0,NA,0,NA,"B"
"64166701","Basel","he04_4","loss",7,2,1,1,-3,NA,-4,NA,0,1187,545,1,1,0,NA,"A"
"64166701","Basel","he04_6","gain",8,2,1,1,0,NA,0,NA,0,1221,514,0,NA,0,NA,"B"
"64167601","Basel","he04_2inv","loss",1,19,1,0.06,-0.27,0.82,-1,3.43,2,1079,596,1,1,0,0,"A"
"64167601","Basel","he04_2","gain",2,24,2,0.09,1.45,4.07,0.23,0.69,4,1128,503,1,1,1,1,"A"
"64167601","Basel","he04_3","loss",3,26,2,0.08,-3,0,-6.4,172.46,4,1111,511,0,0,1,1,"B"
"64167601","Basel","he04_6inv","loss",4,22,1,0.05,-0.82,1.96,0,0,0,1078,452,0,1,1,0,"B"
"64167601","Basel","he04_6","gain",5,21,1,0.05,0,0,0.82,1.96,0,1080,434,0,1,0,1,"B"
"64167601","Basel","he04_1","gain",6,20,1,0.05,3.64,1.45,3,0,1,1055,338,1,1,1,1,"A"
"64167601","Basel","he04_5","gain",7,23,2,0.09,2.67,85.33,3,0,1,1054,635,0,1,0,0,"B"
"64167601","Basel","he04_4","loss",8,20,1,0.05,-3,0,-4,0,0,1108,554,1,1,0,NA,"A"
"64167801","Basel","he04_1","gain",1,19,1,0.06,3,3.43,3,0,2,1388,1335,0,NA,0,0,"B"
"64167801","Basel","he04_2inv","loss",2,17,1,0.06,-1.5,2.57,-2.67,4,6,1432,966,1,1,0,0,"A"
"64167801","Basel","he04_4","loss",3,48,5,0.11,-3,0,-3.2,2.69,4,1389,746,0,0,1,1,"B"
"64167801","Basel","he04_6inv","loss",4,50,3,0.06,-0.75,1.76,-2.46,75.62,2,1217,626,0,0,1,1,"B"
"64167801","Basel","he04_5","gain",5,56,2,0.04,1.45,46.55,3,0,1,1194,625,0,1,0,0,"B"
"64167801","Basel","he04_2","gain",6,27,1,0.04,1.14,3.52,0.92,2.08,4,1405,620,0,0,0,0,"B"
"64167801","Basel","he04_6","gain",7,29,1,0.04,0,0,1.5,2.5,0,1171,686,0,1,0,1,"B"
"64167801","Basel","he04_3","loss",8,50,1,0.02,-3,0,-2.56,78.51,2,1265,510,0,1,1,1,"B"
"64167901","Basel","he04_6inv","loss",1,53,3,0.06,-0.89,1.95,0,0,0,1081,1613,0,1,1,0,"B"
"64167901","Basel","he04_3","loss",2,17,2,0.12,-3,0,-9.14,243.81,2,1156,1932,1,1,0,0,"A"
"64167901","Basel","he04_6","gain",3,23,1,0.05,0,0,0.82,1.96,0,1077,824,0,1,0,1,"B"
"64167901","Basel","he04_1","gain",4,11,1,0.1,3.33,2.67,3,0,1,1024,636,0,0,0,0,"B"
"64167901","Basel","he04_2inv","loss",5,24,1,0.04,-1.09,2.29,-0.92,3.08,3,1011,1006,1,0,0,0,"A"
"64167901","Basel","he04_5","gain",6,32,1,0.03,2.46,75.62,3,0,2,1253,598,0,1,0,0,"B"
"64167901","Basel","he04_4","loss",7,32,3,0.1,-3,0,-3.2,2.74,3,1015,444,0,0,1,1,"B"
"64167901","Basel","he04_2","gain",8,11,1,0.1,0.8,3.2,0.5,1.5,1,1164,498,1,1,1,1,"A"
"64168101","Basel","he04_6","gain",1,4,3,1,0,0,0,0,0,2902,6485,1,NA,1,NA,"A"
"64168101","Basel","he04_1","gain",2,39,10,0.26,2.89,3.4,3,0,5,1981,628,0,1,0,0,"B"
"64168101","Basel","he04_3","loss",3,71,53,0.76,-3,0,-1.64,51.13,2,1167,781,1,0,0,0,"A"
"64168101","Basel","he04_6inv","loss",4,55,13,0.24,-0.86,1.93,0,0,0,1310,656,0,1,1,0,"B"
"64168101","Basel","he04_2inv","loss",5,69,5,0.07,-1.29,2.27,-1.06,3.21,9,1363,784,0,1,1,1,"B"
"64168101","Basel","he04_4","loss",6,18,1,0.06,-3,0,-2.22,4.44,4,1471,852,0,1,1,1,"B"
"64168101","Basel","he04_2","gain",7,20,1,0.05,0.92,3.08,0.43,1.29,3,1434,499,1,1,1,1,"A"
"64168101","Basel","he04_5","gain",8,35,2,0.06,2.37,72.93,3,0,2,1374,601,1,0,1,1,"A"
"64169101","Basel","he04_1","gain",1,20,2,0.11,3.5,2,3,0,1,1158,1850,1,1,1,1,"A"
"64169101","Basel","he04_6inv","loss",2,27,2,0.08,-0.67,1.75,0,0,0,1086,729,0,1,1,0,"B"
"64169101","Basel","he04_2","gain",3,28,1,0.04,0.8,2.84,0.67,1.65,2,1083,1077,0,0,0,0,"B"
"64169101","Basel","he04_5","gain",4,18,1,0.06,2.46,78.77,3,0,1,1143,857,1,0,1,1,"A"
"64169101","Basel","he04_3","loss",5,20,1,0.05,-3,0,0,0,0,1143,705,0,1,1,NA,"B"
"64169101","Basel","he04_6","gain",6,17,1,0.06,0,0,1,2.25,0,1059,497,0,1,0,1,"B"
"64169101","Basel","he04_4","loss",7,16,1,0.07,-3,0,-3.43,2.29,1,1106,651,1,1,0,0,"A"
"64169101","Basel","he04_2inv","loss",8,19,1,0.06,-0.75,1.84,-0.57,2.29,1,1050,492,1,0,0,0,"A"
"64170001","Basel","he04_6","gain",1,34,1,0.03,0,0,0.4,1.11,0,1296,1201,0,1,0,1,"B"
"64170001","Basel","he04_1","gain",2,34,22,0.67,2.8,3.54,3,0,6,1238,738,0,1,0,0,"B"
"64170001","Basel","he04_3","loss",3,9,7,0.88,-3,0,0,0,0,1148,546,0,1,1,NA,"B"
"64170001","Basel","he04_4","loss",4,26,12,0.48,-3,0,-3.64,1.45,1,1251,1348,1,1,0,0,"A"
"64170001","Basel","he04_2inv","loss",5,30,1,0.03,-0.95,2.05,-1,3.43,2,1386,718,1,1,0,0,"A"
"64170001","Basel","he04_2","gain",6,10,1,0.11,1,4,1.5,2.7,1,1783,601,0,1,0,0,"B"
"64170001","Basel","he04_5","gain",7,52,3,0.06,5.52,151.33,3,0,5,1224,757,1,1,1,1,"A"
"64170001","Basel","he04_6inv","loss",8,22,1,0.05,-0.53,1.39,-6.4,204.8,1,1264,362,1,1,0,0,"A"
"64170601","Basel","he04_3","loss",1,44,4,0.09,-3,0,-5.93,160.46,5,1256,1892,0,0,1,1,"B"
"64170601","Basel","he04_6inv","loss",2,19,2,0.11,-1.71,2.57,-5.33,155.15,2,1174,6300,0,0,1,1,"B"
"64170601","Basel","he04_4","loss",3,37,2,0.06,-3,0,-3.45,1.97,3,1094,1621,1,1,0,0,"A"
"64170601","Basel","he04_2inv","loss",4,32,2,0.06,-0.35,0.99,-0.53,1.98,2,1175,954,1,1,0,0,"A"
"64170601","Basel","he04_6","gain",5,18,1,0.06,3.2,102.4,0.75,1.93,1,1245,633,0,0,0,0,"B"
"64170601","Basel","he04_1","gain",6,12,2,0.18,2.67,4.27,3,0,2,1285,873,0,1,0,0,"B"
"64170601","Basel","he04_2","gain",7,23,3,0.14,0.62,2.26,0.9,2.1,2,1244,512,0,1,0,0,"B"
"64170601","Basel","he04_5","gain",8,30,2,0.07,4.17,121.42,3,0,3,1373,724,0,0,0,0,"B"
"64171101","Basel","he04_2","gain",1,1,NA,NA,0,NA,NA,NA,0,1344,1812,0,NA,0,NA,"B"
"64171101","Basel","he04_5","gain",2,1,NA,NA,NA,NA,3,NA,0,2861,1341,1,NA,1,NA,"A"
"64171101","Basel","he04_6","gain",3,1,NA,NA,NA,NA,0,NA,0,1866,2376,1,NA,1,NA,"A"
"64171101","Basel","he04_6inv","loss",4,2,1,1,0,NA,0,NA,0,2321,3271,1,NA,0,NA,"A"
"64171101","Basel","he04_2inv","loss",5,1,NA,NA,-3,NA,NA,NA,0,1178,3360,0,NA,1,NA,"B"
"64171101","Basel","he04_4","loss",6,1,NA,NA,-3,NA,NA,NA,0,913,991,1,NA,0,NA,"A"
"64171101","Basel","he04_1","gain",7,1,NA,NA,NA,NA,3,NA,0,1030,1593,1,NA,1,NA,"A"
"64171101","Basel","he04_3","loss",8,1,NA,NA,-3,NA,NA,NA,0,1078,829,0,NA,1,NA,"B"
"64171601","Basel","he04_1","gain",1,31,19,0.63,3.53,1.76,3,0,2,1237,1155,1,1,1,1,"A"
"64171601","Basel","he04_5","gain",2,22,18,0.86,0,0,3,0,0,1128,849,0,1,0,NA,"B"
"64171601","Basel","he04_4","loss",3,7,2,0.33,-3,0,-4,0,0,2081,2862,1,1,0,NA,"A"
"64171601","Basel","he04_6inv","loss",4,9,1,0.12,-1,3,0,0,0,2007,1128,1,0,0,1,"A"
"64171601","Basel","he04_2inv","loss",5,6,2,0.4,0,0,0,0,0,1885,2729,0,NA,1,NA,"B"
"64171601","Basel","he04_6","gain",6,7,3,0.5,0,0,1,3,0,1897,842,0,1,0,1,"B"
"64171601","Basel","he04_3","loss",7,6,1,0.2,-3,0,0,0,0,1826,949,0,1,1,NA,"B"
"64171601","Basel","he04_2","gain",8,14,5,0.38,1.71,4.57,0.86,2.14,3,2148,868,1,1,1,1,"A"
"64171801","Basel","he04_6inv","loss",1,3,2,1,0,0,0,NA,0,1501,3879,1,NA,0,NA,"A"
"64171801","Basel","he04_2","gain",2,22,19,0.9,0.36,1.45,0.55,1.47,1,1182,2429,1,0,1,0,"A"
"64171801","Basel","he04_6","gain",3,23,21,0.95,0,0,0.5,1.36,0,1081,895,0,1,0,1,"B"
"64171801","Basel","he04_5","gain",4,18,17,1,3.56,113.78,3,0,1,1090,1257,0,0,0,0,"B"
"64171801","Basel","he04_3","loss",5,23,22,1,-3,0,-5.33,155.15,2,1079,655,0,0,1,1,"B"
"64171801","Basel","he04_1","gain",6,16,15,1,3.5,2,3,0,1,1008,785,1,1,1,1,"A"
"64171801","Basel","he04_2inv","loss",7,23,22,1,-1.25,2.39,-0.73,2.62,2,1095,449,0,1,1,1,"B"
"64171801","Basel","he04_4","loss",8,10,9,1,-3,0,-3.2,3.2,1,1021,447,1,1,0,0,"A"
"64172901","Basel","he04_2inv","loss",1,39,3,0.08,-1.07,2.23,-0.32,1.23,2,1300,853,0,1,1,0,"B"
"64172901","Basel","he04_5","gain",2,25,1,0.04,0,0,3,0,0,1308,844,0,1,0,NA,"B"
"64172901","Basel","he04_6","gain",3,17,1,0.06,0,0,2.14,2.14,0,1334,802,0,1,0,1,"B"
"64172901","Basel","he04_3","loss",4,15,1,0.07,-3,0,-9.14,243.81,2,1355,776,0,0,1,1,"B"
"64172901","Basel","he04_2","gain",5,15,1,0.07,0,0,1.29,2.57,0,1294,714,0,1,0,1,"B"
"64172901","Basel","he04_1","gain",6,13,1,0.08,2.29,4.57,3,0,3,1378,733,0,1,0,0,"B"
"64172901","Basel","he04_4","loss",7,18,2,0.12,-3,0,-4,0,0,1399,874,1,1,0,NA,"A"
"64172901","Basel","he04_6inv","loss",8,18,2,0.12,-0.5,1.36,-5.33,170.67,1,1262,723,1,1,0,0,"A"
"64173401","Basel","he04_6","gain",1,27,2,0.08,0,0,0.43,1.19,0,1140,890,0,1,0,1,"B"
"64173401","Basel","he04_3","loss",2,20,1,0.05,-3,0,0,0,0,1187,864,0,1,1,NA,"B"
"64173401","Basel","he04_1","gain",3,20,1,0.05,2.8,3.73,3,0,3,1462,862,1,0,1,1,"A"
"64173401","Basel","he04_2","gain",4,21,1,0.05,0.8,2.84,0.27,0.82,2,1299,579,1,1,1,1,"A"
"64173401","Basel","he04_2inv","loss",5,26,4,0.16,-0.5,1.36,-0.86,2.9,3,1302,768,1,1,0,0,"A"
"64173401","Basel","he04_4","loss",6,20,1,0.05,-3,0,-2.8,3.73,3,1221,543,0,1,1,1,"B"
"64173401","Basel","he04_6inv","loss",7,20,1,0.05,-1.2,2.4,-6.4,182.04,2,1257,668,1,1,0,0,"A"
"64173401","Basel","he04_5","gain",8,22,1,0.05,0,0,3,0,0,1339,571,0,1,0,NA,"B"
"64173601","Basel","he04_2","gain",1,32,2,0.06,0.71,2.47,0.2,0.6,3,1266,2382,1,1,1,1,"A"
"64173601","Basel","he04_6inv","loss",2,25,1,0.04,-0.55,1.47,-2.29,73.14,1,1168,2321,1,1,0,0,"A"
"64173601","Basel","he04_2inv","loss",3,33,1,0.03,-0.5,1.32,-1.07,3.35,4,1265,936,1,1,0,0,"A"
"64173601","Basel","he04_4","loss",4,60,12,0.2,-3,0,-2.89,3.4,5,1184,793,0,1,1,1,"B"
"64173601","Basel","he04_6","gain",5,50,2,0.04,0,0,0.82,1.87,0,1466,930,0,1,0,1,"B"
"64173601","Basel","he04_1","gain",6,22,1,0.05,2.5,4.29,3,0,3,1153,491,0,1,0,0,"B"
"64173601","Basel","he04_3","loss",7,30,2,0.07,-3,0,-2.91,93.09,1,1175,648,0,1,1,1,"B"
"64173601","Basel","he04_5","gain",8,17,1,0.06,3.2,102.4,3,0,1,1200,698,1,1,1,1,"A"
"64174501","Basel","he04_6","gain",1,22,1,0.05,2.91,93.09,1.91,2.29,1,1208,987,1,1,1,1,"A"
"64174501","Basel","he04_2","gain",2,15,1,0.07,2,5.33,0.82,1.96,2,1192,538,1,1,1,1,"A"
"64174501","Basel","he04_2inv","loss",3,39,1,0.03,-0.27,0.78,-0.94,3.06,4,1229,420,1,1,0,0,"A"
"64174501","Basel","he04_4","loss",4,23,7,0.32,-3,0,-3.71,1.14,1,1268,518,1,1,0,0,"A"
"64174501","Basel","he04_6inv","loss",5,27,1,0.04,-1,2.18,-2.13,68.27,1,1254,481,1,1,0,0,"A"
"64174501","Basel","he04_3","loss",6,24,1,0.04,-3,0,-1.88,60.24,1,1164,532,0,1,1,1,"B"
"64174501","Basel","he04_5","gain",7,17,1,0.06,2.91,93.09,3,0,1,1210,550,0,1,0,0,"B"
"64174501","Basel","he04_1","gain",8,14,1,0.08,3.33,2.67,3,0,1,1255,5593,0,0,0,0,"B"
"64174801","Basel","he04_1","gain",1,2,1,1,4,NA,3,NA,0,1344,770,1,1,1,NA,"A"
"64174801","Basel","he04_2inv","loss",2,4,3,1,0,0,0,0,0,1250,427,0,NA,1,NA,"B"
"64174801","Basel","he04_6inv","loss",3,2,1,1,0,NA,0,NA,0,1887,399,0,NA,1,NA,"B"
"64174801","Basel","he04_4","loss",4,4,2,0.67,-3,0,-4,0,0,1511,384,1,1,0,NA,"A"
"64174801","Basel","he04_2","gain",5,2,1,1,0,NA,0,NA,0,1584,460,1,NA,1,NA,"A"
"64174801","Basel","he04_3","loss",6,2,1,1,-3,NA,0,NA,0,1156,448,0,1,1,NA,"B"
"64174801","Basel","he04_5","gain",7,2,1,1,0,NA,3,NA,0,1176,442,0,1,0,NA,"B"
"64174801","Basel","he04_6","gain",8,2,1,1,0,NA,0,NA,0,1118,485,0,NA,0,NA,"B"
"64174901","Basel","he04_6inv","loss",1,17,8,0.5,-0.43,1.29,0,0,0,1430,1945,0,1,1,0,"B"
"64174901","Basel","he04_6","gain",2,16,6,0.4,4,128,1.5,2.57,1,1224,590,1,1,1,1,"A"
"64174901","Basel","he04_2inv","loss",3,31,6,0.2,-0.69,1.73,-0.44,1.67,2,1154,473,0,1,1,0,"B"
"64174901","Basel","he04_1","gain",4,29,8,0.29,3.2,2.74,3,0,3,1146,821,0,0,0,0,"B"
"64174901","Basel","he04_4","loss",5,26,6,0.24,-3,0,-3.6,1.6,1,1315,481,1,1,0,0,"A"
"64174901","Basel","he04_2","gain",6,16,6,0.4,1,3.43,0.75,1.93,2,1088,800,0,0,0,0,"B"
"64174901","Basel","he04_5","gain",7,19,2,0.11,5.82,167.56,3,0,2,1044,646,1,1,1,1,"A"
"64174901","Basel","he04_3","loss",8,11,2,0.2,-3,0,-8,256,1,1082,426,1,1,0,0,"A"
"64175001","Basel","he04_4","loss",1,15,2,0.14,-3,0,-3.2,3.2,1,1351,3520,0,0,1,1,"B"
"64175001","Basel","he04_2inv","loss",2,17,2,0.12,-0.86,2.14,-2,4.44,5,1063,622,1,1,0,0,"A"
"64175001","Basel","he04_1","gain",3,10,1,0.11,2,5.33,3,0,2,1061,705,0,1,0,0,"B"
"64175001","Basel","he04_6","gain",4,21,2,0.1,0,0,0.6,1.6,0,1028,486,0,1,0,1,"B"
"64175001","Basel","he04_3","loss",5,21,3,0.15,-3,0,0,0,0,1096,825,0,1,1,NA,"B"
"64175001","Basel","he04_6inv","loss",6,14,1,0.08,-0.6,1.8,-3.56,113.78,1,1147,454,1,1,0,0,"A"
"64175001","Basel","he04_2","gain",7,12,1,0.09,1.33,4.27,1,2.4,2,1069,446,1,1,1,1,"A"
"64175001","Basel","he04_5","gain",8,14,1,0.08,4.57,146.29,3,0,1,1053,524,0,0,0,0,"B"
"64175101","Basel","he04_2inv","loss",1,41,1,0.02,-0.72,1.71,-0.5,1.87,2,1192,1021,0,1,1,1,"B"
"64175101","Basel","he04_5","gain",2,30,1,0.03,8.53,214.55,3,0,4,1152,5463,0,0,0,0,"B"
"64175101","Basel","he04_6inv","loss",3,28,1,0.04,-0.94,2.06,0,0,0,1087,470,0,1,1,0,"B"
"64175101","Basel","he04_2","gain",4,29,1,0.04,1.25,3.67,0.46,1.27,5,1097,561,1,1,1,1,"A"
"64175101","Basel","he04_3","loss",5,19,1,0.06,-3,0,0,0,0,1097,506,0,1,1,NA,"B"
"64175101","Basel","he04_1","gain",6,21,1,0.05,4,0,3,0,0,1075,376,1,1,1,NA,"A"
"64175101","Basel","he04_4","loss",7,30,2,0.07,-3,0,-3.27,2.62,2,1069,743,0,0,1,1,"B"
"64175101","Basel","he04_6","gain",8,25,1,0.04,0,0,1,2.25,0,1119,797,0,1,0,1,"B"
"64176001","Basel","he04_5","gain",1,53,1,0.02,3.43,101.59,3,0,3,1532,1511,0,0,0,0,"B"
"64176001","Basel","he04_2inv","loss",2,42,2,0.05,-0.41,1.11,-1.4,3.83,7,1252,954,1,1,0,0,"A"
"64176001","Basel","he04_1","gain",3,36,1,0.03,3.2,2.74,3,0,3,1238,954,1,1,1,1,"A"
"64176001","Basel","he04_3","loss",4,26,2,0.08,-3,0,-2.91,88.66,2,1240,1153,0,1,1,1,"B"
"64176001","Basel","he04_4","loss",5,28,2,0.07,-3,0,-3.73,1.07,1,1152,845,1,1,0,0,"A"
"64176001","Basel","he04_2","gain",6,35,2,0.06,1,3.2,0.79,1.84,4,1242,1010,1,1,1,1,"A"
"64176001","Basel","he04_6inv","loss",7,47,2,0.04,-0.38,1.03,-1.39,44.52,1,1154,1081,1,1,0,0,"A"
"64176001","Basel","he04_6","gain",8,37,1,0.03,1.23,39.38,0.55,1.47,1,1196,988,0,0,0,0,"B"
"64176201","Basel","he04_5","gain",1,35,1,0.03,0,0,3,0,0,1285,1125,0,1,0,NA,"B"
"64176201","Basel","he04_6","gain",2,40,1,0.03,0,0,1.2,2.27,0,1215,635,0,1,0,1,"B"
"64176201","Basel","he04_1","gain",3,40,1,0.03,3.6,1.52,3,0,2,1313,597,0,0,0,0,"B"
"64176201","Basel","he04_3","loss",4,42,2,0.05,-3,0,-4.36,126.34,3,1155,621,0,0,1,1,"B"
"64176201","Basel","he04_4","loss",5,42,2,0.05,-3,0,-3.09,2.94,5,1364,526,0,0,1,1,"B"
"64176201","Basel","he04_2","gain",6,45,1,0.02,0.64,2.24,0.6,1.52,4,1262,642,1,1,1,1,"A"
"64176201","Basel","he04_6inv","loss",7,33,1,0.03,-0.92,2.08,0,0,0,1188,560,0,1,1,0,"B"
"64176201","Basel","he04_2inv","loss",8,40,1,0.03,-0.9,1.99,-0.4,1.52,2,1263,470,0,1,1,0,"B"
"64176401","Basel","he04_2inv","loss",1,14,5,0.38,-1.2,2.7,-1.33,4,3,1332,644,0,0,1,1,"B"
"64176401","Basel","he04_2","gain",2,10,5,0.56,0,0,0,0,0,1008,523,1,NA,1,NA,"A"
"64176401","Basel","he04_5","gain",3,6,3,0.6,0,0,3,0,0,1252,539,0,1,0,NA,"B"
"64176401","Basel","he04_4","loss",4,8,4,0.57,-3,0,-4,0,0,1085,620,1,1,0,NA,"A"
"64176401","Basel","he04_3","loss",5,20,5,0.26,-3,0,-5.82,167.56,2,1114,898,0,0,1,1,"B"
"64176401","Basel","he04_6inv","loss",6,6,5,1,-2,3,0,0,0,1121,872,0,1,1,0,"B"
"64176401","Basel","he04_1","gain",7,4,3,1,4,0,3,0,0,1152,1162,1,1,1,NA,"A"
"64176401","Basel","he04_6","gain",8,7,2,0.33,0,0,0,0,0,1161,408,1,NA,1,NA,"A"
"64176501","Basel","he04_5","gain",1,17,1,0.06,9.14,243.81,3,0,2,1270,622,0,0,0,0,"B"
"64176501","Basel","he04_2","gain",2,24,2,0.09,1.2,3.73,0.64,1.63,3,1123,634,1,1,1,1,"A"
"64176501","Basel","he04_6inv","loss",3,21,2,0.1,-0.6,1.8,0,0,0,1147,636,0,1,1,0,"B"
"64176501","Basel","he04_6","gain",4,24,6,0.26,0,0,0.6,1.6,0,1078,580,0,1,0,1,"B"
"64176501","Basel","he04_3","loss",5,9,2,0.25,-3,0,-10.67,341.33,1,1203,686,1,1,0,0,"A"
"64176501","Basel","he04_2inv","loss",6,22,3,0.14,0,0,-0.67,2.67,1,1146,677,1,1,0,0,"A"
"64176501","Basel","he04_1","gain",7,16,1,0.07,3,3.43,3,0,2,1128,645,1,NA,1,1,"A"
"64176501","Basel","he04_4","loss",8,14,1,0.08,-3,0,-3,4,1,1379,517,1,NA,0,0,"A"
"64176601","Basel","he04_1","gain",1,20,1,0.05,4,0,3,0,0,1392,718,1,1,1,NA,"A"
"64176601","Basel","he04_2inv","loss",2,38,3,0.08,-1,2.12,-1.2,3.54,6,1351,545,1,1,0,0,"A"
"64176601","Basel","he04_6","gain",3,21,2,0.1,0,0,0.6,1.6,0,1192,1078,0,1,0,1,"B"
"64176601","Basel","he04_3","loss",4,19,2,0.11,-3,0,0,0,0,1200,527,0,1,1,NA,"B"
"64176601","Basel","he04_5","gain",5,53,8,0.15,2.53,76.47,3,0,3,1145,25285,0,1,0,0,"B"
"64176601","Basel","he04_4","loss",6,26,4,0.16,-3,0,-4,0,0,1176,696,1,1,0,NA,"A"
"64176601","Basel","he04_2","gain",7,18,4,0.24,2,4.57,0.3,0.9,4,1127,515,1,1,1,1,"A"
"64176601","Basel","he04_6inv","loss",8,20,1,0.05,-0.6,1.6,-3.2,102.4,1,1130,528,1,1,0,0,"A"
"64176801","Basel","he04_6","gain",1,36,17,0.49,1.78,56.89,0.67,1.65,1,1413,951,1,1,1,1,"A"
"64176801","Basel","he04_2inv","loss",2,28,13,0.48,-1.29,2.37,-0.57,2.11,2,1208,1745,0,1,1,0,"B"
"64176801","Basel","he04_5","gain",3,12,5,0.45,16,307.2,3,0,3,1214,711,1,1,1,1,"A"
"64176801","Basel","he04_6inv","loss",4,28,13,0.48,-0.64,1.63,-4.57,135.03,2,1181,547,1,1,0,0,"A"
"64176801","Basel","he04_4","loss",5,16,7,0.47,-3,0,-3,3.43,2,1233,480,0,NA,1,1,"B"
"64176801","Basel","he04_3","loss",6,24,11,0.48,-3,0,-5.33,155.15,2,1187,5716,0,0,1,1,"B"
"64176801","Basel","he04_1","gain",7,12,5,0.45,2.67,4.27,3,0,2,1165,459,0,1,0,0,"B"
"64176801","Basel","he04_2","gain",8,64,31,0.49,0.62,2.18,0.47,1.22,5,1094,566,1,1,1,1,"A"
