Session	ID	d1	d2	d3	d4	d5	d6	d7	d8	d9	d10
11	15	1	1	1	1	0	1	0	0	0	0
11	32	1	1	1	1	1	0	0	0	0	0
9	13	1	0	0	1	1	0	1	0	1	1
9	1	1	1	1	1	0	0	0	0	0	0
6	1	1	1	1	1	0	0	0	0	0	0
1	37	1	0	1	0	1	0	1	0	1	0
4	16	1	1	1	1	0	0	0	0	0	0
4	17	1	1	1	1	1	0	0	0	0	0
6	12	1	1	1	1	1	1	0	0	0	0
10	28	1	1	1	1	1	1	0	0	0	0
5	10	1	1	1	1	1	1	0	0	0	0
8	19	1	1	1	1	0	0	0	0	0	0
8	5	1	1	1	1	1	1	1	0	0	0
6	13	1	1	1	1	1	0	0	0	0	0
4	29	1	1	1	1	1	1	1	1	1	0
7	1	1	1	1	1	1	0	0	0	0	0
6	27	1	1	1	0	0	0	0	0	0	0
11	29	1	1	1	0	0	0	0	0	0	0
3	19	1	1	1	1	1	0	0	0	0	0
10	30	1	1	1	1	1	0	0	0	0	0
11	37	1	1	0	0	0	0	0	0	0	0
10	11	1	1	1	0	0	0	0	0	0	0
11	34	1	1	1	1	1	1	1	0	0	0
6	9	1	1	1	1	1	1	0	0	0	0
5	21	1	1	1	1	1	1	0	0	0	0
1	35	0	0	0	0	0	0	0	0	0	0
1	22	1	1	1	1	1	0	0	0	0	0
6	2	1	1	1	1	0	0	0	0	0	0
8	7	1	1	1	1	0	0	0	0	0	0
2	34	1	1	0	0	0	1	0	0	0	0
4	20	1	1	1	1	0	0	0	0	0	0
8	17	0	0	0	0	0	0	0	0	0	0
4	12	1	1	1	1	1	0	0	0	0	0
9	7	1	1	1	1	1	0	0	0	0	0
10	26	0	1	1	0	1	0	0	0	1	0
11	10	1	1	1	0	0	0	0	0	0	0
3	21	1	1	1	0	0	0	0	0	0	0
7	24	1	1	1	1	1	0	0	0	0	0
10	9	1	1	1	1	1	1	1	0	0	0
2	30	0	0	0	1	1	1	1	1	1	1
7	21	1	1	1	1	0	0	0	0	0	0
4	14	1	1	0	0	1	0	0	1	0	1
2	14	1	1	1	1	1	1	1	0	0	0
1	20	1	1	1	1	0	0	0	0	0	0
2	27	1	1	1	1	1	0	0	0	0	0
7	19	1	1	1	1	1	1	1	0	0	0
7	16	1	1	1	1	1	1	1	0	0	0
10	2	1	1	1	1	1	1	0	0	0	0
8	8	1	1	0	0	0	0	0	0	0	0
1	11	1	1	1	1	0	0	0	0	0	0
10	15	1	1	0	1	0	0	0	0	0	0
10	24	1	1	1	1	1	1	1	0	0	0
1	46	1	1	1	1	1	0	0	0	0	0
1	36	0	0	0	0	0	0	0	0	0	0
10	10	1	1	1	1	1	1	0	0	0	0
3	4	1	0	1	0	1	0	0	0	0	0
6	3	1	1	1	1	1	1	1	0	0	0
4	4	1	1	1	1	0	0	0	0	0	0
4	30	1	1	1	1	0	0	0	0	0	0
2	17	1	1	1	0	0	0	0	0	0	0
2	8	1	1	1	1	1	0	0	0	0	0
1	41	1	1	1	0	0	0	0	0	0	0
8	4	1	1	1	1	1	1	0	0	0	0
1	5	1	1	1	1	1	1	0	0	0	0
11	12	1	1	1	1	0	0	0	0	0	0
8	23	1	1	1	1	1	1	0	0	0	0
2	16	1	1	1	0	0	0	0	0	0	0
9	29	1	1	0	0	0	0	0	0	0	0
1	31	1	1	1	1	1	0	0	0	0	0
8	13	1	1	1	1	1	0	0	0	0	0
3	2	1	1	1	1	1	0	0	0	0	0
11	13	1	1	1	1	1	1	1	0	0	0
1	16	1	1	1	1	1	1	1	0	0	0
3	22	1	1	1	1	1	1	1	0	0	0
5	32	1	1	1	0	0	1	0	1	0	0
5	20	1	1	1	1	1	1	1	1	1	0
4	7	1	1	1	0	0	1	0	0	0	0
2	29	1	0	0	0	0	0	0	0	0	0
1	17	1	1	1	0	0	0	0	0	0	0
9	11	1	1	1	1	1	1	0	0	0	0
6	16	1	1	1	0	0	0	0	0	0	0
3	27	1	1	1	0	0	1	1	1	1	1
3	7	1	1	1	1	0	0	0	0	0	0
5	33	1	1	1	1	1	1	1	0	0	0
6	7	1	1	1	1	0	1	1	1	0	0
1	30	1	1	1	1	0	0	0	0	0	0
1	40	1	1	1	0	0	0	0	0	0	0
5	22	0	0	0	0	0	0	0	0	0	0
1	38	1	1	1	1	1	1	1	1	1	0
10	27	1	1	1	1	1	0	0	0	0	0
10	17	1	1	1	1	1	1	1	0	0	0
5	23	1	1	1	1	1	0	0	0	0	0
5	7	1	1	1	1	0	0	0	0	0	0
2	11	1	1	1	1	1	1	0	0	0	0
11	2	1	1	1	0	0	0	0	0	0	0
9	16	1	1	1	1	1	1	1	0	0	0
1	32	1	1	1	1	1	1	0	0	0	0
11	41	1	1	1	1	1	0	0	0	0	0
6	25	1	1	1	0	0	0	0	0	0	0
2	18	1	1	1	0	0	0	0	0	0	0
1	39	1	1	1	1	0	1	1	1	0	0
9	10	1	1	1	1	1	1	1	0	0	0
1	13	1	1	1	0	0	0	0	0	0	0
7	15	*	*	*	*	*	*	*	*	*	*
1	8	1	1	1	0	0	0	0	0	0	0
7	30	1	1	1	1	1	0	0	0	0	0
3	8	1	1	1	1	0	0	0	0	0	0
4	26	1	1	1	1	0	0	0	0	0	0
7	5	1	1	1	1	1	0	0	0	0	0
2	12	1	0	1	1	1	0	1	0	1	1
6	26	1	1	1	1	1	0	0	0	0	0
4	25	1	1	1	1	1	1	0	0	0	0
7	29	1	1	1	1	1	1	0	0	0	0
11	38	1	1	1	1	1	0	0	0	0	0
3	14	1	1	1	1	1	1	0	0	0	0
1	12	1	1	1	0	0	0	0	0	0	0
7	2	1	1	1	1	0	0	0	0	0	0
6	20	0	1	0	0	1	0	1	1	0	1
1	14	1	1	1	1	1	0	0	0	0	0
1	25	1	0	1	0	1	0	1	0	1	0
3	9	0	0	0	0	0	0	0	0	0	0
9	4	1	1	1	1	1	1	1	0	0	0
7	23	1	1	1	1	1	1	1	0	0	0
2	6	1	1	1	1	1	1	0	0	0	0
5	2	1	1	1	1	1	0	0	0	0	0
5	30	1	1	1	1	1	1	1	1	0	0
7	12	1	1	1	1	1	1	1	0	0	0
4	32	1	1	1	1	1	0	0	0	0	0
10	1	1	1	0	0	0	0	0	0	0	0
1	29	1	1	1	1	1	0	0	0	0	0
3	12	1	1	1	1	1	1	1	1	0	0
7	6	1	1	1	1	1	1	0	0	0	0
3	6	1	1	1	1	1	0	0	0	0	0
1	7	1	1	1	0	0	0	0	0	0	0
9	14	1	1	1	1	1	0	0	0	0	0
1	10	1	1	1	1	1	0	0	0	0	0
7	31	1	1	1	0	0	0	0	0	0	0
9	20	1	1	1	1	1	1	0	0	0	0
9	5	1	1	1	1	1	1	1	0	0	0
10	19	1	1	1	0	0	0	0	0	0	0
11	5	1	1	1	1	1	1	1	1	0	0
6	10	1	1	1	1	1	1	0	0	0	0
1	28	1	1	1	1	1	1	1	0	0	0
1	33	1	1	1	1	1	1	1	0	0	0
7	20	1	1	1	1	1	1	1	0	0	0
11	40	1	1	1	1	1	1	1	1	0	0
7	14	1	1	1	1	1	0	0	0	0	0
9	3	1	1	1	1	1	1	1	0	0	0
7	9	1	1	1	0	0	0	0	0	0	0
1	4	1	1	1	1	1	1	1	0	0	0
2	32	0	0	0	0	0	0	0	0	0	0
10	12	1	1	1	1	0	0	0	0	0	0
2	35	1	1	1	1	0	0	0	0	0	0
5	15	1	1	1	1	1	1	0	0	0	0
5	24	1	1	0	0	0	0	0	0	0	0
10	6	1	1	1	0	0	1	0	1	0	0
11	14	1	1	1	1	1	1	1	0	0	0
4	27	1	1	1	1	1	1	0	0	0	0
5	6	1	1	1	1	1	1	1	0	0	0
11	21	1	1	1	1	1	1	0	0	0	0
8	12	1	1	1	0	0	0	0	0	0	0
2	7	1	1	1	1	1	1	1	0	0	0
4	13	1	1	1	1	1	1	0	0	0	0
6	19	1	1	1	1	1	1	0	1	0	0
6	8	1	1	1	1	1	1	0	0	0	0
9	15	1	1	1	1	1	0	0	0	0	0
6	31	1	1	1	1	1	1	1	1	1	0
7	13	1	1	1	1	0	0	0	0	0	0
11	22	1	1	1	1	1	1	0	0	0	0
2	3	1	1	1	1	1	1	1	0	0	0
8	20	1	1	1	1	0	0	0	0	0	0
3	25	1	1	1	1	1	1	0	0	0	0
7	7	1	1	1	1	1	1	0	0	0	0
5	27	1	1	1	1	1	0	0	0	0	0
5	26	1	1	1	1	1	1	0	0	0	0
3	24	1	1	1	1	1	1	0	0	0	0
9	8	1	1	1	1	1	0	0	0	0	0
1	27	1	1	1	1	0	0	0	0	0	0
7	4	1	1	1	0	0	0	0	0	0	0
8	10	1	0	1	1	0	0	0	0	0	0
11	3	1	1	1	1	1	1	0	0	0	0
11	9	1	1	1	1	1	1	1	1	1	0
8	21	1	1	1	1	1	0	0	0	0	0
1	2	1	1	1	1	0	0	0	0	0	0
4	31	*	*	*	*	*	*	*	*	*	*
4	33	0	1	1	0	1	1	1	1	0	1
7	8	1	1	1	1	1	1	0	0	0	0
5	18	1	1	1	1	1	1	1	0	0	0
11	19	0	1	1	0	0	1	1	0	1	0
11	18	1	1	1	1	1	0	0	0	0	0
11	4	1	1	0	1	0	1	0	0	1	1
2	22	1	1	1	1	0	0	0	0	0	0
8	24	1	1	1	1	1	1	1	1	0	0
4	10	1	1	1	1	0	0	0	0	0	0
4	3	1	1	1	1	1	0	0	0	0	0
8	11	1	1	1	1	1	0	0	0	0	0
1	6	1	1	1	1	1	1	0	0	0	0
10	20	1	1	1	1	1	1	1	0	0	0
7	25	0	0	0	0	0	0	0	0	0	0
2	36	1	1	1	1	1	0	1	0	0	0
6	4	*	*	*	*	*	*	*	*	*	*
5	9	1	1	1	1	1	0	0	0	0	0
11	44	1	1	1	1	1	1	1	0	0	0
1	44	1	1	1	1	0	0	0	0	0	0
