bibkey,paper,task,subject,age,gender,choice,r
Fairley2019,Fairley and Parelman 2019,BERP,39,22,0,13.755,0.8467220683287167
Fairley2019,Fairley and Parelman 2019,BART,39,22,0,17.231,1.3494400501213881
Fairley2019,Fairley and Parelman 2019,BERP,40,25,0,17.406,0.7703815172169601
Fairley2019,Fairley and Parelman 2019,BART,40,25,0,20,1
Fairley2019,Fairley and Parelman 2019,BART,41,20,0,27,0.3698630136986301
Fairley2019,Fairley and Parelman 2019,BERP,41,20,0,49.943,0.997722596240286
Fairley2019,Fairley and Parelman 2019,BERP,42,19,0,41.328,2.213367609254499
Fairley2019,Fairley and Parelman 2019,BART,42,19,0,34.429,1.3464080403582184
Fairley2019,Fairley and Parelman 2019,BERP,43,19,0,10.125,2.076923076923077
Fairley2019,Fairley and Parelman 2019,BART,43,19,0,10.615,2.4207525655644244
Fairley2019,Fairley and Parelman 2019,BERP,44,25,1,32,1
Fairley2019,Fairley and Parelman 2019,BART,44,25,1,32.727,1.0464937805774948
Fairley2019,Fairley and Parelman 2019,BART,45,20,0,40.625,0.6842105263157895
Fairley2019,Fairley and Parelman 2019,BERP,45,20,0,73.152,2.724672228843862
Fairley2019,Fairley and Parelman 2019,BERP,46,20,1,37.5,1
Fairley2019,Fairley and Parelman 2019,BART,46,20,1,41.111,1.213107498008203
Fairley2019,Fairley and Parelman 2019,BART,47,19,1,28.333,0.894716897716866
Fairley2019,Fairley and Parelman 2019,BERP,47,19,1,27.454,0.8435445216001967
Fairley2019,Fairley and Parelman 2019,BERP,48,19,0,48.351,0.9361459079556235
Fairley2019,Fairley and Parelman 2019,BART,48,19,0,32.857,0.4893585332797164
Fairley2019,Fairley and Parelman 2019,BART,49,20,1,24.8,0.7045454545454545
Fairley2019,Fairley and Parelman 2019,BERP,49,20,1,29.31,0.9550342130987292
Fairley2019,Fairley and Parelman 2019,BERP,50,20,0,32.366,0.8600201945049689
Fairley2019,Fairley and Parelman 2019,BART,50,20,0,35.714,1.041649652919559
Fairley2019,Fairley and Parelman 2019,BART,51,18,0,30.667,0.8932222642938282
Fairley2019,Fairley and Parelman 2019,BERP,51,18,0,35.171,1.1790874652184116
Fairley2019,Fairley and Parelman 2019,BERP,52,24,0,69.446,125.35379061371795
Fairley2019,Fairley and Parelman 2019,BART,52,24,0,22.636,0.47791571657799164
Fairley2019,Fairley and Parelman 2019,BERP,53,18,1,32.443,1.1773052219036904
Fairley2019,Fairley and Parelman 2019,BART,53,18,1,46.833,3.5568466621098196
Fairley2019,Fairley and Parelman 2019,BART,54,21,1,20.333,0.4265634506052405
Fairley2019,Fairley and Parelman 2019,BERP,54,21,1,40.152,1.4418270611893136
Fairley2019,Fairley and Parelman 2019,BART,55,20,1,28.4,0.6826923076923076
Fairley2019,Fairley and Parelman 2019,BERP,55,20,1,36.614,1.0966872341700111
Fairley2019,Fairley and Parelman 2019,BERP,56,21,0,40.235,1.6246719160104985
Fairley2019,Fairley and Parelman 2019,BART,56,21,0,30.5,0.8840579710144928
Fairley2019,Fairley and Parelman 2019,BERP,57,19,0,35.7,1.0408163265306125
Fairley2019,Fairley and Parelman 2019,BART,57,19,0,34.182,0.9543246412418338
Fairley2019,Fairley and Parelman 2019,BART,58,23,0,38.667,1.1600216002160022
Fairley2019,Fairley and Parelman 2019,BERP,58,23,0,37.783,1.1042172019756262
Fairley2019,Fairley and Parelman 2019,BERP,59,18,1,8.8221,0.2142435626877524
Fairley2019,Fairley and Parelman 2019,BART,59,18,1,25,1
Fairley2019,Fairley and Parelman 2019,BERP,60,26,0,36.476,1.0880563178618303
Fairley2019,Fairley and Parelman 2019,BART,60,26,0,41.571,1.4622744380737978
Fairley2019,Fairley and Parelman 2019,BART,61,25,1,36,1.0588235294117647
Fairley2019,Fairley and Parelman 2019,BERP,61,25,1,33.337,0.9092818372746367
Fairley2019,Fairley and Parelman 2019,BERP,62,18,0,26.244,0.7774617845716317
Fairley2019,Fairley and Parelman 2019,BART,62,18,0,32.455,1.1782537665638046
Fairley2019,Fairley and Parelman 2019,BERP,63,24,0,23.131,0.8608805686851018
Fairley2019,Fairley and Parelman 2019,BART,63,24,0,24.5,0.9607843137254902
Fairley2019,Fairley and Parelman 2019,BERP,64,23,0,33.835,1.1216641803414553
Fairley2019,Fairley and Parelman 2019,BART,64,23,0,22.714,0.550162282613961
Fairley2019,Fairley and Parelman 2019,BART,65,20,1,33.286,1.0837403138633848
Fairley2019,Fairley and Parelman 2019,BERP,65,20,1,33.107,1.0716667206163208
Fairley2019,Fairley and Parelman 2019,BERP,66,24,0,25.216,1.0174306003873468
Fairley2019,Fairley and Parelman 2019,BART,66,24,0,24.444,0.9564877132571606
Fairley2019,Fairley and Parelman 2019,BART,67,19,1,19.222,0.34461615690774144
Fairley2019,Fairley and Parelman 2019,BERP,67,19,1,36.473,0.9466867391699327
Fairley2019,Fairley and Parelman 2019,BERP,68,18,1,33.041,0.8939906382748449
Fairley2019,Fairley and Parelman 2019,BART,68,18,1,26.455,0.6075324377081179
Fairley2019,Fairley and Parelman 2019,BART,69,21,1,17.167,0.20724831890671594
Fairley2019,Fairley and Parelman 2019,BERP,69,21,1,43.184,0.7600675865953251
