"partid","location","gamble_lab","domain","gamble_ind","rt_decision","H","R","decision"
64021901,"Basel","he04_3","loss",8,5442,0,1,"B"
64022901,"Basel","he04_2inv","loss",1,7646,0,1,"B"
64022901,"Basel","he04_6","gain",2,4148,0,0,"B"
64022901,"Basel","he04_4","loss",3,3908,0,1,"B"
64022901,"Basel","he04_5","gain",4,2648,0,0,"B"
64022901,"Basel","he04_1","gain",5,2345,1,1,"A"
64022901,"Basel","he04_6inv","loss",6,3396,0,1,"B"
64022901,"Basel","he04_2","gain",7,7974,1,1,"A"
64022901,"Basel","he04_3","loss",8,6802,1,0,"A"
64025601,"Basel","he04_4","loss",1,10740,0,1,"B"
64025601,"Basel","he04_2","gain",2,8101,0,0,"B"
64025601,"Basel","he04_1","gain",3,6116,0,0,"B"
64025601,"Basel","he04_2inv","loss",4,12580,0,1,"B"
64025601,"Basel","he04_6","gain",5,8246,0,0,"B"
64025601,"Basel","he04_3","loss",6,6329,1,0,"A"
64025601,"Basel","he04_6inv","loss",7,8214,0,1,"B"
64025601,"Basel","he04_5","gain",8,6556,1,1,"A"
64026901,"Basel","he04_1","gain",1,6573,0,0,"B"
64026901,"Basel","he04_4","loss",2,11077,0,1,"B"
64026901,"Basel","he04_5","gain",3,5643,1,1,"A"
64026901,"Basel","he04_6","gain",4,7861,1,1,"A"
64026901,"Basel","he04_2inv","loss",5,4602,0,1,"B"
64026901,"Basel","he04_2","gain",6,3758,1,1,"A"
64026901,"Basel","he04_6inv","loss",7,3530,1,0,"A"
64026901,"Basel","he04_3","loss",8,3784,1,0,"A"
64027801,"Basel","he04_6","gain",1,11730,0,0,"B"
64027801,"Basel","he04_1","gain",2,3210,0,0,"B"
64027801,"Basel","he04_3","loss",3,9567,0,1,"B"
64027801,"Basel","he04_2inv","loss",4,12491,0,1,"B"
64027801,"Basel","he04_5","gain",5,6758,0,0,"B"
64027801,"Basel","he04_6inv","loss",6,11761,0,1,"B"
64027801,"Basel","he04_4","loss",7,14269,1,0,"A"
64027801,"Basel","he04_2","gain",8,4294,1,1,"A"
64029901,"Basel","he04_4","loss",1,6792,0,1,"B"
64029901,"Basel","he04_2inv","loss",2,14395,0,1,"B"
64029901,"Basel","he04_1","gain",3,6874,0,0,"B"
64029901,"Basel","he04_2","gain",4,6991,1,1,"A"
64029901,"Basel","he04_6","gain",5,3006,0,0,"B"
64029901,"Basel","he04_3","loss",6,1471,1,0,"A"
64029901,"Basel","he04_6inv","loss",7,10168,0,1,"B"
64029901,"Basel","he04_5","gain",8,6768,0,0,"B"
64031301,"Basel","he04_4","loss",1,18556,1,0,"A"
64031301,"Basel","he04_6","gain",2,17015,0,0,"B"
64031301,"Basel","he04_2inv","loss",3,12322,0,1,"B"
64031301,"Basel","he04_1","gain",4,13576,0,0,"B"
64031301,"Basel","he04_3","loss",5,17050,0,1,"B"
64031301,"Basel","he04_5","gain",6,8687,0,0,"B"
64031301,"Basel","he04_2","gain",7,8607,0,0,"B"
64031301,"Basel","he04_6inv","loss",8,12477,1,0,"A"
64034901,"Basel","he04_6","gain",1,12381,0,0,"B"
64034901,"Basel","he04_6inv","loss",2,9942,0,1,"B"
64034901,"Basel","he04_2","gain",3,8171,0,0,"B"
64034901,"Basel","he04_1","gain",4,3520,0,0,"B"
64034901,"Basel","he04_3","loss",5,7189,1,0,"A"
64034901,"Basel","he04_5","gain",6,3175,1,1,"A"
64034901,"Basel","he04_4","loss",7,7332,0,1,"B"
64034901,"Basel","he04_2inv","loss",8,13235,0,1,"B"
64036201,"Basel","he04_3","loss",1,5875,1,0,"A"
64036201,"Basel","he04_6","gain",2,10811,1,1,"A"
64036201,"Basel","he04_2","gain",3,4414,1,1,"A"
64036201,"Basel","he04_6inv","loss",4,7874,1,0,"A"
64036201,"Basel","he04_4","loss",5,4866,0,1,"B"
64036201,"Basel","he04_1","gain",6,5251,0,0,"B"
64036201,"Basel","he04_5","gain",7,3220,1,1,"A"
64036201,"Basel","he04_2inv","loss",8,6929,0,1,"B"
64036701,"Basel","he04_1","gain",1,3877,0,0,"B"
64036701,"Basel","he04_3","loss",2,4745,0,1,"B"
64036701,"Basel","he04_6","gain",3,6408,0,0,"B"
64036701,"Basel","he04_6inv","loss",4,4894,0,1,"B"
64036701,"Basel","he04_2inv","loss",5,3377,0,1,"B"
64036701,"Basel","he04_5","gain",6,1953,0,0,"B"
64036701,"Basel","he04_4","loss",7,2642,0,1,"B"
64036701,"Basel","he04_2","gain",8,4769,0,0,"B"
64037701,"Basel","he04_2inv","loss",1,9718,0,1,"B"
64037701,"Basel","he04_1","gain",2,9374,0,0,"B"
64037701,"Basel","he04_4","loss",3,7019,0,1,"B"
64037701,"Basel","he04_6","gain",4,22067,0,0,"B"
64037701,"Basel","he04_6inv","loss",5,9623,1,0,"A"
64037701,"Basel","he04_3","loss",6,25788,0,1,"B"
64037701,"Basel","he04_2","gain",7,9003,1,1,"A"
64037701,"Basel","he04_5","gain",8,12113,0,0,"B"
64039601,"Basel","he04_3","loss",1,22789,1,0,"A"
64039601,"Basel","he04_4","loss",2,19799,0,1,"B"
64039601,"Basel","he04_5","gain",3,17461,1,1,"A"
64039601,"Basel","he04_2inv","loss",4,24659,1,0,"A"
64039601,"Basel","he04_1","gain",5,11979,0,0,"B"
64039601,"Basel","he04_6inv","loss",6,15422,1,0,"A"
64039601,"Basel","he04_2","gain",7,8553,1,1,"A"
64039601,"Basel","he04_6","gain",8,9079,1,1,"A"
64042701,"Basel","he04_4","loss",1,7932,0,1,"B"
64042701,"Basel","he04_5","gain",2,5003,1,1,"A"
64042701,"Basel","he04_6inv","loss",3,12530,1,0,"A"
64042701,"Basel","he04_1","gain",4,5001,1,1,"A"
64042701,"Basel","he04_2","gain",5,8116,0,0,"B"
64042701,"Basel","he04_6","gain",6,6041,0,0,"B"
64042701,"Basel","he04_2inv","loss",7,5466,0,1,"B"
64042701,"Basel","he04_3","loss",8,4389,1,0,"A"
64046301,"Basel","he04_3","loss",1,8636,0,1,"B"
64046301,"Basel","he04_6","gain",2,8762,0,0,"B"
64046301,"Basel","he04_6inv","loss",3,14981,1,0,"A"
64046301,"Basel","he04_5","gain",4,5437,0,0,"B"
64046301,"Basel","he04_4","loss",5,12225,1,0,"A"
64046301,"Basel","he04_1","gain",6,4686,0,0,"B"
64046301,"Basel","he04_2","gain",7,12605,1,1,"A"
64046301,"Basel","he04_2inv","loss",8,5556,0,1,"B"
64047801,"Basel","he04_4","loss",1,15163,1,0,"A"
64047801,"Basel","he04_2","gain",2,6404,1,1,"A"
64047801,"Basel","he04_6","gain",3,15108,0,0,"B"
64047801,"Basel","he04_5","gain",4,4934,0,0,"B"
64047801,"Basel","he04_2inv","loss",5,11188,0,1,"B"
64047801,"Basel","he04_3","loss",6,10832,0,1,"B"
64047801,"Basel","he04_1","gain",7,3511,0,0,"B"
64047801,"Basel","he04_6inv","loss",8,8930,1,0,"A"
64049601,"Basel","he04_6inv","loss",1,22095,1,0,"A"
64049601,"Basel","he04_3","loss",2,24472,1,0,"A"
64049601,"Basel","he04_2","gain",3,15211,1,1,"A"
64049601,"Basel","he04_5","gain",4,4028,1,1,"A"
