"partid","NEO_A","NEO_C","NEO_E","NEO_N","NEO_O","STAI_trait","t_diff"
64144501,33,24,26,17,42,37,63590400
64144601,32,33,32,17,29,34,79311600
64146301,38,32,40,19,32,28,82076400
64146901,28,16,37,12,25,34,79311600
64148301,38,28,29,23,22,41,38185200
64148601,28,36,37,24,24,30,46479600
64148801,19,27,18,28,34,45,37494000
64149401,25,25,36,26,23,39,39740400
64149901,33,27,26,19,38,42,70066800
64150101,30,44,27,25,37,58,61430400
64150401,27,24,29,13,26,32,34732800
64151401,35,32,30,11,36,33,83293200
64152701,31,22,30,16,35,31,34128000
64153601,35,19,14,20,36,40,70329600
64153801,37,29,25,21,34,31,66355200
64154201,27,28,22,29,28,52,33264000
64154401,29,41,34,12,22,27,31708800
64154501,38,30,34,20,32,33,31104000
64154901,33,37,28,27,25,46,28944000
64155101,36,37,24,33,25,53,28512000
64155301,24,20,31,24,31,42,28684800
64156501,29,30,23,28,20,47,74217600
64156901,33,32,19,32,37,46,44154000
64157801,36,28,29,21,40,39,23587200
64158001,27,32,25,19,27,36,20390400
64158201,26,40,37,2,43,26,56160000
64159301,35,32,31,22,27,35,66009600
64160101,32,33,24,29,35,50,42944400
64161401,25,23,15,34,27,52,66186000
64161601,30,26,31,24,25,42,32227200
64162001,39,24,31,15,42,33,32054400
64162701,34,26,33,16,29,36,26697600
64163801,21,33,22,21,30,39,33350400
64164801,36,38,28,22,28,40,32745600
64165001,22,43,31,27,34,47,29026800
64165601,35,39,36,8,28,27,38102400
64165701,35,39,35,12,32,27,25484400
64166501,31,34,35,23,21,36,27990000
64166701,26,23,30,16,39,42,28681200
64167601,34,29,28,12,37,30,37411200
64167801,39,26,25,10,39,26,37411200
64167901,24,31,29,10,31,28,27212400
64168101,40,40,36,10,32,36,26611200
64169101,40,33,29,23,28,38,34387200
64170001,27,33,29,17,19,33,39222000
64170601,30,36,23,13,30,37,22550400
64171101,29,33,30,31,25,26,24883200
64171601,34,32,19,18,30,42,21772800
64171801,33,39,26,24,27,36,18918000
64172901,32,34,40,15,20,32,37753200
64173401,31,36,31,19,27,32,30240000
64173601,28,20,32,18,28,39,57283200
64174501,42,24,36,25,33,28,48294000
64174801,30,31,26,25,30,45,48466800
64174901,35,19,33,24,31,43,44924400
64175001,37,26,30,23,30,37,25488000
64175101,41,28,33,19,37,32,22032000
64176001,33,29,23,24,40,35,37152000
64176201,37,34,35,15,31,29,30416400
64176401,31,32,37,9,30,29,30931200
64176501,36,24,26,21,43,31,34041600
64176601,35,30,22,6,43,32,28684800
64176801,32,33,36,28,31,46,53744400
64177901,19,24,20,31,31,55,26614800
64178801,28,35,30,16,33,34,42422400
64179101,33,35,39,14,28,29,33955200
64179301,44,38,36,16,39,34,26784000
64179701,32,30,39,19,33,38,29894400
64180001,37,36,34,10,28,27,41644800
64180601,33,31,31,10,25,27,25574400
64181101,39,35,21,14,28,32,21862800
64181301,32,37,25,26,20,34,28598400
64181801,27,31,22,17,38,37,20566800
64181901,13,37,30,14,32,41,18666000
64182001,30,21,23,18,22,45,29721600
64182201,33,39,25,21,32,34,23760000
64182301,28,32,31,13,30,39,23760000
64182501,34,37,34,17,28,34,22554000
64182701,34,29,23,31,31,45,36374400
64182801,40,33,35,26,22,40,23328000
64183001,36,33,29,13,31,32,18838800
64183101,33,31,30,20,23,38,29548800
64183201,36,36,21,18,30,41,53308800
64183301,37,19,32,18,22,37,26784000
64183501,40,35,34,14,20,29,26784000
64184101,22,32,29,27,26,49,21427200
64184701,21,36,32,28,34,39,23068800
64184901,26,24,21,20,13,28,26006400
64185101,23,31,20,32,27,53,21340800
64186001,41,41,38,18,37,36,20044800
64186401,31,35,19,24,35,46,20304000
64186801,32,37,39,13,32,35,21254400
64187001,37,26,36,21,42,36,16938000
64187101,27,43,27,8,41,35,16938000
64187301,33,27,28,18,36,40,31708800
64188401,41,37,29,8,26,27,20131200
64188901,33,22,37,23,45,31,30758400
64189101,37,35,30,20,31,39,17625600
64189201,32,36,39,19,34,46,28512000
64190101,36,38,35,17,34,32,20563200
64190201,28,39,29,40,29,64,23846400
64190401,38,19,24,29,33,43,26611200
64190501,30,21,14,24,31,59,16848000
64191901,30,32,27,25,26,43,20732400
64192101,35,29,22,22,24,37,17535600
64192801,30,44,37,23,30,42,41558400
64193501,35,40,23,22,36,43,30931200
64193601,31,28,32,15,36,36,23670000
64194201,37,30,24,7,37,26,19954800
64194501,28,19,29,23,45,39,22633200
64194701,31,20,15,22,35,46,27302400
64195101,28,23,26,22,27,48,19004400
64195201,37,42,30,11,31,32,22892400
64195501,39,19,38,29,41,43,26524800
64195601,31,30,28,17,39,36,36979200
64196601,31,35,14,32,35,59,25488000
64196701,31,22,33,26,37,44,26006400
64197801,34,24,33,12,35,20,33264000
64198101,24,29,29,32,29,52,33264000
64198701,30,16,29,24,35,30,30326400
64199201,36,33,36,14,33,36,23500800
64199301,22,25,15,31,26,52,21340800
64199601,29,28,22,15,26,29,18226800
64200501,25,20,35,34,41,56,20563200
64200601,35,44,33,10,37,26,31968000
64200901,36,32,34,11,40,33,17017200
64202001,36,28,29,23,34,34,27133200
64202201,41,39,37,4,31,22,18147600
64202501,NA,25,28,23,NA,41,26010000
64202601,38,25,24,29,38,40,30070800
64202701,36,39,37,12,36,42,26528400
64202901,14,15,20,21,20,47,24282000
64204201,23,23,38,35,41,49,21949200
64204501,23,11,22,24,35,49,27219600
64204601,32,35,21,28,23,51,20566800
64204701,34,40,41,5,32,22,22640400
64205801,NA,NA,NA,NA,NA,34,22467600
64205901,NA,NA,NA,NA,NA,23,24886800
64206701,NA,NA,NA,NA,NA,34,22381200
64207301,NA,NA,NA,NA,NA,53,19443600
64207801,NA,NA,NA,NA,NA,34,17802000
64207901,NA,NA,NA,NA,NA,41,21258000
64209301,NA,NA,NA,NA,NA,33,20826000
64211001,NA,NA,NA,NA,NA,36,19011600
64212701,NA,NA,NA,NA,NA,40,17974800
65000201,NA,NA,NA,NA,NA,NA,NA
65000301,NA,NA,NA,NA,NA,NA,NA
65000501,NA,NA,NA,NA,NA,NA,NA
65000601,NA,NA,NA,NA,NA,NA,NA
65000701,NA,NA,NA,NA,NA,NA,NA
65000801,NA,NA,NA,NA,NA,NA,NA
65000901,NA,NA,NA,NA,NA,NA,NA
65001001,NA,NA,NA,NA,NA,NA,NA
65001101,NA,NA,NA,NA,NA,NA,NA
65001201,NA,NA,NA,NA,NA,NA,NA
65001301,NA,NA,NA,NA,NA,NA,NA
65001401,NA,NA,NA,NA,NA,NA,NA
65001501,NA,NA,NA,NA,NA,NA,NA
65001601,NA,NA,NA,NA,NA,NA,NA
65001701,NA,NA,NA,NA,NA,NA,NA
65001801,NA,NA,NA,NA,NA,NA,NA
65001901,NA,NA,NA,NA,NA,NA,NA
65002001,NA,NA,NA,NA,NA,NA,NA
65002101,NA,NA,NA,NA,NA,NA,NA
65002201,NA,NA,NA,NA,NA,NA,NA
65002301,NA,NA,NA,NA,NA,NA,NA
65002401,NA,NA,NA,NA,NA,NA,NA
65002501,NA,NA,NA,NA,NA,NA,NA
65002601,NA,NA,NA,NA,NA,NA,NA
65002701,NA,NA,NA,NA,NA,NA,NA
65002801,NA,NA,NA,NA,NA,NA,NA
65002901,NA,NA,NA,NA,NA,NA,NA
65003001,NA,NA,NA,NA,NA,NA,NA
65003101,NA,NA,NA,NA,NA,NA,NA
65003201,NA,NA,NA,NA,NA,NA,NA
65003301,NA,NA,NA,NA,NA,NA,NA
65003401,NA,NA,NA,NA,NA,NA,NA
65003501,NA,NA,NA,NA,NA,NA,NA
65003601,NA,NA,NA,NA,NA,NA,NA
65003701,NA,NA,NA,NA,NA,NA,NA
65003801,NA,NA,NA,NA,NA,NA,NA
65003901,NA,NA,NA,NA,NA,NA,NA
65004001,NA,NA,NA,NA,NA,NA,NA
65004101,NA,NA,NA,NA,NA,NA,NA
65004201,NA,NA,NA,NA,NA,NA,NA
65004301,NA,NA,NA,NA,NA,NA,NA
65004401,NA,NA,NA,NA,NA,NA,NA
65004501,NA,NA,NA,NA,NA,NA,NA
65004601,NA,NA,NA,NA,NA,NA,NA
65004701,NA,NA,NA,NA,NA,NA,NA
65004801,NA,NA,NA,NA,NA,NA,NA
65004901,NA,NA,NA,NA,NA,NA,NA
65005001,NA,NA,NA,NA,NA,NA,NA
65005101,NA,NA,NA,NA,NA,NA,NA
65005201,NA,NA,NA,NA,NA,NA,NA
65005301,NA,NA,NA,NA,NA,NA,NA
65005401,NA,NA,NA,NA,NA,NA,NA
65005501,NA,NA,NA,NA,NA,NA,NA
65005601,NA,NA,NA,NA,NA,NA,NA
65005701,NA,NA,NA,NA,NA,NA,NA
65005801,NA,NA,NA,NA,NA,NA,NA
65005901,NA,NA,NA,NA,NA,NA,NA
65006001,NA,NA,NA,NA,NA,NA,NA
65006101,NA,NA,NA,NA,NA,NA,NA
65006201,NA,NA,NA,NA,NA,NA,NA
65006301,NA,NA,NA,NA,NA,NA,NA
65006401,NA,NA,NA,NA,NA,NA,NA
65006501,NA,NA,NA,NA,NA,NA,NA
65006601,NA,NA,NA,NA,NA,NA,NA
65006701,NA,NA,NA,NA,NA,NA,NA
65006801,NA,NA,NA,NA,NA,NA,NA
65006901,NA,NA,NA,NA,NA,NA,NA
65007001,NA,NA,NA,NA,NA,NA,NA
65007101,NA,NA,NA,NA,NA,NA,NA
65007201,NA,NA,NA,NA,NA,NA,NA
65007301,NA,NA,NA,NA,NA,NA,NA
65007401,NA,NA,NA,NA,NA,NA,NA
65007501,NA,NA,NA,NA,NA,NA,NA
65007601,NA,NA,NA,NA,NA,NA,NA
65007701,NA,NA,NA,NA,NA,NA,NA
65007801,NA,NA,NA,NA,NA,NA,NA
65007901,NA,NA,NA,NA,NA,NA,NA
65008001,NA,NA,NA,NA,NA,NA,NA
65008101,NA,NA,NA,NA,NA,NA,NA
65008201,NA,NA,NA,NA,NA,NA,NA
65008301,NA,NA,NA,NA,NA,NA,NA
65008401,NA,NA,NA,NA,NA,NA,NA
65008501,NA,NA,NA,NA,NA,NA,NA
65008601,NA,NA,NA,NA,NA,NA,NA
65008701,NA,NA,NA,NA,NA,NA,NA
65008901,NA,NA,NA,NA,NA,NA,NA
65009001,NA,NA,NA,NA,NA,NA,NA
65009101,NA,NA,NA,NA,NA,NA,NA
65009201,NA,NA,NA,NA,NA,NA,NA
65009301,NA,NA,NA,NA,NA,NA,NA
65009401,NA,NA,NA,NA,NA,NA,NA
65009501,NA,NA,NA,NA,NA,NA,NA
65009601,NA,NA,NA,NA,NA,NA,NA
65009701,NA,NA,NA,NA,NA,NA,NA
