bibkey,paper,task,subject,age,gender,choice,r,treatment,inconsistent,soep,dosocial,dohealth,doinvest,dogamble,doethic,dorecre,doall,key
Crosetto2016,Crosetto and Filippin EXEC 2016,BRET,11353,26,1,40,0.6666666666666666,bret,NA,3,4.833333492279053,2.8333332538604736,2,1.6666666269302368,1.8333333730697632,3,2.694444417953491,perc
Crosetto2016,Crosetto and Filippin EXEC 2016,BRET,11608,21,1,35,0.5384615384615384,bret,NA,3,4.666666507720947,3.8333332538604736,4,2,3.5,4.333333492279053,3.722222328186035,perc
Crosetto2016,Crosetto and Filippin EXEC 2016,BRET,11640,21,0,40,0.6666666666666666,bret,NA,5,4.666666507720947,2.5,2.6666667461395264,1,1.6666666269302368,4.166666507720947,2.777777671813965,perc
Crosetto2016,Crosetto and Filippin EXEC 2016,BRET,21353,21,1,31,0.4492753623188406,bret,NA,3,3.8333332538604736,2.3333332538604736,2.3333332538604736,1.3333333730697632,1.1666666269302368,1.6666666269302368,2.1111111640930176,perc
Crosetto2016,Crosetto and Filippin EXEC 2016,BRET,21608,23,1,33,0.4925373134328358,bret,NA,0,5.833333492279053,1.6666666269302368,2.3333332538604736,1.6666666269302368,1.3333333730697632,2.3333332538604736,2.527777671813965,perc
Crosetto2016,Crosetto and Filippin EXEC 2016,BRET,21640,26,0,25,0.3333333333333333,bret,NA,7,4,4.833333492279053,3,4,2.3333332538604736,4,3.694444417953491,perc
Crosetto2016,Crosetto and Filippin EXEC 2016,BRET,31353,23,0,30,0.42857142857142855,bret,NA,9,6.666666507720947,6.833333492279053,6.333333492279053,6.333333492279053,5.166666507720947,6.5,6.30555534362793,perc
Crosetto2016,Crosetto and Filippin EXEC 2016,BRET,31608,25,1,35,0.5384615384615384,bret,NA,3,4.5,2.6666667461395264,2.6666667461395264,2.6666667461395264,3.5,4.833333492279053,3.472222328186035,perc
Crosetto2016,Crosetto and Filippin EXEC 2016,BRET,31640,27,1,50,1,bret,NA,7,5.5,3.8333332538604736,4.666666507720947,2.3333332538604736,4.5,5.5,4.388888835906982,perc
Crosetto2016,Crosetto and Filippin EXEC 2016,BRET,41608,24,1,40,0.6666666666666666,bret,NA,7,4.333333492279053,4.166666507720947,2,1.6666666269302368,1.8333333730697632,6,3.3333332538604736,perc
Crosetto2016,Crosetto and Filippin EXEC 2016,BRET,41640,24,1,25,0.3333333333333333,bret,NA,8,6.333333492279053,5,5.333333492279053,4.333333492279053,2.8333332538604736,6.166666507720947,5,perc
Crosetto2016,Crosetto and Filippin EXEC 2016,BRET,51353,29,0,45,0.8181818181818182,bret,NA,3,4.166666507720947,4.166666507720947,3.6666667461395264,1.6666666269302368,2,5.666666507720947,3.555555582046509,perc
Crosetto2016,Crosetto and Filippin EXEC 2016,BRET,51608,30,1,63,1.7027027027027026,bret,NA,2,5.5,1.3333333730697632,4,1,2.5,3.1666667461395264,2.9166667461395264,perc
Crosetto2016,Crosetto and Filippin EXEC 2016,BRET,51640,21,1,61,1.564102564102564,bret,NA,2,4.333333492279053,2,2.3333332538604736,1.3333333730697632,1.6666666269302368,2.3333332538604736,2.3333332538604736,perc
Crosetto2016,Crosetto and Filippin EXEC 2016,BRET,61353,26,0,35,0.5384615384615384,bret,NA,2,5.5,4.5,1,1.6666666269302368,1.5,2.1666667461395264,2.722222328186035,perc
Crosetto2016,Crosetto and Filippin EXEC 2016,BRET,61608,21,1,28,0.3888888888888889,bret,NA,7,4.166666507720947,1.5,3,2.3333332538604736,1.6666666269302368,5.5,3.027777671813965,perc
Crosetto2016,Crosetto and Filippin EXEC 2016,BRET,61640,22,1,28,0.3888888888888889,bret,NA,2,4.666666507720947,2.1666667461395264,1,2,3.1666667461395264,1,2.3333332538604736,perc
Crosetto2016,Crosetto and Filippin EXEC 2016,BRET,71353,22,1,44,0.7857142857142857,bret,NA,7,6.666666507720947,6.166666507720947,5,3,5.666666507720947,5.666666507720947,5.361111164093018,perc
Crosetto2016,Crosetto and Filippin EXEC 2016,BRET,71640,23,1,55,1.2222222222222223,bret,NA,8,5.333333492279053,5,2.3333332538604736,2.6666667461395264,3.1666667461395264,5.666666507720947,4.027777671813965,perc
Crosetto2016,Crosetto and Filippin EXEC 2016,BRET,81353,23,1,36,0.5625,bret,NA,2,5.166666507720947,4.666666507720947,3.3333332538604736,1.3333333730697632,2.3333332538604736,3.6666667461395264,3.4166665077209473,perc
Crosetto2016,Crosetto and Filippin EXEC 2016,BRET,81608,19,1,50,1,bret,NA,3,3,3,3.6666667461395264,1,3.6666667461395264,2.3333332538604736,2.777777671813965,perc
Crosetto2016,Crosetto and Filippin EXEC 2016,BRET,81640,22,1,0,0,bret,NA,5,4.666666507720947,2.5,2.6666667461395264,1.3333333730697632,2.5,3.1666667461395264,2.805555582046509,perc
Crosetto2016,Crosetto and Filippin EXEC 2016,BRET,91353,22,1,35,0.5384615384615384,bret,NA,6,4.833333492279053,4.666666507720947,4.666666507720947,2.6666667461395264,3,3.1666667461395264,3.8333332538604736,perc
Crosetto2016,Crosetto and Filippin EXEC 2016,BRET,91608,23,1,42,0.7241379310344828,bret,NA,4,4.833333492279053,3.1666667461395264,3.6666667461395264,2.6666667461395264,1.6666666269302368,1.6666666269302368,2.944444417953491,perc
Crosetto2016,Crosetto and Filippin EXEC 2016,BRET,91640,25,0,38,0.6129032258064516,bret,NA,6,5.5,3.5,5.333333492279053,4.666666507720947,3.1666667461395264,2.8333332538604736,4.166666507720947,perc
Crosetto2016,Crosetto and Filippin EXEC 2016,BRET,101353,22,1,70,2.3333333333333335,bret,NA,4,4.833333492279053,3,2.3333332538604736,2.6666667461395264,2.5,5,3.3888888359069824,perc
Crosetto2016,Crosetto and Filippin EXEC 2016,BRET,101608,24,1,43,0.7543859649122807,bret,NA,7,3.5,3,2.6666667461395264,1,1.8333333730697632,3.5,2.5833332538604736,perc
Crosetto2016,Crosetto and Filippin EXEC 2016,BRET,101640,20,1,14,0.16279069767441862,bret,NA,7,3.5,5,3,1.6666666269302368,1.6666666269302368,2.6666667461395264,2.9166667461395264,perc
Crosetto2016,Crosetto and Filippin EXEC 2016,BRET,111608,24,1,72,2.5714285714285716,bret,NA,6,6,5,3.6666667461395264,3,4.833333492279053,4.666666507720947,4.527777671813965,perc
Crosetto2016,Crosetto and Filippin EXEC 2016,BRET,111640,24,1,40,0.6666666666666666,bret,NA,6,5.666666507720947,4.166666507720947,1.6666666269302368,1,4.166666507720947,5.333333492279053,3.6666665077209473,perc
Crosetto2016,Crosetto and Filippin EXEC 2016,BRET,121353,30,0,30,0.42857142857142855,bret,NA,6,5,4,2.3333332538604736,1,2.6666667461395264,2.3333332538604736,2.8888888359069824,perc
Crosetto2016,Crosetto and Filippin EXEC 2016,BRET,121608,23,0,50,1,bret,NA,6,5.666666507720947,3.1666667461395264,7,4,1.5,4,4.222222328186035,perc
Crosetto2016,Crosetto and Filippin EXEC 2016,BRET,121640,30,1,25,0.3333333333333333,bret,NA,4,4.5,2.5,1.3333333730697632,1.3333333730697632,2,4,2.6111111640930176,perc
Crosetto2016,Crosetto and Filippin EXEC 2016,BRET,131353,21,0,42,0.7241379310344828,bret,NA,5,5,3.8333332538604736,2.3333332538604736,2.3333332538604736,3,5.5,3.6666665077209473,perc
Crosetto2016,Crosetto and Filippin EXEC 2016,BRET,131608,27,0,4,0.041666666666666664,bret,NA,6,6.333333492279053,5.666666507720947,2,2.6666667461395264,2.5,3.3333332538604736,3.75,perc
Crosetto2016,Crosetto and Filippin EXEC 2016,BRET,131640,25,0,50,1,bret,NA,0,3,3,3,3,3,3,3,perc
Crosetto2016,Crosetto and Filippin EXEC 2016,BRET,141353,20,1,27,0.3698630136986301,bret,NA,2,3.5,3.1666667461395264,2,1,2.3333332538604736,1.8333333730697632,2.305555582046509,perc
Crosetto2016,Crosetto and Filippin EXEC 2016,BRET,141608,21,1,25,0.3333333333333333,bret,NA,5,5,3.3333332538604736,2,2,3.1666667461395264,2.3333332538604736,2.972222328186035,perc
Crosetto2016,Crosetto and Filippin EXEC 2016,BRET,141640,22,0,70,2.3333333333333335,bret,NA,8,6,5.833333492279053,4.333333492279053,2.3333332538604736,4.333333492279053,6.666666507720947,4.916666507720947,perc
Crosetto2016,Crosetto and Filippin EXEC 2016,BRET,151353,20,1,42,0.7241379310344828,bret,NA,4,4.666666507720947,2.3333332538604736,3,1.6666666269302368,3.5,2.8333332538604736,3,perc
Crosetto2016,Crosetto and Filippin EXEC 2016,BRET,151608,27,0,50,1,bret,NA,3,6.166666507720947,5.5,2.3333332538604736,1,1.3333333730697632,5.5,3.6388888359069824,perc
Crosetto2016,Crosetto and Filippin EXEC 2016,BRET,151640,23,0,25,0.3333333333333333,bret,NA,4,4.5,2.6666667461395264,4,1,1.8333333730697632,1.1666666269302368,2.527777671813965,perc
Crosetto2016,Crosetto and Filippin EXEC 2016,BRET,161353,22,0,65,1.8571428571428572,bret,NA,6,5,2.5,3.3333332538604736,2,1,3.8333332538604736,2.944444417953491,perc
Crosetto2016,Crosetto and Filippin EXEC 2016,BRET,161608,24,1,52,1.0833333333333333,bret,NA,9,4.166666507720947,5.166666507720947,1,1,1.8333333730697632,7,3.3611111640930176,perc
Crosetto2016,Crosetto and Filippin EXEC 2016,BRET,171353,36,1,70,2.3333333333333335,bret,NA,7,4.833333492279053,2,5.666666507720947,1,3.1666667461395264,2.3333332538604736,3.1666667461395264,perc
Crosetto2016,Crosetto and Filippin EXEC 2016,BRET,171608,20,0,39,0.639344262295082,bret,NA,6,4.5,4.166666507720947,4,1.6666666269302368,2.5,4.833333492279053,3.6111111640930176,perc
Crosetto2016,Crosetto and Filippin EXEC 2016,BRET,171640,27,1,35,0.5384615384615384,bret,NA,5,5.666666507720947,2.8333332538604736,1.3333333730697632,1.3333333730697632,3,2.3333332538604736,2.75,perc
Crosetto2016,Crosetto and Filippin EXEC 2016,BRET,181353,21,1,41,0.6949152542372882,bret,NA,6,4,3.3333332538604736,2.3333332538604736,2,2.1666667461395264,4.833333492279053,3.1111111640930176,perc
Crosetto2016,Crosetto and Filippin EXEC 2016,BRET,181608,22,1,29,0.4084507042253521,bret,NA,3,4.333333492279053,2.6666667461395264,3.6666667461395264,1,2,3.8333332538604736,2.9166667461395264,perc
Crosetto2016,Crosetto and Filippin EXEC 2016,BRET,181640,22,1,38,0.6129032258064516,bret,NA,2,4.5,3.8333332538604736,2,3,2.3333332538604736,2.6666667461395264,3.055555582046509,perc
Crosetto2016,Crosetto and Filippin EXEC 2016,BRET,191353,23,0,50,1,bret,NA,7,4.5,3.3333332538604736,4.666666507720947,1.3333333730697632,3.1666667461395264,6.5,3.9166667461395264,perc
Crosetto2016,Crosetto and Filippin EXEC 2016,BRET,191608,22,1,49,0.9607843137254902,bret,NA,7,5.666666507720947,4.5,3.6666667461395264,3.3333332538604736,2.3333332538604736,6.5,4.333333492279053,perc
Crosetto2016,Crosetto and Filippin EXEC 2016,BRET,191640,20,0,5,0.05263157894736842,bret,NA,5,5.5,3.3333332538604736,5.333333492279053,2,1.1666666269302368,3.3333332538604736,3.444444417953491,perc
Crosetto2016,Crosetto and Filippin EXEC 2016,BRET,201353,23,0,33,0.4925373134328358,bret,NA,6,6.5,5.666666507720947,2,1,4.5,5.833333492279053,4.25,perc
Crosetto2016,Crosetto and Filippin EXEC 2016,BRET,201608,20,1,40,0.6666666666666666,bret,NA,3,6,3.3333332538604736,3.3333332538604736,2.6666667461395264,2.3333332538604736,4.833333492279053,3.75,perc
Crosetto2016,Crosetto and Filippin EXEC 2016,BRET,201640,23,1,50,1,bret,NA,5,5.666666507720947,3,3,2.6666667461395264,3,4.5,3.6388888359069824,perc
Crosetto2016,Crosetto and Filippin EXEC 2016,BRET,211353,20,0,47,0.8867924528301887,bret,NA,6,4.333333492279053,3.6666667461395264,2,1,1.3333333730697632,4.333333492279053,2.777777910232544,perc
Crosetto2016,Crosetto and Filippin EXEC 2016,BRET,211640,21,0,40,0.6666666666666666,bret,NA,3,4.166666507720947,1.8333333730697632,2.3333332538604736,1,1.1666666269302368,2.1666667461395264,2.1111111640930176,perc
Crosetto2016,Crosetto and Filippin EXEC 2016,BRET,221353,25,0,45,0.8181818181818182,bret,NA,8,4.833333492279053,3.1666667461395264,6,5.333333492279053,3.6666667461395264,6.333333492279053,4.888888835906982,perc
Crosetto2016,Crosetto and Filippin EXEC 2016,BRET,221608,21,1,50,1,bret,NA,3,3.6666667461395264,2.3333332538604736,1.3333333730697632,1,1.8333333730697632,2.1666667461395264,2.055555582046509,perc
Crosetto2016,Crosetto and Filippin EXEC 2016,BRET,221640,22,1,37,0.5873015873015873,bret,NA,8,5.333333492279053,3.5,1,1,1.3333333730697632,3,2.527777910232544,perc
Crosetto2016,Crosetto and Filippin EXEC 2016,BRET,231353,21,1,40,0.6666666666666666,bret,NA,6,5.5,4.5,1.3333333730697632,2,3.3333332538604736,4.833333492279053,3.5833332538604736,perc
Crosetto2016,Crosetto and Filippin EXEC 2016,BRET,231608,28,0,70,2.3333333333333335,bret,NA,5,4.166666507720947,2.5,1.3333333730697632,2.3333332538604736,2.8333332538604736,3.6666667461395264,2.805555582046509,perc
Crosetto2016,Crosetto and Filippin EXEC 2016,BRET,231640,30,0,6,0.06382978723404255,bret,NA,6,6.833333492279053,6.333333492279053,6.666666507720947,3.3333332538604736,3.6666667461395264,3.8333332538604736,5.111111164093018,perc
Crosetto2016,Crosetto and Filippin EXEC 2016,BRET,241353,19,1,45,0.8181818181818182,bret,NA,3,4,2.3333332538604736,2,2,1.5,4.166666507720947,2.6666665077209473,perc
Crosetto2016,Crosetto and Filippin EXEC 2016,BRET,241608,22,0,50,1,bret,NA,6,6.5,3.3333332538604736,5.666666507720947,1.3333333730697632,1.5,6.166666507720947,4.083333492279053,perc
Crosetto2016,Crosetto and Filippin EXEC 2016,BRET,241640,24,0,51,1.0408163265306123,bret,NA,8,6,6,7,7,5,7,6.333333492279053,perc
Crosetto2016,Crosetto and Filippin EXEC 2016,BRET,251353,26,1,29,0.4084507042253521,bret,NA,5,6,2.5,2.6666667461395264,1,1.5,4.166666507720947,2.972222328186035,perc
Crosetto2016,Crosetto and Filippin EXEC 2016,BRET,251608,20,1,33,0.4925373134328358,bret,NA,4,6.5,4,1,1,1.1666666269302368,3.1666667461395264,2.805555582046509,perc
Crosetto2016,Crosetto and Filippin EXEC 2016,BRET,251640,22,1,25,0.3333333333333333,bret,NA,2,5.666666507720947,3,2.3333332538604736,1,1.8333333730697632,5.5,3.222222089767456,perc
Crosetto2016,Crosetto and Filippin EXEC 2016,BRET,261353,21,1,45,0.8181818181818182,bret,NA,2,5,3,2,1.6666666269302368,3.3333332538604736,2.5,2.9166667461395264,perc
Crosetto2016,Crosetto and Filippin EXEC 2016,BRET,261608,19,1,35,0.5384615384615384,bret,NA,5,5,4.333333492279053,3.3333332538604736,2.3333332538604736,2.6666667461395264,4.333333492279053,3.6666667461395264,perc
Crosetto2016,Crosetto and Filippin EXEC 2016,BRET,271353,29,0,37,0.5873015873015873,bret,NA,7,5.166666507720947,3.8333332538604736,4.333333492279053,4,3.3333332538604736,5,4.277777671813965,perc
Crosetto2016,Crosetto and Filippin EXEC 2016,BRET,271608,22,0,30,0.42857142857142855,bret,NA,6,4.666666507720947,5,3,1.3333333730697632,2.5,5.5,3.6666667461395264,perc
Crosetto2016,Crosetto and Filippin EXEC 2016,BRET,271640,23,1,51,1.0408163265306123,bret,NA,2,6,2.8333332538604736,2.6666667461395264,2,3.1666667461395264,2,3.1111111640930176,perc
Crosetto2016,Crosetto and Filippin EXEC 2016,BRET,281353,23,1,50,1,bret,NA,7,4.833333492279053,3,3.3333332538604736,2,2.1666667461395264,2.5,2.972222328186035,perc
Crosetto2016,Crosetto and Filippin EXEC 2016,BRET,281608,27,1,16,0.19047619047619047,bret,NA,8,5.166666507720947,4.333333492279053,3.6666667461395264,3.6666667461395264,5,4.833333492279053,4.44444465637207,perc
Crosetto2016,Crosetto and Filippin EXEC 2016,BRET,281640,23,0,44,0.7857142857142857,bret,NA,7,6.333333492279053,2.3333332538604736,3,1.3333333730697632,1.6666666269302368,5,3.277777671813965,perc
Crosetto2016,Crosetto and Filippin EXEC 2016,BRET,291353,21,1,48,0.9230769230769231,bret,NA,3,5.833333492279053,4,3.3333332538604736,1,2.6666667461395264,5.666666507720947,3.75,perc
Crosetto2016,Crosetto and Filippin EXEC 2016,BRET,291608,24,0,40,0.6666666666666666,bret,NA,6,5,3,3,2,1.5,3.8333332538604736,3.055555582046509,perc
Crosetto2016,Crosetto and Filippin EXEC 2016,BRET,301353,21,1,37,0.5873015873015873,bret,NA,7,5,3.5,4.666666507720947,1.6666666269302368,1.8333333730697632,2.6666667461395264,3.222222328186035,perc
Crosetto2016,Crosetto and Filippin EXEC 2016,BRET,301608,22,1,32,0.47058823529411764,bret,NA,3,5.333333492279053,4,3.6666667461395264,2,3.3333332538604736,2.6666667461395264,3.5,perc
Crosetto2016,Crosetto and Filippin EXEC 2016,BRET,301640,25,1,18,0.21951219512195122,bret,NA,4,4.666666507720947,1.6666666269302368,2.3333332538604736,2,1.5,2.3333332538604736,2.4166665077209473,perc
Crosetto2016,Crosetto and Filippin EXEC 2016,BRET,311353,23,0,55,1.2222222222222223,bret,NA,8,4.833333492279053,4.666666507720947,5,3.6666667461395264,5.166666507720947,4.5,4.638888835906982,perc
Crosetto2016,Crosetto and Filippin EXEC 2016,BRET,311608,20,1,45,0.8181818181818182,bret,NA,6,5,3.5,1.6666666269302368,1.6666666269302368,3.6666667461395264,3.6666667461395264,3.194444417953491,perc
Crosetto2016,Crosetto and Filippin EXEC 2016,BRET,311640,23,0,30,0.42857142857142855,bret,NA,6,5.166666507720947,3.6666667461395264,1.6666666269302368,2,3,3.3333332538604736,3.1388888359069824,perc
Crosetto2016,Crosetto and Filippin EXEC 2016,BRET,321608,28,1,40,0.6666666666666666,bret,NA,4,5,3.5,2.3333332538604736,2.3333332538604736,3,3.6666667461395264,3.305555582046509,perc
Crosetto2016,Crosetto and Filippin EXEC 2016,BRET,321640,29,1,45,0.8181818181818182,bret,NA,5,4.666666507720947,2.6666667461395264,3,2,2.5,3.6666667461395264,3.0833332538604736,perc
Crosetto2016,Crosetto and Filippin EXEC 2016,BART,10951,22,0,40,NA,balloon,NA,6,5.5,3.6666667461395264,2.6666667461395264,1,1.8333333730697632,5,3.277777910232544,pump
Crosetto2016,Crosetto and Filippin EXEC 2016,BART,11312,21,1,61,NA,balloon,NA,8,3.6666667461395264,3,4,2.3333332538604736,3.5,4.333333492279053,3.472222328186035,pump
Crosetto2016,Crosetto and Filippin EXEC 2016,BART,11509,28,0,61,NA,balloon,NA,4,5,5,1.6666666269302368,1,3.3333332538604736,4.333333492279053,3.3888888359069824,pump
Crosetto2016,Crosetto and Filippin EXEC 2016,BART,20951,28,1,35,NA,balloon,NA,1,4.833333492279053,2.3333332538604736,2.6666667461395264,1.3333333730697632,1.1666666269302368,3.6666667461395264,2.6666667461395264,pump
Crosetto2016,Crosetto and Filippin EXEC 2016,BART,21312,22,0,61,NA,balloon,NA,10,5.5,6.5,5,7,5.5,6.5,6,pump
Crosetto2016,Crosetto and Filippin EXEC 2016,BART,21509,22,1,61,NA,balloon,NA,7,4.666666507720947,4.5,2.3333332538604736,1.3333333730697632,2.6666667461395264,3.3333332538604736,3.1388888359069824,pump
Crosetto2016,Crosetto and Filippin EXEC 2016,BART,30951,28,0,61,NA,balloon,NA,8,4.333333492279053,2,3,3.6666667461395264,1.5,2.3333332538604736,2.805555582046509,pump
Crosetto2016,Crosetto and Filippin EXEC 2016,BART,31312,24,1,50,NA,balloon,NA,3,4.166666507720947,1,1.3333333730697632,1,3.1666667461395264,3.6666667461395264,2.3888888359069824,pump
Crosetto2016,Crosetto and Filippin EXEC 2016,BART,31509,21,0,61,NA,balloon,NA,8,5.5,5.5,3.6666667461395264,1.6666666269302368,1.8333333730697632,5.666666507720947,3.972222328186035,pump
Crosetto2016,Crosetto and Filippin EXEC 2016,BART,40951,25,0,29,NA,balloon,NA,3,5.666666507720947,2.8333332538604736,3,2,2.1666667461395264,4,3.277777671813965,pump
Crosetto2016,Crosetto and Filippin EXEC 2016,BART,41312,20,1,40,NA,balloon,NA,1,6.5,2.1666667461395264,1.6666666269302368,1.6666666269302368,1.1666666269302368,3.8333332538604736,2.8333332538604736,pump
Crosetto2016,Crosetto and Filippin EXEC 2016,BART,41509,22,0,61,NA,balloon,NA,5,4.5,3,4.666666507720947,5,3,5.5,4.277777671813965,pump
Crosetto2016,Crosetto and Filippin EXEC 2016,BART,50951,22,1,61,NA,balloon,NA,5,2.8333332538604736,2,3.3333332538604736,1,1.5,3.1666667461395264,2.305555582046509,pump
Crosetto2016,Crosetto and Filippin EXEC 2016,BART,51312,26,0,61,NA,balloon,NA,8,5,3.1666667461395264,5,4.666666507720947,2.3333332538604736,5.666666507720947,4.30555534362793,pump
Crosetto2016,Crosetto and Filippin EXEC 2016,BART,51509,21,1,19,NA,balloon,NA,2,5.333333492279053,2.3333332538604736,2.6666667461395264,2.6666667461395264,2.1666667461395264,4,3.194444417953491,pump
Crosetto2016,Crosetto and Filippin EXEC 2016,BART,61312,26,1,35,NA,balloon,NA,1,3.5,1.5,3.3333332538604736,1.6666666269302368,2.5,3,2.5833332538604736,pump
Crosetto2016,Crosetto and Filippin EXEC 2016,BART,61509,19,1,54,NA,balloon,NA,6,3.6666667461395264,2.6666667461395264,2.6666667461395264,1,1.1666666269302368,4,2.527777910232544,pump
Crosetto2016,Crosetto and Filippin EXEC 2016,BART,70951,28,0,41,NA,balloon,NA,7,4.833333492279053,2.8333332538604736,4.333333492279053,4.666666507720947,2.1666667461395264,4.5,3.8888888359069824,pump
Crosetto2016,Crosetto and Filippin EXEC 2016,BART,71312,23,0,50,NA,balloon,NA,7,6.166666507720947,4.333333492279053,5.333333492279053,4.333333492279053,2.3333332538604736,3.5,4.333333492279053,pump
Crosetto2016,Crosetto and Filippin EXEC 2016,BART,71509,25,1,61,NA,balloon,NA,7,3.8333332538604736,3.8333332538604736,2,1,1.8333333730697632,3.3333332538604736,2.6388888359069824,pump
Crosetto2016,Crosetto and Filippin EXEC 2016,BART,80951,21,1,40,NA,balloon,NA,4,5.166666507720947,3.3333332538604736,4.333333492279053,2,3.3333332538604736,4,3.694444417953491,pump
Crosetto2016,Crosetto and Filippin EXEC 2016,BART,81312,22,1,40,NA,balloon,NA,6,4.666666507720947,3.6666667461395264,3.3333332538604736,2.3333332538604736,1.6666666269302368,3.8333332538604736,3.25,pump
Crosetto2016,Crosetto and Filippin EXEC 2016,BART,81509,21,1,14,NA,balloon,NA,4,4.666666507720947,4.666666507720947,3.3333332538604736,3,2.8333332538604736,5.5,4,pump
Crosetto2016,Crosetto and Filippin EXEC 2016,BART,90951,26,1,61,NA,balloon,NA,5,4.833333492279053,3.8333332538604736,2.3333332538604736,3.3333332538604736,3.3333332538604736,3.3333332538604736,3.5,pump
Crosetto2016,Crosetto and Filippin EXEC 2016,BART,91312,23,0,40,NA,balloon,NA,6,5.833333492279053,4.166666507720947,2.3333332538604736,1,4,4.833333492279053,3.694444417953491,pump
Crosetto2016,Crosetto and Filippin EXEC 2016,BART,100951,26,0,61,NA,balloon,NA,2,5,2.8333332538604736,1.3333333730697632,1,1.1666666269302368,2.5,2.305555582046509,pump
