bibkey,paper,task,subject,choice,r,country
Brunner2014,Brunner et al 2014,HL,88,8,1.604491213527508,Germany
Brunner2014,Brunner et al 2014,HL,89,5,0.6477897726837545,Germany
Brunner2014,Brunner et al 2014,HL,90,5,0.6172444818541407,Germany
Brunner2014,Brunner et al 2014,HL,91,4,0.5692374482261948,Germany
Brunner2014,Brunner et al 2014,HL,92,3,0.15141544604441154,Germany
Brunner2014,Brunner et al 2014,HL,93,7,1.3971948918607087,Germany
Brunner2014,Brunner et al 2014,HL,94,10,2.71,Germany
Brunner2014,Brunner et al 2014,HL,95,5,0.7436356955394149,Germany
Brunner2014,Brunner et al 2014,HL,96,7,1.300522008156404,Germany
Brunner2014,Brunner et al 2014,HL,97,6,1.1067171505186706,Germany
Brunner2014,Brunner et al 2014,HL,98,4,0.3805664226412773,Germany
Brunner2014,Brunner et al 2014,HL,99,5,0.778212066385895,Germany
Brunner2014,Brunner et al 2014,HL,100,9,2.0200420462712647,Germany
Brunner2014,Brunner et al 2014,HL,101,7,1.199323855205439,Germany
Brunner2014,Brunner et al 2014,HL,102,3,0.21301354934228586,Germany
Brunner2014,Brunner et al 2014,HL,103,5,0.8246594691183418,Germany
Brunner2014,Brunner et al 2014,HL,104,6,0.9066482257563621,Germany
Brunner2014,Brunner et al 2014,HL,105,6,0.8773893843404948,Germany
Brunner2014,Brunner et al 2014,HL,106,7,1.199931143131107,Germany
Brunner2014,Brunner et al 2014,HL,107,5,0.6042698908457532,Germany
Brunner2014,Brunner et al 2014,HL,108,6,0.9122213159454986,Germany
Brunner2014,Brunner et al 2014,HL,109,6,0.9075499064754694,Germany
Brunner2014,Brunner et al 2014,HL,110,5,0.6635570789780467,Germany
Brunner2014,Brunner et al 2014,HL,111,8,1.8220333654666319,Germany
Brunner2014,Brunner et al 2014,HL,112,7,1.1802857488160952,Germany
Brunner2014,Brunner et al 2014,HL,113,5,0.8307503684191033,Germany
Brunner2014,Brunner et al 2014,HL,114,7,1.2574651052895933,Germany
Brunner2014,Brunner et al 2014,HL,115,7,1.3533875409001483,Germany
Brunner2014,Brunner et al 2014,HL,116,4,0.3404287504008971,Germany
Brunner2014,Brunner et al 2014,HL,117,1,-0.37,Germany
Brunner2014,Brunner et al 2014,HL,118,5,0.7624703686218708,Germany
Brunner2014,Brunner et al 2014,HL,119,7,1.330332461297512,Germany
Brunner2014,Brunner et al 2014,HL,120,5,0.6228137478698045,Germany
Brunner2014,Brunner et al 2014,HL,121,7,1.2268352028448133,Germany
Brunner2014,Brunner et al 2014,HL,122,1,-0.37,Germany
Brunner2014,Brunner et al 2014,HL,123,6,1.0292457465780898,Germany
Brunner2014,Brunner et al 2014,HL,124,6,0.9840848174877465,Germany
Brunner2014,Brunner et al 2014,HL,125,5,0.7957937309658154,Germany
Brunner2014,Brunner et al 2014,HL,126,5,0.6118060175376012,Germany
Brunner2014,Brunner et al 2014,HL,127,5,0.8425037440517917,Germany
Brunner2014,Brunner et al 2014,HL,128,6,1.1422444515163077,Germany
Brunner2014,Brunner et al 2014,HL,129,7,1.1692576138023285,Germany
Brunner2014,Brunner et al 2014,HL,130,7,1.2522702237823977,Germany
Brunner2014,Brunner et al 2014,HL,131,7,1.32164602718316,Germany
Brunner2014,Brunner et al 2014,HL,132,5,0.5995986967906356,Germany
Brunner2014,Brunner et al 2014,HL,133,8,1.648044989593327,Germany
Brunner2014,Brunner et al 2014,HL,134,6,1.1220351113937794,Germany
Brunner2014,Brunner et al 2014,HL,135,10,2.71,Germany
Brunner2014,Brunner et al 2014,HL,136,6,0.9639811771456152,Germany
Brunner2014,Brunner et al 2014,HL,137,4,0.5602365936827846,Germany
Brunner2014,Brunner et al 2014,HL,138,4,0.3825372591777705,Germany
Brunner2014,Brunner et al 2014,HL,139,6,1.126370234787464,Germany
Brunner2014,Brunner et al 2014,HL,140,6,0.9645447012968361,Germany
Brunner2014,Brunner et al 2014,HL,141,3,0.10431099998299033,Germany
Brunner2014,Brunner et al 2014,HL,142,4,0.510467285644263,Germany
Brunner2014,Brunner et al 2014,HL,143,8,1.5725265115546063,Germany
Brunner2014,Brunner et al 2014,HL,144,7,1.27342652563937,Germany
Brunner2014,Brunner et al 2014,HL,145,7,1.4105520832398906,Germany
Brunner2014,Brunner et al 2014,HL,146,1,-0.37,Germany
