bibkey,paper,task,subject,choice,r,country
Kersting2019,Kersting et al 2019,EG,91,5,0.5812330643436872,Germany
Kersting2019,Kersting et al 2019,EG,92,6,0.6413584066787735,Germany
Kersting2019,Kersting et al 2019,EG,93,1,-2.32,Germany
Kersting2019,Kersting et al 2019,EG,94,1,-2.32,Germany
Kersting2019,Kersting et al 2019,EG,95,2,-0.6139923210884444,Germany
Kersting2019,Kersting et al 2019,EG,96,10,0.948492148029618,Germany
Kersting2019,Kersting et al 2019,EG,97,10,0.9786037352168933,Germany
Kersting2019,Kersting et al 2019,EG,98,11,1,Germany
Kersting2019,Kersting et al 2019,EG,99,1,-2.32,Germany
Kersting2019,Kersting et al 2019,EG,100,10,0.9328071520198137,Germany
Kersting2019,Kersting et al 2019,EG,101,1,-2.32,Germany
Kersting2019,Kersting et al 2019,EG,102,3,0.21561466793529693,Germany
Kersting2019,Kersting et al 2019,EG,103,1,-2.32,Germany
Kersting2019,Kersting et al 2019,EG,104,6,0.6764572755945846,Germany
Kersting2019,Kersting et al 2019,EG,105,1,-2.32,Germany
Kersting2019,Kersting et al 2019,EG,106,1,-2.32,Germany
Kersting2019,Kersting et al 2019,EG,107,1,-2.32,Germany
Kersting2019,Kersting et al 2019,EG,108,2,-0.8806186723709104,Germany
Kersting2019,Kersting et al 2019,EG,109,3,0.15783902128227056,Germany
Kersting2019,Kersting et al 2019,EG,110,2,-2.167522800306324,Germany
Kersting2019,Kersting et al 2019,EG,111,2,-1.9910409957403314,Germany
Kersting2019,Kersting et al 2019,EG,112,11,1,Germany
Kersting2019,Kersting et al 2019,EG,113,1,-2.32,Germany
Kersting2019,Kersting et al 2019,EG,114,3,0.06862292272970082,Germany
Kersting2019,Kersting et al 2019,EG,115,7,0.7389704421022907,Germany
Kersting2019,Kersting et al 2019,EG,116,5,0.5552404263103381,Germany
Kersting2019,Kersting et al 2019,EG,117,11,1,Germany
Kersting2019,Kersting et al 2019,EG,118,4,0.4736149246990681,Germany
Kersting2019,Kersting et al 2019,EG,119,2,-0.5906952118105253,Germany
Kersting2019,Kersting et al 2019,EG,120,1,-2.32,Germany
Kersting2019,Kersting et al 2019,EG,121,7,0.7103509000921622,Germany
Kersting2019,Kersting et al 2019,EG,122,3,0.15751212768256667,Germany
Kersting2019,Kersting et al 2019,EG,123,10,0.9054491069400683,Germany
Kersting2019,Kersting et al 2019,EG,124,2,-2.2362827281630597,Germany
Kersting2019,Kersting et al 2019,EG,125,4,0.3383461487200111,Germany
Kersting2019,Kersting et al 2019,EG,126,1,-2.32,Germany
Kersting2019,Kersting et al 2019,EG,127,3,0.054837761083617806,Germany
Kersting2019,Kersting et al 2019,EG,128,8,0.7771967962291092,Germany
Kersting2019,Kersting et al 2019,EG,129,1,-2.32,Germany
Kersting2019,Kersting et al 2019,EG,130,10,0.9616797026479617,Germany
Kersting2019,Kersting et al 2019,EG,131,2,-1.1541311659477649,Germany
Kersting2019,Kersting et al 2019,EG,132,11,1,Germany
Kersting2019,Kersting et al 2019,EG,133,1,-2.32,Germany
Kersting2019,Kersting et al 2019,EG,134,6,0.7054426780948415,Germany
Kersting2019,Kersting et al 2019,EG,135,6,0.6839972153492272,Germany
Kersting2019,Kersting et al 2019,EG,136,3,0.14434174404479566,Germany
Kersting2019,Kersting et al 2019,EG,137,4,0.48735342195257547,Germany
Kersting2019,Kersting et al 2019,EG,138,1,-2.32,Germany
Kersting2019,Kersting et al 2019,EG,139,3,0.03185858559794723,Germany
Kersting2019,Kersting et al 2019,EG,140,11,1,Germany
Kersting2019,Kersting et al 2019,EG,141,6,0.6797923506749793,Germany
Kersting2019,Kersting et al 2019,EG,142,1,-2.32,Germany
Kersting2019,Kersting et al 2019,EG,143,4,0.46179712714627386,Germany
Kersting2019,Kersting et al 2019,EG,144,11,1,Germany
Kersting2019,Kersting et al 2019,EG,145,6,0.6515749460738153,Germany
Kersting2019,Kersting et al 2019,EG,146,1,-2.32,Germany
Kersting2019,Kersting et al 2019,EG,147,11,1,Germany
Kersting2019,Kersting et al 2019,EG,148,1,-2.32,Germany
Kersting2019,Kersting et al 2019,EG,149,3,0.2529186942242086,Germany
Kersting2019,Kersting et al 2019,EG,150,11,1,Germany
Kersting2019,Kersting et al 2019,EG,151,5,0.5459610514622182,Germany
Kersting2019,Kersting et al 2019,EG,152,4,0.3331088691670448,Germany
Kersting2019,Kersting et al 2019,EG,153,1,-2.32,Germany
Kersting2019,Kersting et al 2019,EG,154,3,-0.106675732890144,Germany
Kersting2019,Kersting et al 2019,EG,155,2,-1.368617206129711,Germany
Kersting2019,Kersting et al 2019,EG,156,3,0.11442219010554254,Germany
Kersting2019,Kersting et al 2019,EG,157,1,-2.32,Germany
Kersting2019,Kersting et al 2019,EG,158,1,-2.32,Germany
Kersting2019,Kersting et al 2019,EG,159,3,-0.0622393991984427,Germany
Kersting2019,Kersting et al 2019,EG,160,6,0.6953927903133444,Germany
Kersting2019,Kersting et al 2019,EG,161,4,0.4652974701207131,Germany
Kersting2019,Kersting et al 2019,EG,162,4,0.3755143843777478,Germany
Kersting2019,Kersting et al 2019,EG,163,11,1,Germany
Kersting2019,Kersting et al 2019,EG,164,6,0.663558926449623,Germany
Kersting2019,Kersting et al 2019,EG,165,8,0.7789745657611639,Germany
Kersting2019,Kersting et al 2019,EG,166,1,-2.32,Germany
Kersting2019,Kersting et al 2019,EG,167,1,-2.32,Germany
Kersting2019,Kersting et al 2019,EG,168,2,-1.2522622267110273,Germany
Kersting2019,Kersting et al 2019,EG,169,1,-2.32,Germany
Kersting2019,Kersting et al 2019,EG,170,6,0.7072586550493725,Germany
Kersting2019,Kersting et al 2019,EG,171,3,0.16418698127381504,Germany
Kersting2019,Kersting et al 2019,EG,172,2,-1.168703160691075,Germany
Kersting2019,Kersting et al 2019,EG,173,6,0.6617772447038441,Germany
Kersting2019,Kersting et al 2019,EG,174,11,1,Germany
Kersting2019,Kersting et al 2019,EG,175,10,0.9161963878199458,Germany
Kersting2019,Kersting et al 2019,EG,176,6,0.6626969498442485,Germany
Kersting2019,Kersting et al 2019,EG,177,6,0.6516126685217023,Germany
Kersting2019,Kersting et al 2019,EG,178,6,0.6925632931943982,Germany
Kersting2019,Kersting et al 2019,EG,179,4,0.48627247435040777,Germany
Kersting2019,Kersting et al 2019,EG,180,4,0.3824383371230215,Germany
Kersting2019,Kersting et al 2019,EG,181,11,1,Germany
Kersting2019,Kersting et al 2019,EG,182,4,0.4693766049295664,Germany
Kersting2019,Kersting et al 2019,EG,183,5,0.5875894683017395,Germany
Kersting2019,Kersting et al 2019,EG,184,2,-0.8481414696411229,Germany
Kersting2019,Kersting et al 2019,EG,185,1,-2.32,Germany
Kersting2019,Kersting et al 2019,EG,186,11,1,Germany
Kersting2019,Kersting et al 2019,EG,187,6,0.6705529843154363,Germany
Kersting2019,Kersting et al 2019,EG,188,3,-0.049772106595337394,Germany
Kersting2019,Kersting et al 2019,EG,189,2,-0.8532396043813786,Germany
Kersting2019,Kersting et al 2019,EG,190,11,1,Germany
Kersting2019,Kersting et al 2019,EG,191,6,0.6824169300915673,Germany
Kersting2019,Kersting et al 2019,EG,192,1,-2.32,Germany
Kersting2019,Kersting et al 2019,EG,193,4,0.4791169641260058,Germany
Kersting2019,Kersting et al 2019,EG,194,4,0.3433958840277046,Germany
Kersting2019,Kersting et al 2019,EG,195,5,0.6061462700739503,Germany
Kersting2019,Kersting et al 2019,EG,196,1,-2.32,Germany
Kersting2019,Kersting et al 2019,EG,197,5,0.5453041662601754,Germany
Kersting2019,Kersting et al 2019,EG,198,4,0.39352348318323493,Germany
Kersting2019,Kersting et al 2019,EG,199,4,0.4716816177312285,Germany
