bibkey,paper,task,subject,choice,r,country,age,gender,city,longitude,lattitude
Erkal2022,"Erkal, Gangadharan, and Koh 2022",IG,44,40,0.8368288369533943,Australia,18,1,Melbourne,-37.79822719279415,144.96098472664792
Erkal2022,"Erkal, Gangadharan, and Koh 2022",IG,45,0,-1,Australia,19,1,Melbourne,-37.79822719279415,144.96098472664792
Erkal2022,"Erkal, Gangadharan, and Koh 2022",IG,46,50,1,Australia,20,0,Melbourne,-37.79822719279415,144.96098472664792
Erkal2022,"Erkal, Gangadharan, and Koh 2022",IG,47,25,0.6309297535714603,Australia,26,1,Melbourne,-37.79822719279415,144.96098472664792
Erkal2022,"Erkal, Gangadharan, and Koh 2022",IG,48,25,0.6309297535714603,Australia,19,1,Melbourne,-37.79822719279415,144.96098472664792
Erkal2022,"Erkal, Gangadharan, and Koh 2022",IG,49,50,1,Australia,30,0,Melbourne,-37.79822719279415,144.96098472664792
Erkal2022,"Erkal, Gangadharan, and Koh 2022",IG,50,50,1,Australia,18,1,Melbourne,-37.79822719279415,144.96098472664792
Erkal2022,"Erkal, Gangadharan, and Koh 2022",IG,51,25,0.6309297535714603,Australia,20,0,Melbourne,-37.79822719279415,144.96098472664792
Erkal2022,"Erkal, Gangadharan, and Koh 2022",IG,52,25,0.6309297535714603,Australia,18,1,Melbourne,-37.79822719279415,144.96098472664792
Erkal2022,"Erkal, Gangadharan, and Koh 2022",IG,53,50,1,Australia,18,1,Melbourne,-37.79822719279415,144.96098472664792
Erkal2022,"Erkal, Gangadharan, and Koh 2022",IG,54,50,1,Australia,28,1,Melbourne,-37.79822719279415,144.96098472664792
Erkal2022,"Erkal, Gangadharan, and Koh 2022",IG,55,35,0.7916321530544465,Australia,18,1,Melbourne,-37.79822719279415,144.96098472664792
Erkal2022,"Erkal, Gangadharan, and Koh 2022",IG,56,50,1,Australia,19,0,Melbourne,-37.79822719279415,144.96098472664792
Erkal2022,"Erkal, Gangadharan, and Koh 2022",IG,57,10,2.4094208396531878,Australia,23,1,Melbourne,-37.79822719279415,144.96098472664792
Erkal2022,"Erkal, Gangadharan, and Koh 2022",IG,58,30,0.7304227103091884,Australia,19,0,Melbourne,-37.79822719279415,144.96098472664792
Erkal2022,"Erkal, Gangadharan, and Koh 2022",IG,59,25,0.6309297535714603,Australia,19,0,Melbourne,-37.79822719279415,144.96098472664792
Erkal2022,"Erkal, Gangadharan, and Koh 2022",IG,60,0,-1,Australia,20,1,Melbourne,-37.79822719279415,144.96098472664792
Erkal2022,"Erkal, Gangadharan, and Koh 2022",IG,61,15,-0.6133777550366467,Australia,24,1,Melbourne,-37.79822719279415,144.96098472664792
Erkal2022,"Erkal, Gangadharan, and Koh 2022",IG,62,50,1,Australia,26,0,Melbourne,-37.79822719279415,144.96098472664792
Erkal2022,"Erkal, Gangadharan, and Koh 2022",IG,63,25,0.6309297535714603,Australia,28,0,Melbourne,-37.79822719279415,144.96098472664792
Erkal2022,"Erkal, Gangadharan, and Koh 2022",IG,64,50,1,Australia,22,1,Melbourne,-37.79822719279415,144.96098472664792
Erkal2022,"Erkal, Gangadharan, and Koh 2022",IG,65,50,1,Australia,20,0,Melbourne,-37.79822719279415,144.96098472664792
Erkal2022,"Erkal, Gangadharan, and Koh 2022",IG,66,50,1,Australia,18,0,Melbourne,-37.79822719279415,144.96098472664792
Erkal2022,"Erkal, Gangadharan, and Koh 2022",IG,67,50,1,Australia,23,0,Melbourne,-37.79822719279415,144.96098472664792
Erkal2022,"Erkal, Gangadharan, and Koh 2022",IG,68,50,1,Australia,18,1,Melbourne,-37.79822719279415,144.96098472664792
Erkal2022,"Erkal, Gangadharan, and Koh 2022",IG,69,50,1,Australia,18,0,Melbourne,-37.79822719279415,144.96098472664792
Erkal2022,"Erkal, Gangadharan, and Koh 2022",IG,70,40,0.8368288369533943,Australia,18,1,Melbourne,-37.79822719279415,144.96098472664792
Erkal2022,"Erkal, Gangadharan, and Koh 2022",IG,71,50,1,Australia,20,0,Melbourne,-37.79822719279415,144.96098472664792
Erkal2022,"Erkal, Gangadharan, and Koh 2022",IG,72,50,1,Australia,18,0,Melbourne,-37.79822719279415,144.96098472664792
Erkal2022,"Erkal, Gangadharan, and Koh 2022",IG,73,50,1,Australia,19,0,Melbourne,-37.79822719279415,144.96098472664792
Erkal2022,"Erkal, Gangadharan, and Koh 2022",IG,74,40,0.8368288369533943,Australia,35,0,Melbourne,-37.79822719279415,144.96098472664792
Erkal2022,"Erkal, Gangadharan, and Koh 2022",IG,75,25,0.6309297535714603,Australia,22,1,Melbourne,-37.79822719279415,144.96098472664792
Erkal2022,"Erkal, Gangadharan, and Koh 2022",IG,76,25,0.6309297535714603,Australia,19,1,Melbourne,-37.79822719279415,144.96098472664792
Erkal2022,"Erkal, Gangadharan, and Koh 2022",IG,77,30,0.7304227103091884,Australia,22,0,Melbourne,-37.79822719279415,144.96098472664792
Erkal2022,"Erkal, Gangadharan, and Koh 2022",IG,78,50,1,Australia,18,0,Melbourne,-37.79822719279415,144.96098472664792
Erkal2022,"Erkal, Gangadharan, and Koh 2022",IG,79,35,0.7916321530544465,Australia,27,1,Melbourne,-37.79822719279415,144.96098472664792
Erkal2022,"Erkal, Gangadharan, and Koh 2022",IG,80,25,0.6309297535714603,Australia,33,1,Melbourne,-37.79822719279415,144.96098472664792
Erkal2022,"Erkal, Gangadharan, and Koh 2022",IG,81,50,1,Australia,19,0,Melbourne,-37.79822719279415,144.96098472664792
Erkal2022,"Erkal, Gangadharan, and Koh 2022",IG,82,20,0.41503749927884603,Australia,25,0,Melbourne,-37.79822719279415,144.96098472664792
Erkal2022,"Erkal, Gangadharan, and Koh 2022",IG,83,25,0.6309297535714603,Australia,21,1,Melbourne,-37.79822719279415,144.96098472664792
Erkal2022,"Erkal, Gangadharan, and Koh 2022",IG,84,40,0.8368288369533943,Australia,20,1,Melbourne,-37.79822719279415,144.96098472664792
Erkal2022,"Erkal, Gangadharan, and Koh 2022",IG,85,40,0.8368288369533943,Australia,19,0,Melbourne,-37.79822719279415,144.96098472664792
Erkal2022,"Erkal, Gangadharan, and Koh 2022",IG,86,50,1,Australia,20,1,Melbourne,-37.79822719279415,144.96098472664792
Erkal2022,"Erkal, Gangadharan, and Koh 2022",IG,87,50,1,Australia,41,0,Melbourne,-37.79822719279415,144.96098472664792
Erkal2022,"Erkal, Gangadharan, and Koh 2022",IG,88,50,1,Australia,18,0,Melbourne,-37.79822719279415,144.96098472664792
Erkal2022,"Erkal, Gangadharan, and Koh 2022",IG,89,40,0.8368288369533943,Australia,20,0,Melbourne,-37.79822719279415,144.96098472664792
Erkal2022,"Erkal, Gangadharan, and Koh 2022",IG,90,20,0.41503749927884603,Australia,31,0,Melbourne,-37.79822719279415,144.96098472664792
Erkal2022,"Erkal, Gangadharan, and Koh 2022",IG,91,25,0.6309297535714603,Australia,18,1,Melbourne,-37.79822719279415,144.96098472664792
Erkal2022,"Erkal, Gangadharan, and Koh 2022",IG,92,50,1,Australia,22,0,Melbourne,-37.79822719279415,144.96098472664792
Erkal2022,"Erkal, Gangadharan, and Koh 2022",IG,93,25,0.6309297535714603,Australia,37,0,Melbourne,-37.79822719279415,144.96098472664792
Erkal2022,"Erkal, Gangadharan, and Koh 2022",IG,94,35,0.7916321530544465,Australia,19,1,Melbourne,-37.79822719279415,144.96098472664792
