bibkey,paper,task,subject,choice,r,gender,age,country,soep,dogamble,doinvest,dohealth,doall,treatment,city,longitude,latitude
Frey2017,Frey et al Science Advances 2017,BART,64182801,21.35,0.20018752930145337,1,22,Switzerland,3,1,1,2.375,2.583333333333333,,Basel,7.588576,47.449601
Frey2017,Frey et al Science Advances 2017,BART,64183001,27.5,0.2736318407960199,1,21,Switzerland,5,1,1.25,2.5,2.916666666666667,,Basel,7.588576,47.449601
Frey2017,Frey et al Science Advances 2017,BART,64183101,21.12,0.1976047904191617,1,20,Switzerland,6,1,1,2.125,2.6875,,Basel,7.588576,47.449601
Frey2017,Frey et al Science Advances 2017,BART,64183201,21.85,0.2058407913330193,0,22,Switzerland,3,1.75,1.5,3.5,3.4583333333333335,,Basel,7.588576,47.449601
Frey2017,Frey et al Science Advances 2017,BART,64183301,51.25,0.6677524429967426,0,23,Switzerland,8,1,2,2.75,3.375,,Basel,7.588576,47.449601
Frey2017,Frey et al Science Advances 2017,BART,64183501,30.43,0.3118786512247617,1,24,Switzerland,3,1.5,1.75,2.5,3.0625,,Basel,7.588576,47.449601
Frey2017,Frey et al Science Advances 2017,BART,64184101,30.41,0.3116097960856645,0,23,Switzerland,5,2,1,3.75,3.6875,,Basel,7.588576,47.449601
Frey2017,Frey et al Science Advances 2017,BART,64184701,51.45,0.6721097322011758,1,23,Switzerland,6,1,2.5,3.625,3.3541666666666665,,Basel,7.588576,47.449601
Frey2017,Frey et al Science Advances 2017,BART,64184901,29.95,0.30545639979602246,0,21,Switzerland,8,1,2.25,2,2.625,,Basel,7.588576,47.449601
Frey2017,Frey et al Science Advances 2017,BART,64185101,38.9,0.43658810325476993,1,24,Switzerland,2,1,1,2,2.833333333333333,,Basel,7.588576,47.449601
Frey2017,Frey et al Science Advances 2017,BART,64186001,50.76,0.6571724495080268,1,30,Switzerland,5,1,2,1.75,2.75,,Basel,7.588576,47.449601
Frey2017,Frey et al Science Advances 2017,BART,64186401,52.35,0.6920026437541308,1,22,Switzerland,4,1,2,3,3.25,,Basel,7.588576,47.449601
Frey2017,Frey et al Science Advances 2017,BART,64186801,31.74,0.3297319758986079,0,31,Switzerland,7,2.25,1,2.5,3.2291666666666665,,Basel,7.588576,47.449601
Frey2017,Frey et al Science Advances 2017,BART,64187001,63.31,0.9786674911114547,1,26,Switzerland,7,1,1,2.375,3.4166666666666665,,Basel,7.588576,47.449601
Frey2017,Frey et al Science Advances 2017,BART,64187101,33.33,0.3520650681314038,0,24,Switzerland,7,1,1,2.75,3.4583333333333335,,Basel,7.588576,47.449601
Frey2017,Frey et al Science Advances 2017,BART,64187301,50.29,0.647149658988547,0,28,Switzerland,8,1.75,2,3.75,4.0625,,Basel,7.588576,47.449601
Frey2017,Frey et al Science Advances 2017,BART,64188401,20.12,0.18650352243233223,1,24,Switzerland,2,1,1,1.625,2.458333333333333,,Basel,7.588576,47.449601
Frey2017,Frey et al Science Advances 2017,BART,64188901,65.85,1.0595333869670152,1,27,Switzerland,7,1,1,3.875,3.2708333333333335,,Basel,7.588576,47.449601
Frey2017,Frey et al Science Advances 2017,BART,64189101,27.84,0.2779552715654952,1,21,Switzerland,7,1,1,1.75,2.541666666666667,,Basel,7.588576,47.449601
Frey2017,Frey et al Science Advances 2017,BART,64189201,19.59,0.18070288718752883,1,23,Switzerland,9,1,1.75,2.25,3.125,,Basel,7.588576,47.449601
Frey2017,Frey et al Science Advances 2017,BART,64190101,37.17,0.4092260266431796,1,22,Switzerland,5,1,1.25,2.25,2.979166666666667,,Basel,7.588576,47.449601
Frey2017,Frey et al Science Advances 2017,BART,64190201,38.24,0.4260249554367202,1,21,Switzerland,1,1,2.75,2.125,3.2291666666666665,,Basel,7.588576,47.449601
Frey2017,Frey et al Science Advances 2017,BART,64190401,29.84,0.30399348003259985,0,23,Switzerland,3,1.25,1.25,2.375,3.3541666666666665,,Basel,7.588576,47.449601
Frey2017,Frey et al Science Advances 2017,BART,64190501,30.12,0.3077237433592154,1,26,Switzerland,3,1,3,1.125,2.6875,,Basel,7.588576,47.449601
Frey2017,Frey et al Science Advances 2017,BART,64191901,20,0.18518518518518517,0,30,Switzerland,7,1,2,2.375,3.0416666666666665,,Basel,7.588576,47.449601
Frey2017,Frey et al Science Advances 2017,BART,64192101,73.8,1.3616236162361623,0,26,Switzerland,4,1,1.75,1.875,2.791666666666667,,Basel,7.588576,47.449601
Frey2017,Frey et al Science Advances 2017,BART,64192801,50.62,0.6541742052209873,0,31,Switzerland,4,1.25,3.5,2,3.6041666666666665,,Basel,7.588576,47.449601
Frey2017,Frey et al Science Advances 2017,BART,64193501,34.48,0.36869118905047044,1,26,Switzerland,3,1,1,2.25,3.125,,Basel,7.588576,47.449601
Frey2017,Frey et al Science Advances 2017,BART,64193601,53.89,0.7271623262717583,0,21,Switzerland,7,1,1,3.375,3.2291666666666665,,Basel,7.588576,47.449601
Frey2017,Frey et al Science Advances 2017,BART,64194201,31,0.31958762886597936,0,26,Switzerland,2,1,2.25,2.125,2.9375,,Basel,7.588576,47.449601
Frey2017,Frey et al Science Advances 2017,BART,64194501,49.47,0.6299503374506558,0,21,Switzerland,7,1.25,1,3.75,3.7083333333333335,,Basel,7.588576,47.449601
Frey2017,Frey et al Science Advances 2017,BART,64194701,11.08,0.09476565172767705,0,33,Switzerland,6,1.5,1,2.75,3.3958333333333335,,Basel,7.588576,47.449601
Frey2017,Frey et al Science Advances 2017,BART,64195101,34.32,0.36635354397950465,0,23,Switzerland,4,2,2,3.5,3.625,,Basel,7.588576,47.449601
Frey2017,Frey et al Science Advances 2017,BART,64195201,50.12,0.6435541859270673,1,22,Switzerland,4,1.5,1.75,3.125,3.6666666666666665,,Basel,7.588576,47.449601
Frey2017,Frey et al Science Advances 2017,BART,64195501,54,0.7297297297297297,1,20,Switzerland,6,1,1,4,3.7916666666666665,,Basel,7.588576,47.449601
Frey2017,Frey et al Science Advances 2017,BART,64195601,33.89,0.36011050897885455,0,32,Switzerland,8,1.5,2,3,3.6875,,Basel,7.588576,47.449601
Frey2017,Frey et al Science Advances 2017,BART,64196601,33.7,0.35737009544008486,1,26,Switzerland,4,1.5,1.5,2.5,3.4583333333333335,,Basel,7.588576,47.449601
Frey2017,Frey et al Science Advances 2017,BART,64196701,53.43,0.716507979080059,1,20,Switzerland,6,1.25,1.5,2.75,3.375,,Basel,7.588576,47.449601
Frey2017,Frey et al Science Advances 2017,BART,64197801,60.71,0.9022142963293209,1,21,Switzerland,8,1.75,2,3,3.6875,,Basel,7.588576,47.449601
Frey2017,Frey et al Science Advances 2017,BART,64198101,37.71,0.4176542252741168,1,21,Switzerland,6,1,1,3,2.8125,,Basel,7.588576,47.449601
Frey2017,Frey et al Science Advances 2017,BART,64198701,42.5,0.49707602339181284,0,23,Switzerland,3,1,1.5,3.125,3.3125,,Basel,7.588576,47.449601
Frey2017,Frey et al Science Advances 2017,BART,64199201,46.81,0.5765488360635547,1,23,Switzerland,5,1,1,1.75,2.729166666666667,,Basel,7.588576,47.449601
Frey2017,Frey et al Science Advances 2017,BART,64199301,42.11,0.4902782628943998,1,20,Switzerland,8,1,1,4,3.0625,,Basel,7.588576,47.449601
Frey2017,Frey et al Science Advances 2017,BART,64199601,51.53,0.6738590296848438,0,23,Switzerland,7,1.75,1.5,3.875,3.8333333333333335,,Basel,7.588576,47.449601
Frey2017,Frey et al Science Advances 2017,BART,64200501,46,0.5609756097560976,0,20,Switzerland,4,1,1,2.125,2.791666666666667,,Basel,7.588576,47.449601
Frey2017,Frey et al Science Advances 2017,BART,64200601,46.24,0.5655577299412917,1,30,Switzerland,8,1,1,3.125,3.25,,Basel,7.588576,47.449601
Frey2017,Frey et al Science Advances 2017,BART,64200901,46.94,0.5790772267456205,1,32,Switzerland,6,1,2.25,1.625,3.2083333333333335,,Basel,7.588576,47.449601
Frey2017,Frey et al Science Advances 2017,BART,64202001,50.06,0.6422889402104183,1,20,Switzerland,2,1,1,2.25,2.666666666666667,,Basel,7.588576,47.449601
Frey2017,Frey et al Science Advances 2017,BART,64202201,42.4,0.4953271028037383,0,23,Switzerland,6,1,1,2.5,3.1458333333333335,,Basel,7.588576,47.449601
Frey2017,Frey et al Science Advances 2017,BART,64202501,15.59,0.13868872876078642,1,21,Switzerland,8,1,1,1.25,2.229166666666667,,Basel,7.588576,47.449601
Frey2017,Frey et al Science Advances 2017,BART,64202601,42.37,0.49480322316944997,1,25,Switzerland,3,1,1,2.625,3,,Basel,7.588576,47.449601
Frey2017,Frey et al Science Advances 2017,BART,64202701,35.41,0.3824387082838319,1,22,Switzerland,6,1,1.75,1.875,3.1041666666666665,,Basel,7.588576,47.449601
Frey2017,Frey et al Science Advances 2017,BART,64202901,39.67,0.4491112872183856,0,21,Switzerland,5,1.75,2.75,3.25,3.7083333333333335,,Basel,7.588576,47.449601
Frey2017,Frey et al Science Advances 2017,BART,64204201,49.67,0.634112089876165,0,25,Switzerland,2,1,1,1.375,2.270833333333333,,Basel,7.588576,47.449601
Frey2017,Frey et al Science Advances 2017,BART,64204501,50.94,0.6610433428497274,0,22,Switzerland,4,1,1,3.625,3.3125,,Basel,7.588576,47.449601
Frey2017,Frey et al Science Advances 2017,BART,64204601,39.9,0.452894438138479,1,21,Switzerland,5,1,1,2.25,2.791666666666667,,Basel,7.588576,47.449601
Frey2017,Frey et al Science Advances 2017,BART,64204701,60.43,0.8943318040550541,1,28,Switzerland,8,1,1.75,1.625,3.4583333333333335,,Basel,7.588576,47.449601
Frey2017,Frey et al Science Advances 2017,BART,64205801,48,0.6,1,21,Switzerland,6,1,1.75,2.375,3.3125,,Basel,7.588576,47.449601
Frey2017,Frey et al Science Advances 2017,BART,64205901,32.32,0.3377926421404682,0,25,Switzerland,4,1,1,2.75,2.770833333333333,,Basel,7.588576,47.449601
Frey2017,Frey et al Science Advances 2017,BART,64206701,35.05,0.3770844540075309,1,21,Switzerland,4,1.25,2.75,2.125,3.3958333333333335,,Basel,7.588576,47.449601
Frey2017,Frey et al Science Advances 2017,BART,64207301,41.68,0.4828544949026877,1,23,Switzerland,6,1,1,3.875,3.2083333333333335,,Basel,7.588576,47.449601
Frey2017,Frey et al Science Advances 2017,BART,64207801,38.42,0.4288903773163653,0,22,Switzerland,7,1.75,3.75,3.375,3.8541666666666665,,Basel,7.588576,47.449601
