bg.village,unique.id,age,female,education,sufficient.money,a1,a2,a3,a4,a5,consistency,RA,T.R,T.B,T.H,risktime,enumerator.code,RA.all
Dorayi,10708,28,FEMALE,No Education,YES,1,0,0,0,0,1,1,0,1,0,47,107,1
Ja'en,12905,38,FEMALE,No Education,YES,1,1,1,0,0,1,3,0,0,1,18,129,3
Dorayi,11205,67,MALE,SS 3,NO,1,1,0,0,0,1,2,0,0,1,23,112,2
Ja'en,13103,42,FEMALE,No Education,YES,1,1,1,0,0,1,3,1,0,0,8,131,3
Ja'en,12406,45,MALE,Postgraduate,YES,1,1,0,0,0,1,2,0,0,1,11,124,2
Ja'en,13508,32,FEMALE,JSS 2,YES,1,1,1,0,0,1,3,0,0,1,13,135,3
Dorayi,10608,40,MALE,SS 3,YES,1,1,1,1,1,1,5,1,0,0,27,106,5
Ja'en,12901,27,FEMALE,No Education,YES,1,1,1,1,0,1,4,1,0,0,276,129,4
Ja'en,13604,30,FEMALE,SS 3,YES,1,0,0,0,0,1,1,1,0,0,22,136,1
Dorayi,11707,43,MALE,SS 3,YES,1,1,0,0,0,1,2,0,1,0,9,117,2
Ja'en,12305,23,FEMALE,SS 3,YES,1,0,0,0,0,1,1,1,0,0,12,123,1
Dorayi,11607,29,FEMALE,Post-secondary: complete,YES,1,1,1,1,1,1,5,1,0,0,133,116,5
Ja'en,13304,46,MALE,Post-secondary: complete,NO,1,1,1,0,0,1,3,0,1,0,79,133,3
Gidan Maharba,14302,43,MALE,JSS 3,YES,1,1,0,0,0,1,2,1,0,0,17,143,2
Gidan Maharba,14501,27,FEMALE,Primary six,YES,1,1,1,1,1,1,5,0,1,0,457,145,5
Gidan Maharba,14508,29,FEMALE,SS 3,YES,1,1,1,1,0,1,4,0,0,1,14,145,4
Ja'en,13005,40,MALE,SS 3,NO,1,1,1,1,0,1,4,0,0,1,16,130,4
Dorayi,10701,30,MALE,No Education,YES,1,0,0,0,0,1,1,0,0,1,79,107,1
Gidan Maharba,13806,35,MALE,SS 3,YES,1,1,1,1,1,1,5,0,0,1,19,138,5
Gidan Maharba,13705,40,MALE,No Education,YES,1,1,1,0,0,1,3,0,0,1,183,137,3
Ja'en,12508,40,FEMALE,Vocational complete,YES,1,1,0,0,0,1,2,0,0,1,11,125,2
Dorayi,10903,40,FEMALE,No Education,YES,0,0,0,0,1,0,,0,1,0,23,109,1
Ja'en,12206,65,MALE,Post-secondary: complete,YES,1,1,1,1,0,1,4,0,1,0,13,122,4
Ja'en,12804,35,FEMALE,No Education,YES,1,1,1,1,0,1,4,0,0,1,136,128,4
Gidan Maharba,13804,40,MALE,SS 3,YES,1,1,1,1,1,1,5,0,0,1,5,138,5
Ja'en,13401,35,FEMALE,SS 3,YES,1,1,0,0,0,1,2,0,0,1,112,134,2
Dorayi,11106,60,MALE,No Education,NO,1,1,1,0,0,1,3,1,0,0,9,111,3
Gidan Maharba,14105,42,MALE,Post-secondary: complete,YES,1,1,1,0,0,1,3,1,0,0,10,141,3
Ja'en,12204,30,FEMALE,No Education,YES,1,1,1,0,0,1,3,1,0,0,11,122,3
Ja'en,12106,53,MALE,Postgraduate,YES,1,1,1,1,1,1,5,0,0,1,13,121,5
Gidan Maharba,13901,40,MALE,No Education,NO,1,1,1,1,1,1,5,0,1,0,156,139,5
Dorayi,10401,35,FEMALE,Primary three,YES,1,1,1,0,0,1,3,1,0,0,249,104,3
Ja'en,13101,60,MALE,No Education,NO,1,1,1,1,0,1,4,1,0,0,209,131,4
Dorayi,10504,30,FEMALE,Post-secondary: incomplete,YES,1,1,1,1,0,1,4,0,1,0,96,105,4
Ja'en,12101,39,MALE,Postgraduate,YES,1,1,1,0,0,1,3,0,1,0,12,121,3
Dorayi,10306,28,FEMALE,No Education,YES,1,1,1,1,1,1,5,0,0,1,64,103,5
Ja'en,12207,30,FEMALE,SS 3,YES,1,1,1,1,0,1,4,0,0,1,9,122,4
Ja'en,12303,40,MALE,Post-secondary: complete,YES,1,1,0,0,0,1,2,0,0,1,20,123,2
Gidan Maharba,14107,65,MALE,Post-secondary: complete,YES,1,1,1,0,0,1,3,1,0,0,8,141,3
Ja'en,12507,35,FEMALE,SS 3,YES,1,1,0,0,0,1,2,0,1,0,10,125,2
Dorayi,11108,60,MALE,No Education,NO,1,1,1,0,0,1,3,0,0,1,14,111,3
Ja'en,11902,30,FEMALE,No Education,NO,1,1,0,0,0,1,2,1,0,0,8,119,2
Dorayi,10607,37,MALE,Post-secondary: incomplete,YES,1,1,1,1,1,1,5,0,1,0,62,106,5
Ja'en,12705,32,FEMALE,SS 3,YES,1,1,0,0,0,1,2,0,1,0,13,127,2
Dorayi,10106,25,FEMALE,Post-secondary: complete,YES,1,1,0,0,0,1,2,0,0,1,11,101,2
Ja'en,13505,40,FEMALE,SS 3,YES,1,1,1,0,0,1,3,0,0,1,9,135,3
Dorayi,11003,40,FEMALE,Primary five,NO,1,1,1,1,0,1,4,1,0,0,13,110,4
Ja'en,13107,40,MALE,No Education,YES,1,1,1,0,0,1,3,1,0,0,19,131,3
Ja'en,13608,50,MALE,SS 3,YES,0,0,0,0,0,1,0,1,0,0,11,136,0
Gidan Maharba,13803,50,MALE,Postgraduate,YES,0,0,0,0,0,1,0,0,0,1,17,138,0
Gidan Maharba,14402,35,MALE,Postgraduate,YES,1,1,1,1,1,1,5,0,0,1,99,144,5
Ja'en,12603,53,MALE,Post-secondary: complete,YES,1,1,1,0,0,1,3,0,1,0,12,126,3
Ja'en,12807,25,FEMALE,Post-secondary: incomplete,YES,1,1,0,0,0,1,2,1,0,0,118,128,2
Gidan Maharba,14104,40,MALE,SS 3,NO,1,1,1,1,0,1,4,1,0,0,9,141,4
Dorayi,10702,51,MALE,Primary six,YES,1,0,0,0,0,1,1,0,0,1,32,107,1
Dorayi,10101,43,FEMALE,Primary six,NO,1,1,1,0,0,1,3,0,1,0,12,101,3
Ja'en,12803,35,FEMALE,No Education,NO,1,1,1,1,0,1,4,1,0,0,112,128,4
Ja'en,13406,32,FEMALE,SS 3,YES,1,1,0,0,0,1,2,1,0,0,24,134,2
Dorayi,10804,36,MALE,Primary: One,YES,1,1,1,1,1,1,5,1,0,0,13,108,5
Dorayi,10806,50,MALE,Primary four,YES,1,1,1,1,1,1,5,1,0,0,13,108,5
Dorayi,10801,58,MALE,JSS 1,YES,1,1,1,0,0,1,3,0,1,0,21,108,3
Dorayi,11306,40,MALE,Primary six,YES,1,1,1,0,0,1,3,0,1,0,79,113,3
Gidan Maharba,14408,30,FEMALE,JSS 3,YES,1,1,1,1,1,1,5,0,1,0,10,144,5
Ja'en,12805,40,FEMALE,JSS 3,NO,1,1,1,1,0,1,4,0,0,1,14,128,4
Dorayi,10507,35,FEMALE,No Education,YES,1,1,1,1,1,1,5,1,0,0,65,105,5
Gidan Maharba,13907,35,MALE,SS 3,YES,0,0,0,0,0,1,0,1,0,0,39,139,0
Gidan Maharba,13703,40,MALE,SS 3,YES,1,1,1,1,0,1,4,1,0,0,154,137,4
Dorayi,10107,65,MALE,No Education,NO,1,1,0,0,0,1,2,1,0,0,10,101,2
Dorayi,10606,43,MALE,SS 3,YES,1,1,1,1,1,1,5,0,0,1,62,106,5
Ja'en,13606,50,FEMALE,No Education,NO,1,1,0,0,0,1,2,0,1,0,12,136,2
Ja'en,13205,25,FEMALE,SS 3,YES,1,1,1,0,0,1,3,1,0,0,11,132,3
Dorayi,10508,40,FEMALE,SS 3,YES,1,1,1,1,1,1,5,0,0,1,14,105,5
Ja'en,13501,63,MALE,Postgraduate,YES,1,1,1,1,0,1,4,1,0,0,291,135,4
Dorayi,10407,56,MALE,No Education,YES,1,1,1,0,0,1,3,0,0,1,12,104,3
Gidan Maharba,14503,34,FEMALE,Primary six,YES,1,1,1,1,0,1,4,0,1,0,248,145,4
Gidan Maharba,14502,70,MALE,Post-secondary: complete,YES,1,1,1,0,0,1,3,1,0,0,296,145,3
Dorayi,11305,51,MALE,SS 3,YES,1,1,1,0,0,1,3,0,1,0,10,113,3
Dorayi,10704,47,MALE,Primary six,YES,1,0,0,0,0,1,1,0,1,0,64,107,1
Dorayi,11606,37,FEMALE,Primary six,YES,0,0,0,0,0,1,0,0,1,0,60,116,0
Ja'en,12708,35,FEMALE,Primary six,YES,1,1,0,0,0,1,2,0,0,1,28,127,2
Dorayi,11107,50,MALE,Post-secondary: complete,YES,1,1,1,0,0,1,3,1,0,0,12,111,3
Gidan Maharba,14203,40,MALE,Post-secondary: complete,YES,1,1,0,0,0,1,2,0,1,0,30,142,2
Ja'en,13503,45,FEMALE,SS 3,NO,1,1,1,1,0,1,4,0,1,0,207,135,4
Ja'en,13507,50,FEMALE,No Education,YES,1,1,1,1,0,1,4,0,1,0,11,135,4
Dorayi,10105,32,FEMALE,SS 3,YES,1,1,1,0,0,1,3,0,1,0,9,101,3
Gidan Maharba,14102,43,MALE,SS 3,YES,1,1,1,0,0,1,3,0,1,0,11,141,3
Ja'en,13008,45,FEMALE,SS 3,NO,1,1,1,1,0,1,4,1,0,0,13,130,4
Ja'en,12903,39,MALE,No Education,YES,1,1,1,0,0,1,3,0,1,0,11,129,3
Ja'en,13607,35,FEMALE,Primary six,YES,0,0,0,0,0,1,0,0,1,0,10,136,0
Ja'en,12102,52,MALE,Postgraduate,NO,1,1,1,1,0,1,4,1,0,0,22,121,4
Dorayi,10206,25,FEMALE,No Education,YES,1,1,1,1,1,1,5,1,0,0,14,102,5
Dorayi,11605,37,FEMALE,No Education,YES,1,1,1,1,1,1,5,0,0,1,97,116,5
Ja'en,12202,35,MALE,Primary four,YES,1,1,1,1,0,1,4,0,0,1,43,122,4
Dorayi,11002,30,FEMALE,No Education,YES,1,1,1,1,1,1,5,0,1,0,34,110,5
Gidan Maharba,13704,35,MALE,Post-secondary: complete,YES,0,0,0,0,0,1,0,0,1,0,76,137,0
Dorayi,11502,45,MALE,JSS 1,YES,0,0,1,0,1,0,,0,0,1,177,115,2
Dorayi,11808,30,FEMALE,No Education,YES,1,0,0,0,0,1,1,0,0,1,87,118,1
Ja'en,13307,27,FEMALE,Post-secondary: complete,YES,1,1,1,0,0,1,3,0,0,1,95,133,3
Ja'en,12806,40,FEMALE,Post-secondary: complete,YES,1,1,1,0,0,1,3,0,1,0,23,128,3
Ja'en,12301,30,FEMALE,SS 3,YES,1,0,0,0,0,1,1,0,1,0,11,123,1
Dorayi,10904,30,FEMALE,SS 3,YES,0,0,0,0,1,0,,0,0,1,21,109,1
Dorayi,11704,46,MALE,SS 3,YES,1,1,0,0,0,1,2,1,0,0,11,117,2
