bg.village,unique.id,age,female,education,sufficient.money,a1,a2,a3,a4,a5,consistency,RA,T.R,T.B,T.H,risktime,enumerator.code,RA.all
Dorayi,10605,55,MALE,SS 3,YES,1,1,1,1,1,1,5,0,1,0,19,106,5
Ja'en,13308,75,FEMALE,No Education,NO,1,1,1,1,0,1,4,0,1,0,18,133,4
Ja'en,13001,60,MALE,SS 3,YES,1,1,1,1,0,1,4,0,0,1,27,130,4
Dorayi,10408,40,MALE,JSS 1,NO,1,1,1,0,0,1,3,0,0,1,9,104,3
Dorayi,11506,68,MALE,No Education,YES,1,1,0,0,1,0,,0,1,0,12,115,3
Ja'en,13506,34,FEMALE,Primary six,YES,1,1,1,0,0,1,3,0,1,0,8,135,3
Ja'en,13605,40,MALE,SS 3,YES,1,1,1,0,0,1,3,0,0,1,26,136,3
Dorayi,10308,40,MALE,Primary: Two,YES,1,1,1,1,1,1,5,0,0,1,43,103,5
Ja'en,12403,67,MALE,Postgraduate,YES,1,1,1,1,0,1,4,1,0,0,16,124,4
Gidan Maharba,13701,34,MALE,No Education,YES,0,0,0,0,0,1,0,1,0,0,97,137,0
Gidan Maharba,14305,58,MALE,Post-secondary: complete,YES,1,1,1,1,1,1,5,1,0,0,94,143,5
Ja'en,12302,32,FEMALE,Post-secondary: complete,YES,1,0,0,0,0,1,1,0,1,0,11,123,1
Ja'en,12701,35,FEMALE,SS 3,NO,1,0,0,0,0,1,1,1,0,0,77,127,1
Gidan Maharba,13903,47,MALE,Post-secondary: incomplete,YES,1,1,1,1,1,1,5,1,0,0,114,139,5
Dorayi,11206,34,FEMALE,Primary three,YES,1,1,1,1,0,1,4,1,0,0,19,112,4
Gidan Maharba,14207,33,MALE,SS 3,YES,1,1,1,0,0,1,3,0,0,1,9,142,3
Ja'en,13202,50,MALE,SS 3,YES,1,1,1,0,0,1,3,0,0,1,13,132,3
Gidan Maharba,14101,33,MALE,Postgraduate,YES,1,1,1,1,0,1,4,1,0,0,156,141,4
Ja'en,13204,45,MALE,SS 3,YES,1,1,1,0,0,1,3,1,0,0,10,132,3
Ja'en,13203,32,MALE,SS 3,YES,1,1,1,0,0,1,3,0,0,1,8,132,3
Ja'en,12904,47,MALE,Post-secondary: complete,YES,1,1,1,1,1,1,5,0,0,1,138,129,5
Dorayi,11602,35,MALE,Postgraduate,YES,1,1,0,0,0,1,2,0,0,1,155,116,2
Ja'en,12801,45,MALE,Post-secondary: complete,NO,1,1,1,0,0,1,3,0,1,0,57,128,3
Dorayi,10501,50,MALE,No Education,NO,1,1,1,1,1,1,5,0,1,0,146,105,5
Dorayi,10601,39,MALE,SS 3,YES,0,0,0,0,0,1,0,0,1,0,240,106,0
Dorayi,11302,60,MALE,Post-secondary: complete,NO,1,1,1,0,0,1,3,0,0,1,190,113,3
Gidan Maharba,14003,41,FEMALE,SS 3,YES,1,1,1,1,1,1,5,0,0,1,299,140,5
Dorayi,11708,31,FEMALE,Post-secondary: complete,YES,1,1,1,0,0,1,3,0,1,0,10,117,3
Dorayi,11404,35,MALE,SS 3,YES,1,1,1,0,0,1,3,0,0,1,65,114,3
Ja'en,13207,32,FEMALE,Primary six,YES,1,1,1,0,0,1,3,1,0,0,27,132,3
Ja'en,13104,50,MALE,No Education,NO,1,1,0,0,0,1,2,1,0,0,25,131,2
Dorayi,10302,29,MALE,No Education,YES,1,1,1,1,1,1,5,0,0,1,179,103,5
Gidan Maharba,14007,30,FEMALE,JSS 3,YES,1,1,1,1,1,1,5,0,0,1,183,140,5
Gidan Maharba,14505,30,FEMALE,Primary six,YES,1,1,1,0,0,1,3,0,1,0,179,145,3
Ja'en,12203,41,MALE,No Education,YES,1,1,1,0,0,1,3,1,0,0,9,122,3
Gidan Maharba,14304,55,MALE,No Education,YES,1,1,0,0,0,1,2,0,1,0,37,143,2
Dorayi,10807,65,MALE,Primary four,YES,0,0,0,0,0,1,0,0,1,0,10,108,0
Ja'en,13301,26,FEMALE,Primary three,YES,1,0,0,0,0,1,1,0,0,1,114,133,1
Ja'en,12001,41,MALE,Post-secondary: complete,YES,1,1,1,0,0,1,3,1,0,0,11,120,3
Dorayi,11208,55,MALE,SS 3,NO,1,1,1,1,0,1,4,0,0,1,29,112,4
Dorayi,11006,32,FEMALE,No Education,NO,1,1,0,0,0,1,2,0,0,1,13,110,2
Dorayi,11801,30,FEMALE,Primary six,NO,1,1,0,0,0,1,2,0,0,1,127,118,2
Dorayi,10907,31,FEMALE,SS 1,YES,0,0,0,1,1,0,,0,1,0,18,109,2
Gidan Maharba,14205,43,MALE,Post-secondary: complete,YES,1,1,1,1,0,1,4,1,0,0,12,142,4
Ja'en,13208,35,FEMALE,SS 3,YES,1,1,1,0,0,1,3,0,1,0,14,132,3
Ja'en,12405,40,FEMALE,SS 3,YES,1,1,1,1,0,1,4,1,0,0,10,124,4
Gidan Maharba,14103,40,MALE,SS 3,YES,1,1,1,0,0,1,3,1,0,0,13,141,3
Dorayi,10208,45,MALE,No Education,YES,1,1,1,1,1,1,5,1,0,0,9,102,5
Dorayi,10808,49,MALE,Primary: Two,YES,1,1,1,1,1,1,5,1,0,0,9,108,5
Gidan Maharba,14507,33,FEMALE,Post-secondary: complete,YES,1,1,1,0,0,1,3,1,0,0,140,145,3
Dorayi,11101,50,MALE,SS 3,YES,1,1,0,0,0,1,2,0,1,0,14,111,2
Ja'en,12703,33,FEMALE,JSS 3,YES,1,0,0,0,0,1,1,0,1,0,48,127,1
Gidan Maharba,14002,45,MALE,SS 3,YES,1,1,1,1,1,1,5,0,0,1,328,140,5
