enumerator_code,id,education,male,T_R,T_B,T_H,a1,a2,a3,a4,a5,RA,risktime,consistency,RA_all,age,sufficient_money,gamma,pay,school_code
5,280,12,0,0,0,1,0,0,0,0,0,0,6.1944056,1,0,48,1,1,0,5
9,281,1,0,1,0,0,0,1,1,1,1,,4.7874918,0,4,55,0,0,2,5
7,282,7,0,0,1,0,1,1,0,1,1,,4.8283138,0,4,26,0,.5,1,5
12,283,10,1,0,0,1,1,0,1,0,0,,5.7037826,0,2,37,0,.82999998,0,5
9,284,7,0,0,1,0,0,0,0,0,0,0,5.1929569,1,0,40,1,1,1,5
6,285,8,0,0,0,1,1,1,1,1,0,4,5.1059456,1,4,35,0,1,0,5
5,286,13,0,1,0,0,1,1,0,0,1,,4.89784,0,3,33,1,.67000002,2,6
3,287,1,0,0,0,1,1,1,1,0,0,3,4.7273879,1,3,33,1,1,0,6
3,289,12,0,0,1,0,1,1,0,0,0,2,4.6443911,1,2,24,1,1,1,6
4,290,10,0,1,0,0,1,1,1,0,0,3,5.0039463,1,3,30,1,1,2,6
13,294,8,0,0,1,0,0,0,0,0,0,0,4.7874918,1,0,25,1,1,1,6
10,295,7,0,0,1,0,1,1,0,0,1,,4.4543471,0,3,41,1,.67000002,1,6
4,296,7,0,0,0,1,1,1,0,1,0,,4.8903489,0,3,34,1,.82999998,0,6
7,298,17,0,0,1,0,1,0,1,1,1,,4.6443911,0,4,40,1,.25,1,6
11,300,15,1,0,1,0,1,1,1,1,0,4,4.7874918,1,4,24,1,1,1,6
10,301,10,0,0,1,0,0,1,1,1,1,,4.7004805,0,4,24,1,0,1,6
9,302,13,0,0,0,1,0,0,0,0,0,0,4.0943446,1,0,30,1,1,0,6
8,303,7,0,0,1,0,1,1,1,0,0,3,5.5451775,1,3,42,0,1,1,6
11,304,1,0,0,0,1,0,0,0,0,0,0,4.0943446,1,0,64,1,1,0,6
13,305,1,1,0,1,0,1,1,1,1,1,5,5.1929569,1,5,39,1,1,1,6
8,306,13,0,0,0,1,1,1,1,0,0,3,5.267858,1,3,38,0,1,0,6
10,307,7,0,0,0,1,1,1,1,1,1,5,3.6888795,1,5,29,1,1,0,6
4,309,13,0,0,1,0,1,1,1,0,0,3,4.6539602,1,3,29,1,1,1,6
7,310,7,0,0,1,0,1,0,0,0,0,1,3.9120231,1,1,63,1,1,1,6
11,311,7,0,0,1,0,1,1,0,0,0,2,4.0943446,1,2,24,1,1,1,6
3,312,1,1,0,0,1,1,1,1,1,1,5,4.8040209,1,5,52,0,1,0,6
4,314,4,0,1,0,0,0,0,0,0,0,0,5.1532917,1,0,28,1,1,2,6
9,315,7,0,1,0,0,0,0,0,0,0,0,,1,0,43,1,1,2,3
5,316,7,0,0,1,0,1,1,0,0,0,2,5.0238805,1,2,41,1,1,1,3
8,317,16,1,0,0,1,0,0,0,0,0,0,5.0039463,1,0,39,1,1,0,3
3,319,3,0,0,1,0,1,0,0,0,0,1,4.7791233,1,1,37,0,1,1,3
7,320,4,0,0,0,1,1,0,0,0,1,,3.6888795,0,2,27,1,.5,0,3
2,323,3,0,0,1,0,1,1,0,0,0,2,6.3969297,1,2,56,1,1,1,4
12,325,1,0,0,1,0,1,1,0,0,0,2,4.7874918,1,2,31,0,1,1,4
9,327,16,0,1,0,0,0,0,0,0,0,0,4.7874918,1,0,28,1,1,2,6
12,328,7,0,1,0,0,0,0,0,0,0,0,4.7874918,1,0,26,0,1,2,6
12,329,13,0,0,0,1,1,0,1,0,0,,5.1929569,0,2,36,1,.82999998,0,6
12,330,13,0,1,0,0,0,0,0,0,0,0,4.7874918,1,0,30,0,1,2,6
8,331,13,0,0,1,0,1,1,1,0,0,3,5.7037826,1,3,47,0,1,1,6
9,332,10,0,1,0,0,1,1,0,0,0,2,4.7874918,1,2,25,1,1,2,6
3,333,8,0,0,0,1,1,1,0,0,0,2,4.89784,1,2,56,1,1,0,6
5,334,13,0,1,0,0,1,1,0,0,0,2,4.9972124,1,2,34,1,1,2,6
5,335,10,0,0,1,0,1,1,0,0,0,2,5.4764633,1,2,27,1,1,1,6
7,336,3,0,1,0,0,0,0,0,0,0,0,4.9698133,1,0,30,1,1,2,6
7,337,1,0,0,1,0,1,1,1,1,1,5,5.5606818,1,5,68,0,1,1,6
8,338,7,0,1,0,0,0,0,0,0,0,0,4.8520303,1,0,38,0,1,2,6
4,339,10,0,1,0,0,1,1,0,0,0,2,5.2983174,1,2,24,1,1,2,6
7,340,7,0,1,0,0,0,0,0,0,0,0,4.7874918,1,0,38,1,1,2,6
9,343,15,0,0,0,1,0,0,0,0,0,0,4.7874918,1,0,43,0,1,0,6
11,344,15,1,1,0,0,1,1,0,0,1,,4.7874918,0,3,27,1,.67000002,2,3
