enumerator_code,id,education,male,T_R,T_B,T_H,a1,a2,a3,a4,a5,RA,risktime,consistency,RA_all,age,sufficient_money,gamma,pay,school_code
9,98,16,1,0,1,0,1,1,0,1,0,,4.7874918,0,3,36,1,.82999998,1,12
13,100,7,0,1,0,0,1,1,0,1,0,,5.5451775,0,3,33,1,.82999998,2,12
10,102,10,0,0,1,0,0,0,0,0,0,0,4.9416423,1,0,40,1,1,1,12
3,103,1,0,0,0,1,0,1,0,1,1,,4.3944492,0,3,28,0,.17,0,7
7,104,3,0,1,0,0,0,1,1,1,0,,,0,3,37,1,.5,2,7
2,105,7,0,1,0,0,0,0,0,0,0,0,5.4467373,1,0,33,1,1,2,7
4,106,10,0,0,0,1,1,1,0,0,0,2,4.9767337,1,2,28,1,1,0,12
7,108,7,0,0,0,1,0,0,0,0,0,0,5.4161005,1,0,35,1,1,0,7
11,109,7,0,0,1,0,1,0,0,0,0,1,,1,1,28,1,1,1,12
9,110,4,0,1,0,0,1,0,0,0,0,1,4.7874918,1,1,31,1,1,2,12
3,111,7,0,0,1,0,0,0,1,0,1,,4.7874918,0,2,39,0,.17,1,12
5,112,6,0,0,0,1,1,0,0,0,0,1,4.9628448,1,1,49,1,1,0,12
12,113,7,0,0,1,0,0,0,0,0,0,0,5.1929569,1,0,42,0,1,1,12
12,115,7,0,1,0,0,0,0,1,1,1,,5.480639,0,3,29,1,0,2,12
11,116,15,0,0,0,1,1,0,0,0,0,1,5.1929569,1,1,32,1,1,0,12
7,117,7,0,0,1,0,0,0,0,0,0,0,5.1929569,1,0,41,0,1,1,12
9,119,12,1,1,0,0,1,0,0,0,0,1,4.7874918,1,1,28,1,1,2,12
6,120,10,0,0,1,0,1,1,1,0,0,3,5.2574954,1,3,27,1,1,1,12
3,121,10,0,0,0,1,0,1,1,0,1,,4.7957907,0,3,35,1,.33000001,0,12
3,122,7,0,0,0,1,0,0,1,0,1,,5.2040067,0,2,23,1,.17,0,12
10,123,7,1,0,0,1,1,0,0,0,0,1,4.882802,1,1,30,1,1,0,12
7,125,9,1,0,0,1,1,0,0,0,0,1,4.919981,1,1,32,1,1,0,12
11,126,8,0,0,0,1,1,0,0,0,0,1,5.1929569,1,1,33,1,1,0,12
8,127,7,0,1,0,0,1,0,0,0,0,1,5.1416636,1,1,26,1,1,2,12
13,130,7,0,1,0,0,1,0,0,0,0,1,5.7620516,1,1,22,0,1,2,12
5,131,9,0,0,1,0,1,1,0,0,0,2,4.9052749,1,2,37,1,1,1,12
11,132,7,0,0,1,0,1,1,1,1,0,4,4.7874918,1,4,39,0,1,1,12
5,135,4,0,1,0,0,1,1,0,0,0,2,5.0039463,1,2,41,1,1,2,7
5,136,16,0,1,0,0,1,1,0,0,0,2,5.0814042,1,2,27,1,1,2,7
12,138,13,0,0,1,0,1,0,0,0,0,1,5.480639,1,1,29,1,1,1,7
2,140,4,0,0,0,1,1,1,0,0,0,2,,1,2,24,1,1,0,7
2,141,15,0,0,0,1,0,0,1,0,0,,6.4536252,0,1,66,1,.5,0,7
13,142,9,0,0,1,0,1,1,0,0,0,2,5.5529594,1,2,25,1,1,1,7
4,143,3,0,0,0,1,1,1,1,1,0,4,5.220356,1,4,30,0,1,0,7
3,144,7,0,1,0,0,1,0,0,1,1,,4.8520303,0,3,41,1,.33000001,2,7
12,145,13,0,1,0,0,1,1,1,1,0,4,5.1929569,1,4,33,1,1,2,7
11,146,12,0,0,0,1,1,0,0,0,0,1,4.7874918,1,1,37,1,1,0,7
11,147,10,0,1,0,0,1,0,0,0,0,1,4.7874918,1,1,32,1,1,2,7
6,148,4,0,0,1,0,1,0,0,0,0,1,5.1929569,1,1,34,0,1,1,7
7,150,6,0,0,0,1,1,0,1,0,1,,4.8751974,0,3,31,1,.5,0,7
5,151,4,0,1,0,0,1,1,0,0,0,2,5.433722,1,2,57,1,1,2,7
4,152,7,0,0,0,1,1,1,0,0,0,2,5.2470241,1,2,47,1,1,0,7
3,153,5,0,1,0,0,0,0,0,0,0,0,5.209486,1,0,25,1,1,2,7
3,154,4,0,1,0,0,1,1,1,0,0,3,4.8675346,1,3,41,0,1,2,7
12,155,7,0,0,0,1,1,1,1,1,1,5,5.480639,1,5,32,0,1,0,7
11,156,15,0,1,0,0,1,1,0,0,0,2,5.1929569,1,2,29,0,1,2,7
9,157,4,0,0,1,0,1,0,0,0,0,1,6.0402546,1,1,40,1,1,1,7
9,158,13,0,0,0,1,1,1,1,0,0,3,5.1929569,1,3,32,1,1,0,7
3,159,7,0,0,0,1,1,1,0,0,0,2,4.8675346,1,2,33,0,1,0,7
10,160,5,0,0,0,1,1,1,0,1,1,,4.2046928,0,4,26,1,.5,0,7
9,161,4,0,0,1,0,1,0,0,0,0,1,5.480639,1,1,56,0,1,1,7
12,162,4,0,1,0,0,1,1,1,1,1,5,5.480639,1,5,32,0,1,2,7
10,166,13,0,0,0,1,1,1,1,1,1,5,5.6869755,1,5,27,1,1,0,7
10,168,10,0,0,1,0,1,1,1,1,1,5,5.891644,1,5,43,1,1,1,7
7,169,13,0,0,1,0,1,1,1,0,0,3,4.7874918,1,3,35,1,1,1,7
8,171,16,0,0,0,1,1,1,0,0,0,2,4.2341065,1,2,39,1,1,0,7
13,172,6,0,1,0,0,1,1,1,1,1,5,5.6698809,1,5,36,1,1,2,7
11,173,7,0,1,0,0,1,1,0,0,0,2,4.7874918,1,2,32,1,1,2,7
5,174,7,0,0,1,0,1,1,1,0,0,3,5.1929569,1,3,27,1,1,1,7
3,175,17,0,0,1,0,1,0,0,0,0,1,4.7535901,1,1,38,1,1,1,2
2,176,18,0,0,0,1,1,1,0,0,0,2,,1,2,70,1,1,0,2
4,177,17,0,0,1,0,1,1,1,1,0,4,5.2311087,1,4,33,1,1,1,2
7,179,5,0,1,0,0,0,1,0,0,0,,5.8348107,0,1,32,0,.75,2,2
12,180,1,0,0,0,1,1,0,1,0,0,,5.1929569,0,2,28,1,.82999998,0,2
3,181,13,0,0,0,1,1,0,0,0,0,1,5.0689044,1,1,30,1,1,0,2
9,183,13,0,0,0,1,1,0,0,0,0,1,5.1929569,1,1,35,1,1,0,2
9,184,7,1,0,0,1,1,0,0,0,0,1,,1,1,40,1,1,0,2
11,185,15,0,0,1,0,1,1,0,0,0,2,4.7874918,1,2,23,0,1,1,2
4,186,10,0,0,0,1,1,1,0,1,0,,5.4380794,0,3,30,0,.82999998,0,2
7,189,14,0,0,0,1,1,0,0,0,0,1,4.8362818,1,1,29,1,1,0,2
9,190,10,0,0,1,0,1,0,0,0,0,1,5.1929569,1,1,25,1,1,1,2
10,191,,0,0,1,0,0,1,1,1,0,,4.4886365,0,3,42,1,.5,1,2
5,192,13,0,0,1,0,0,1,0,0,0,,5.6629605,0,1,27,1,.75,1,2
8,193,16,1,0,1,0,1,1,0,0,0,2,6.8023949,1,2,39,0,1,1,2
12,195,13,0,0,0,1,1,1,1,1,1,5,5.480639,1,5,41,1,1,0,2
