id,treatment,age,gamma,RA_all,RA,crtscore,courses,sesion,male,T_B,T_H,T_R,a1,a2,a3,a4,a5,consistency2,pay
436,Hyp,18,1,4,4,1,1 de Grado,UPO,No,0,1,0,1,1,1,1,0,1,0
441,1out10,19,0,3,,0,1 de Grado,UPO,Sí,1,0,0,0,1,1,1,0,.5,1
442,Hyp,18,1,2,2,0,1 de Grado,UPO,Sí,0,1,0,1,1,0,0,0,1,0
443,1out10,20,1,1,1,0,2 de Grado,UPO,Sí,1,0,0,1,0,0,0,0,1,1
444,Hyp,20,1,1,1,0,3 de Grado,UPO,Sí,0,1,0,1,0,0,0,0,1,0
447,Hyp,21,1,3,3,0,3 de Grado,UPO,Sí,0,1,0,1,1,1,0,0,1,0
452,1out10,19,1,4,4,1,1 de Grado,UPO,No,1,0,0,1,1,1,1,0,1,1
453,Real,18,1,2,2,1,1 de Grado,UPO,No,0,0,1,1,1,0,0,0,1,2
455,1out10,19,1,2,2,2,1 de Grado,UPO,No,1,0,0,1,1,0,0,0,1,1
460,Real,21,1,2,2,0,4 de Grado,UPO,Sí,0,0,1,1,1,0,0,0,1,2
461,Hyp,21,1,1,1,0,3 de Grado,UPO,Sí,0,1,0,1,0,0,0,0,1,0
465,Hyp,22,1,3,3,0,3 de Grado,UPO,Sí,0,1,0,1,1,1,0,0,1,0
469,Hyp,18,1,3,3,0,1 de Grado,UPO,Sí,0,1,0,1,1,1,0,0,1,0
472,Hyp,29,0,3,,0,2 de Grado,UPO,Sí,0,1,0,1,1,0,1,0,.82999998,0
478,1out10,19,1,4,4,0,1 de Grado,UPO,No,1,0,0,1,1,1,1,0,1,1
479,Hyp,19,1,3,3,0,1 de Grado,UPO,No,0,1,0,1,1,1,0,0,1,0
