bibkey,paper,task,subject,choice,r,Subject,gender,age,country,city,latitude,longitude
Buser2021,Buser et al. 2021,IG,619,8,0.5631708387251959,16,0,21,Germany,Berlin,52.51250267430032,13.324436617770202
Buser2021,Buser et al. 2021,IG,620,20,1,1,0,18,Germany,Berlin,52.51250267430032,13.324436617770202
Buser2021,Buser et al. 2021,IG,621,20,1,2,1,32,Germany,Berlin,52.51250267430032,13.324436617770202
Buser2021,Buser et al. 2021,IG,622,0,-1,3,0,20,Germany,Berlin,52.51250267430032,13.324436617770202
Buser2021,Buser et al. 2021,IG,623,10,0.7564708303892088,4,1,31,Germany,Berlin,52.51250267430032,13.324436617770202
Buser2021,Buser et al. 2021,IG,624,20,1,5,1,33,Germany,Berlin,52.51250267430032,13.324436617770202
Buser2021,Buser et al. 2021,IG,625,5,2.2239005978342123,6,0,26,Germany,Berlin,52.51250267430032,13.324436617770202
Buser2021,Buser et al. 2021,IG,626,20,1,7,0,22,Germany,Berlin,52.51250267430032,13.324436617770202
Buser2021,Buser et al. 2021,IG,627,20,1,8,0,20,Germany,Berlin,52.51250267430032,13.324436617770202
Buser2021,Buser et al. 2021,IG,628,10,0.7564708303892088,9,1,21,Germany,Berlin,52.51250267430032,13.324436617770202
Buser2021,Buser et al. 2021,IG,629,5,2.2239005978342123,10,0,33,Germany,Berlin,52.51250267430032,13.324436617770202
Buser2021,Buser et al. 2021,IG,630,10,0.7564708303892088,11,1,19,Germany,Berlin,52.51250267430032,13.324436617770202
Buser2021,Buser et al. 2021,IG,631,15,0.8892534710261043,12,1,19,Germany,Berlin,52.51250267430032,13.324436617770202
Buser2021,Buser et al. 2021,IG,632,8,0.5631708387251959,13,0,32,Germany,Berlin,52.51250267430032,13.324436617770202
Buser2021,Buser et al. 2021,IG,633,13,0.8546608704269608,14,1,35,Germany,Berlin,52.51250267430032,13.324436617770202
Buser2021,Buser et al. 2021,IG,634,5,2.2239005978342123,15,1,25,Germany,Berlin,52.51250267430032,13.324436617770202
Buser2021,Buser et al. 2021,IG,635,15,0.8892534710261043,16,1,28,Germany,Berlin,52.51250267430032,13.324436617770202
Buser2021,Buser et al. 2021,IG,636,5,2.2239005978342123,17,0,25,Germany,Berlin,52.51250267430032,13.324436617770202
Buser2021,Buser et al. 2021,IG,637,20,1,18,0,18,Germany,Berlin,52.51250267430032,13.324436617770202
Buser2021,Buser et al. 2021,IG,638,5,2.2239005978342123,19,0,20,Germany,Berlin,52.51250267430032,13.324436617770202
Buser2021,Buser et al. 2021,IG,639,4,1.4747697218456,20,1,22,Germany,Berlin,52.51250267430032,13.324436617770202
Buser2021,Buser et al. 2021,IG,640,10,0.7564708303892088,21,1,20,Germany,Berlin,52.51250267430032,13.324436617770202
Buser2021,Buser et al. 2021,IG,641,20,1,22,0,24,Germany,Berlin,52.51250267430032,13.324436617770202
Buser2021,Buser et al. 2021,IG,642,20,1,23,1,28,Germany,Berlin,52.51250267430032,13.324436617770202
Buser2021,Buser et al. 2021,IG,643,20,1,24,1,35,Germany,Berlin,52.51250267430032,13.324436617770202
Buser2021,Buser et al. 2021,IG,644,0,-1,1,0,24,Germany,Berlin,52.51250267430032,13.324436617770202
Buser2021,Buser et al. 2021,IG,645,10,0.7564708303892088,2,1,21,Germany,Berlin,52.51250267430032,13.324436617770202
Buser2021,Buser et al. 2021,IG,646,15,0.8892534710261043,3,1,23,Germany,Berlin,52.51250267430032,13.324436617770202
Buser2021,Buser et al. 2021,IG,647,20,1,4,1,27,Germany,Berlin,52.51250267430032,13.324436617770202
Buser2021,Buser et al. 2021,IG,648,20,1,5,0,30,Germany,Berlin,52.51250267430032,13.324436617770202
Buser2021,Buser et al. 2021,IG,649,20,1,6,0,20,Germany,Berlin,52.51250267430032,13.324436617770202
Buser2021,Buser et al. 2021,IG,650,10,0.7564708303892088,7,0,20,Germany,Berlin,52.51250267430032,13.324436617770202
Buser2021,Buser et al. 2021,IG,651,7,0.24931068901365724,8,0,27,Germany,Berlin,52.51250267430032,13.324436617770202
Buser2021,Buser et al. 2021,IG,652,20,1,9,0,26,Germany,Berlin,52.51250267430032,13.324436617770202
Buser2021,Buser et al. 2021,IG,653,10,0.7564708303892088,10,0,21,Germany,Berlin,52.51250267430032,13.324436617770202
Buser2021,Buser et al. 2021,IG,654,6,-2.234299948341919,11,1,25,Germany,Berlin,52.51250267430032,13.324436617770202
Buser2021,Buser et al. 2021,IG,655,0,-1,12,0,18,Germany,Berlin,52.51250267430032,13.324436617770202
Buser2021,Buser et al. 2021,IG,656,20,1,13,0,24,Germany,Berlin,52.51250267430032,13.324436617770202
Buser2021,Buser et al. 2021,IG,657,10,0.7564708303892088,14,1,22,Germany,Berlin,52.51250267430032,13.324436617770202
Buser2021,Buser et al. 2021,IG,658,20,1,15,0,28,Germany,Berlin,52.51250267430032,13.324436617770202
Buser2021,Buser et al. 2021,IG,659,10,0.7564708303892088,16,1,26,Germany,Berlin,52.51250267430032,13.324436617770202
Buser2021,Buser et al. 2021,IG,660,10,0.7564708303892088,1,0,26,Germany,Berlin,52.51250267430032,13.324436617770202
Buser2021,Buser et al. 2021,IG,661,10,0.7564708303892088,2,0,22,Germany,Berlin,52.51250267430032,13.324436617770202
Buser2021,Buser et al. 2021,IG,662,0,-1,3,1,21,Germany,Berlin,52.51250267430032,13.324436617770202
Buser2021,Buser et al. 2021,IG,663,12,0.831176446271546,4,1,21,Germany,Berlin,52.51250267430032,13.324436617770202
Buser2021,Buser et al. 2021,IG,664,20,1,5,0,21,Germany,Berlin,52.51250267430032,13.324436617770202
Buser2021,Buser et al. 2021,IG,665,10,0.7564708303892088,6,0,20,Germany,Berlin,52.51250267430032,13.324436617770202
Buser2021,Buser et al. 2021,IG,666,10,0.7564708303892088,7,0,31,Germany,Berlin,52.51250267430032,13.324436617770202
Buser2021,Buser et al. 2021,IG,667,10,0.7564708303892088,8,0,21,Germany,Berlin,52.51250267430032,13.324436617770202
Buser2021,Buser et al. 2021,IG,668,10,0.7564708303892088,9,1,19,Germany,Berlin,52.51250267430032,13.324436617770202
Buser2021,Buser et al. 2021,IG,669,5,2.2239005978342123,10,1,19,Germany,Berlin,52.51250267430032,13.324436617770202
Buser2021,Buser et al. 2021,IG,670,13,0.8546608704269608,11,0,21,Germany,Berlin,52.51250267430032,13.324436617770202
Buser2021,Buser et al. 2021,IG,671,12,0.831176446271546,12,0,26,Germany,Berlin,52.51250267430032,13.324436617770202
Buser2021,Buser et al. 2021,IG,672,5,2.2239005978342123,13,1,21,Germany,Berlin,52.51250267430032,13.324436617770202
Buser2021,Buser et al. 2021,IG,673,11,0.8002227168780148,14,1,39,Germany,Berlin,52.51250267430032,13.324436617770202
Buser2021,Buser et al. 2021,IG,674,5,2.2239005978342123,15,1,21,Germany,Berlin,52.51250267430032,13.324436617770202
Buser2021,Buser et al. 2021,IG,675,10,0.7564708303892088,16,1,26,Germany,Berlin,52.51250267430032,13.324436617770202
Buser2021,Buser et al. 2021,IG,676,20,1,17,0,20,Germany,Berlin,52.51250267430032,13.324436617770202
Buser2021,Buser et al. 2021,IG,677,5,2.2239005978342123,18,1,26,Germany,Berlin,52.51250267430032,13.324436617770202
Buser2021,Buser et al. 2021,IG,678,10,0.7564708303892088,19,0,19,Germany,Berlin,52.51250267430032,13.324436617770202
Buser2021,Buser et al. 2021,IG,679,20,1,20,0,20,Germany,Berlin,52.51250267430032,13.324436617770202
Buser2021,Buser et al. 2021,IG,680,0,-1,21,0,18,Germany,Berlin,52.51250267430032,13.324436617770202
Buser2021,Buser et al. 2021,IG,681,20,1,22,0,26,Germany,Berlin,52.51250267430032,13.324436617770202
Buser2021,Buser et al. 2021,IG,682,7,0.24931068901365724,23,0,19,Germany,Berlin,52.51250267430032,13.324436617770202
