1,1,5,7,0,25,4
1,1,5,6,0,25,5
1,2,10,8,0,50,3
1,2,10,7,0,50,4
1,3,15,7,0,75,4
1,3,15,6,0,75,5
1,4,10,4,5,75,7
1,4,10,3,5,75,8
1,5,15,6,5,100,5
1,5,15,5,5,100,6
1,6,15,7,10,125,4
1,6,15,6,10,125,5
1,7,5,5,0,15,3
1,7,5,5,0,20,4
1,8,10,5,0,40,4
1,8,10,5,0,50,5
1,9,15,5,0,45,3
1,9,15,5,0,60,4
1,10,10,5,5,60,2
1,10,10,5,5,65,3
1,11,15,5,5,100,5
1,11,15,5,5,110,6
1,12,15,5,10,125,5
1,12,15,5,10,130,6
1,13,5,2,0,5,1
1,13,5,2,0,10,2
1,14,5,3,0,25,5
1,14,5,3,0,30,6
1,15,5,4,0,15,3
1,15,5,4,0,20,4
1,16,5,6,0,25,5
1,16,5,6,0,30,6
1,17,5,7,0,25,5
1,17,5,7,0,30,6
1,18,5,8,0,40,8
1,18,5,8,0,45,9
1,19,10,2,0,10,1
1,19,10,2,0,20,2
1,20,10,3,0,10,1
1,20,10,3,0,20,2
1,21,10,4,0,10,1
1,21,10,4,0,20,2
1,22,10,6,0,40,4
1,22,10,6,0,50,5
1,23,10,7,0,50,5
1,23,10,7,0,60,6
1,24,10,8,0,50,5
1,24,10,8,0,60,6
1,25,15,2,0,30,2
1,25,15,2,0,45,3
1,26,15,3,0,15,1
1,26,15,3,0,30,2
1,27,15,4,0,30,2
1,27,15,4,0,45,3
1,28,15,6,0,75,5
1,28,15,6,0,90,6
1,29,15,7,0,105,7
1,29,15,7,0,120,8
1,30,15,8,0,105,7
1,30,15,8,0,120,8
1,31,-2,-2,-2,-2,-2
1,31,10,2,5,55,1
1,32,10,3,5,75,5
1,32,10,3,5,80,6
1,33,10,4,5,75,5
1,33,10,4,5,80,6
1,34,10,6,5,75,5
1,34,10,6,5,80,6
1,35,10,7,5,75,5
1,35,10,7,5,80,6
1,36,10,8,5,75,5
1,36,10,8,5,80,6
1,37,-2,-2,-2,-2,-2
1,37,15,2,5,60,1
1,38,15,3,5,100,5
1,38,15,3,5,110,6
1,39,15,4,5,90,4
1,39,15,4,5,100,5
1,40,15,6,5,100,5
1,40,15,6,5,110,6
1,41,-1,-1,-1,-1,-1
1,41,15,7,5,150,10
1,42,15,8,5,100,5
1,42,15,8,5,110,6
1,43,-2,-2,-2,-2,-2
1,43,15,2,10,105,1
1,44,-2,-2,-2,-2,-2
1,44,15,3,10,105,1
1,45,-2,-2,-2,-2,-2
1,45,15,4,10,105,1
1,46,15,6,10,130,6
1,46,15,6,10,135,7
1,47,15,7,10,125,5
1,47,15,7,10,130,6
1,48,15,8,10,125,5
1,48,15,8,10,130,6
2,1,5,6,0,25,5
2,1,5,5,0,25,6
2,2,10,8,0,50,3
2,2,10,7,0,50,4
2,3,-2,-2,-2,-2,-2
2,3,15,10,0,75,1
2,4,10,8,5,75,3
2,4,10,7,5,75,4
2,5,15,8,5,100,3
2,5,15,7,5,100,4
2,6,15,8,10,125,3
2,6,15,7,10,125,4
2,7,5,5,0,20,4
2,7,5,5,0,25,5
2,8,10,5,0,50,5
2,8,10,5,0,60,6
2,9,15,5,0,45,3
2,9,15,5,0,60,4
2,10,10,5,5,70,4
2,10,10,5,5,75,5
2,11,15,5,5,80,3
2,11,15,5,5,90,4
2,12,15,5,10,115,3
2,12,15,5,10,120,4
2,13,5,2,0,25,5
2,13,5,2,0,30,6
2,14,5,3,0,25,5
2,14,5,3,0,30,6
2,15,5,4,0,25,5
2,15,5,4,0,30,6
2,16,5,6,0,25,5
2,16,5,6,0,30,6
2,17,5,7,0,25,5
2,17,5,7,0,30,6
2,18,5,8,0,25,5
2,18,5,8,0,30,6
2,19,10,2,0,40,4
2,19,10,2,0,50,5
2,20,10,3,0,40,4
2,20,10,3,0,50,5
2,21,10,4,0,40,4
2,21,10,4,0,50,5
2,22,10,6,0,40,4
2,22,10,6,0,50,5
2,23,10,7,0,50,5
2,23,10,7,0,60,6
2,24,10,8,0,40,4
2,24,10,8,0,50,5
2,25,15,2,0,45,3
2,25,15,2,0,60,4
2,26,15,3,0,45,3
2,26,15,3,0,60,4
2,27,15,4,0,30,2
2,27,15,4,0,45,3
2,28,15,6,0,60,4
2,28,15,6,0,75,5
2,29,15,7,0,45,3
2,29,15,7,0,60,4
2,30,15,8,0,60,4
2,30,15,8,0,75,5
2,31,10,2,5,60,2
2,31,10,2,5,65,3
2,32,10,3,5,70,4
2,32,10,3,5,75,5
2,33,10,4,5,70,4
2,33,10,4,5,75,5
2,34,10,6,5,75,5
2,34,10,6,5,80,6
2,35,10,7,5,75,5
2,35,10,7,5,80,6
2,36,10,8,5,75,5
2,36,10,8,5,80,6
2,37,15,2,5,70,2
2,37,15,2,5,80,3
2,38,15,3,5,80,3
2,38,15,3,5,90,4
2,39,15,4,5,60,1
2,39,15,4,5,70,2
2,40,15,6,5,70,2
2,40,15,6,5,80,3
2,41,15,7,5,90,4
2,41,15,7,5,100,5
2,42,15,8,5,90,4
2,42,15,8,5,100,5
2,43,15,2,10,105,1
2,43,15,2,10,110,2
2,44,15,3,10,120,4
2,44,15,3,10,125,5
2,45,15,4,10,120,4
2,45,15,4,10,125,5
2,46,15,6,10,125,5
2,46,15,6,10,130,6
2,47,15,7,10,130,6
2,47,15,7,10,135,7
2,48,15,8,10,120,4
2,48,15,8,10,125,5
3,1,5,7,0,25,4
3,1,5,6,0,25,5
3,2,10,5,0,50,6
3,2,10,4,0,50,7
3,3,15,7,0,75,4
